DOI,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver
10.1111/oik.01279,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,Global Change Broad
10.1016/j.yhbeh.2007.08.004,Y,0,0,1,0,0,0,Experiment,Terrestrial,Herps,Galapagos Islands,0,1,0,0,1,"Morphological, Behavioural",0,0,0,1,T,0,Invasion
10.1016/j.ppees.2017.01.001,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2745.12003,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1093/plankt/fbr111,Y,0,1,0,0,0,0,Observational,Freshwater,Plankton,River,0,1,0,0,1,"Morphological, Behavioural",0,0,1,1,T,0,0
10.1007/s00442-013-2673-0,Y,0,0,1,0,0,1,"T Model, Experiment",Freshwater,Other,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,1,0,E,0,0
10.1371/journal.pone.0057550,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00442-018-4074-x,Y,1,0,0,0,0,0,Review,Freshwater,Plants,Broad,0,1,0,0,0,Morphological,1,1,0,0,F,0,0
10.1007/s10841-011-9412-9,Y,0,1,0,0,0,0,Observational,Freshwater,Insects,Lake Wetland,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,1,0,E,0,Habitat Degredation
10.1111/1749-4877.12319,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Temperate Forest,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1098/rsif.2018.0239,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1111/j.1600-0633.2010.00465.x,Y,0,1,0,0,0,0,Observation,Freshwater,Fish,Stream,0,1,0,1,0,"Morphological, Life History",0,0,1,0,E,0,0
10.1111/2041-210X.12211,Y,0,0,0,0,1,0,Q Model,Broad,Multiple,Broad,1,1,0,1,0,"Morphological, Life History",1,0,0,0,F,1,0
10.1007/s10682-013-9631-5,Y,0,0,0,0,1,0,Q Model,Terrestrial,Mammals,Broad,0,1,0,0,1,"Morphological, Behavioural",1,1,0,0,T,0,0
10.1111/icad.12051,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Grass margins of crop fields,0,1,0,0,1,"Morphological, Behavioural",1,0,1,0,E,0,0
10.1371/journal.pone.0188300,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10750-017-3208-1,Y,0,0,0,0,1,0,Q Model,Freshwater,Fish,Lake  ,1,1,0,1,1,"Morphological, Life History, Behavioural",0,0,1,1,T,1,Climate Change
10.1111/oik.02277,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,Riparian Zone,1,1,0,1,0,"Morphological, Life History",0,1,0,0,P,0,Habitat Degredation
10.1111/j.1365-294X.2010.04623.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/mec.14718,Y,0,0,0,0,1,0,Q Model,Terrestrial,Birds,Tropical Rainforest,0,0,0,0,1,Behavioural,1,0,0,0,T,0,0
10.1023/B:APPA.0000038623.75416.e3,Y,0,0,1,0,0,0,Experiment,Terrestrial,Insects,Temperate Forest,0,0,0,0,1,Behavioural,0,0,0,1,T,0,0
10.1111/1365-2656.12020,Y,0,1,0,0,0,0,Observational,Terrestrial,Herps,Galapagos Islands,0,1,0,1,0,"Morphological, Life History",1,1,0,0,P,0,0
10.1002/ece3.5121,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Temperate Forest,0,1,0,0,1,"Morphological, Behavioural",1,0,0,0,E,0,0
10.1111/j.1365-2427.2007.01736.x,Y,1,0,0,0,1,0,Review/Q Model,Freshwater,Fish,Broad,1,0,1,1,0,"Physiological, Life History",1,0,0,0,F,0,0
10.1111/j.1439-0310.2005.01147.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.7717/peerj.3772,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.3389/fmicb.2017.01530,Y,0,1,0,0,0,0,Observational,Terrestrial,Other,Tropical Rainforest,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1007/s002650000260,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Desert,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1086/685444,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/geb.12146,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/14-0589.1,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.anbehav.2005.05.010,Y,0,1,1,0,0,0,Observational/Experiment,Terrestrial,Birds,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,1,0,E,0,0
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/zsc.12132,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/15-0688,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.2041-210X.2012.00247.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1186/1471-2148-13-198,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1038/s41598-018-35925-z,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00468-011-0632-0,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Subtropical secondary broadleaved forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/jvs.12245,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Boreal Forest,1,1,0,1,0,"Morphological, Life History",1,0,1,0,E,0,0
unknown_1,Y,0,0,0,0,0,1,T Model,Broad,Broad,Broad,0,0,0,0,1,Behavioural,0,0,0,1,T,0,0
10.1016/j.jtherbio.2018.05.004,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2435.13194,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.jtbi.2009.10.035,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-2664.2006.001175.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,1,1,0,P,0,0
10.1111/1574-6976.12035,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.aquabot.2016.10.002,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1556/168.2018.19.1.8,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/2041-210X.12450,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.4081/jlimnol.2014.826,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.1395,Y,0,0,1,0,0,0,Experiment,Freshwater,Fish,River,1,0,1,0,1,"Physiological, Behavioural",0,0,0,1,T,0,0
10.1111/1365-2656.12264,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Temperate Forest,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1038/srep41599,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2656.12829,Y,0,0,0,0,1,0,Q Model,Terrestrial,Birds,Broad,1,0,1,0,1,"Physiological, Behavioural",1,1,0,0,P,0,Global Change Multiple
10.1054/mehy.1999.0856,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2656.12648,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Urban Green Spaces,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,1,T,0,Habitat Degredation
10.1002/ecy.2530,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/syen.12189,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.hal.2017.02.004,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00338-013-1042-0,Y,0,1,0,0,0,0,Observational,Marine,Fish,Coral Reef,0,1,0,0,1,"Morphological, Behavioural",0,0,0,1, F,0,0
10.1111/j.1439-0310.2005.01085.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1006/jaar.1998.0326,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Broad,0,0,0,0,1,Behavioural,0,0,1,0,E,0,0
10.1093/beheco/11.4.452,Y,1,0,0,0,0,0,Review,Terrestrial,Mammals,Broad,0,1,0,0,1,"Morphological, Behaviour",0,0,0,1,T,0,0
10.1890/14-1731.1.sm,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Tropical Rainforest,0,1,0,0,1,"Morphological, Behavioural",1,0,1,0,T,0,Habitat Degredation
10.1111/ecog.03917,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Tropcial Rainforest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1111/wre.12188,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1016/j.csr.2009.01.003,Y,0,1,0,0,0,0,Observational,Marine,Fish,Coastal Nursery,0,0,0,1,1,Life History & Behavioural,0,0,0,1,T,0,Exploitation
10.2307/3072051,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.5061/dryad.m03vf,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Desert,0,1,0,0,0,Morphological,1,0,1,0,F,0,0
10.1007/s12224-016-9267-7,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1558-5646.2011.01377.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/brv.12250,Y,1,0,0,0,0,0,Review,Broad,Broad,Broad,0,1,0,0,0,Morphological,0,0,1,1,E,0,Global Change Broad
10.1038/s41559-019-0899-x,Y,1,0,0,0,1,0,Q Model/Review,Broad,Broad,Broad,1,0,0,1,1,"Life History, Behavioural",0,0,0,1,T,0,0
10.1111/2041-210X.12163,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/gcb.13184,Y,1,0,0,0,0,0,Review,Marine,Broad,Broad,0,0,0,1,1,"Morphological, Behavioural",1,1,0,0,F,0,Climate Change
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1038/s41559-017-0426-x,Y,1,0,0,0,0,0,Review,Terrestrial,Other,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",1,0,0,0,F,0,Global Change Broad
10.1016/j.scitotenv.2016.06.169,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1556/ComEc.14.2013.1.4,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Bog-Forest,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/ele.12688,Y,1,0,0,0,0,0,Review,Marine,Other,Broad,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1016/j.actao.2011.11.002,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1890/11-1204.1,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/1365-2745.13079,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1365-2745.2010.01650.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
unknown_2,Y,1,0,0,0,0,0,Review,Broad,Broad,Broad,1,0,1,1,1,"Physiological, Life History, Behavioural",1,1,0,0,F,0,Climate Change
10.1111/1365-2656.12548,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10750-014-1960-z,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1098/rsos.150652,Y,0,1,0,0,0,0,Observational,Freshwater,Fish,Broad,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1002/ece3.3609,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morophological, Life History",1,0,1,0,E,0,0
10.1111/geb.12637,Y,1,0,0,0,0,0,Review,Terrestrial,Plants,Broad,1,0,1,0,0,Physiological,1,0,0,0,F,0,0
10.1098/rsbl.2011.0641,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1111/j.1095-8312.2005.00465.x,Y,0,1,0,0,0,0,Observational,Terrestrial,Herps,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,0,1,T,0,0
10.1111/1365-2745.12013,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,1,0,"Morphological, Physiological",1,0,0,0,F,0,0
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
NA,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ecm.1267,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
