Original_trait,Trait_spell_corrected,Context_needed,Primary_classification,Secondary_classification,Tertiary_classification,Revised_major_class,Revised_fine_class,4th_class,Revision_addressed,Revision_suggested,NOTES,Reviewed
diurnality,diurnality,0,activity,nocturnality,,nocturnality,diurnality,,1,1,secondary 'nocturnality' or whatever the root word of nocturanl and diuranl is,CB
nocturnal activity,nocturnal activity,0,activity,nocturnality,,nocturnality,nocturnal activity,,,,,CB
nocturnality,nocturnality,0,activity,nocturnality,,nocturnality,nocturnality,,,,,CB
nocturnally active,nocturnally active,0,activity,nocturnality,,nocturnality,nocturnally active,,,,,CB
invaded ecosystem,invaded ecosystem,0,habitat,non-native,non-native,non-native,non-native,,,,,NH
invasive elsewhere,invasive elsewhere,0,habitat,non-native,non-native,non-native,non-native,,,,,NH
native,native,0,habitat,non-native,non-native,non-native,non-native,,1,"seems like if non-native then you are not native, so repetitive with below?",,NH
native or non-native,native or non-native,0,habitat,non-native,non-native,non-native,non-native,,,,,NH
naturalized elsewhere,naturalized elsewhere,0,habitat,non-native,non-native,non-native,non-native,,,,,NH
non-native,non-native,0,habitat,non-native,non-native,non-native,non-native,,1,as above,,NH
non-native plant life-form,non-native plant life-form,0,habitat,non-native,non-native,non-native,non-native,,,,,NH
number of introductions,number of introductions,1,habitat,non-native,non-native,non-native,non-native,,,,,NH
number of native congeners,number of native congeners,1,habitat,non-native,non-native,non-native,non-native,,1,typo,,NH
origin,origin,1,habitat,non-native,non-native,non-native,non-native,,,,,NH
confamilial invasive,nonfamilial invasive,0,habitat,non-native,,non-native,nonfamilial invasive,,,,,NH
congeneric invasive,congeneric invasive,0,habitat,non-native,,non-native,congeneric invasive,,,,,NH
nutrient acquisition,nutrient acquisition,0,resource acquisition,nutrients,,nutrients,nutrient acquisition,,,,,NH
nutrient level flowering period,nutrient level flowering period,0,resource acquisition,nutrients,,nutrients,nutrient level flowering period,,,,,NH
nutrient uptake parameters,nutrient uptake parameters,0,resource acquisition,nutrients,,nutrients,nutrient uptake parameters,,,,,NH
nutrient uptake rate,nutrient uptake rate,0,resource acquisition,nutrients,,nutrients,nutrient uptake rate,,,,,NH
nutrient uptake strategy,nutrient uptake strategy,0,resource acquisition,nutrients,,nutrients,nutrient uptake strategy,,,,,NH
nutritional requirements,nutritional requirements,0,resource acquisition,nutrients,,nutrients,nutritional requirements,,,,,NH
concentration of oenothein A,concentration of oenothein A,0,composition,oenothein A,,oenothein A,concentration of oenothein A,,,,,CB
concentration of oenothein oxidized A,concentration of oenothein oxidized A,0,composition,oenothein A,,oenothein A,concentration of oenothein oxidized A,,,,,CB
concentration of oenothein B,concentration of oenothein B,0,composition,oenothein B,,oenothein B,concentration of oenothein B,,,,,CB
dissemination,dissemination,1,life history,offspring attribute,dispersal,dispersal,dispersal,,1,NH?,CB: how they disseminate their seeds,CB
dissemination potential,dissemination potential,1,life history,offspring attribute,dispersal,dispersal,dispersal,,1,NH: sounds like a performance metric I need to report on.,,CB
seed length to width ratio,seed length to width ratio,0,morphology,offspring attribute,seed shape,seed shape,seed shape,,1,"NH: duplicate ""seed length to width ratio"" and ""seed length:width""",,NH
seed length:width,seed length:width,0,morphology,offspring attribute,seed shape,seed shape,seed shape,,1,"NH: duplicate ""seed length to width ratio"" and ""seed length:width""",,NH
seed shape,seed shape,0,morphology,offspring attribute,seed shape,seed shape,seed shape,,,,,NH
seed shape index,seed shape index,0,morphology,offspring attribute,seed shape,seed shape,seed shape,,,,,NH
diaspore form,diaspore form,0,morphology,offspring attribute,,offspring attribute,diaspore form,,,,,NH
diaspore length,diaspore length,0,morphology,offspring attribute,,offspring attribute,diaspore length,,,,,NH
diaspore morphology,diaspore morphology,0,morphology,offspring attribute,,offspring attribute,diaspore morphology,,,,,NH
diaspore size,diaspore size,0,morphology,offspring attribute,,offspring attribute,diaspore size,,,,,NH
diaspore type,diaspore type,0,morphology,offspring attribute,,offspring attribute,diaspore type,,,,,NH
diaspore width,diaspore width,0,morphology,offspring attribute,,offspring attribute,diaspore width,,,,,NH
disapore shape,disapore shape,0,morphology,offspring attribute,,offspring attribute,disapore shape,,,,,NH
embryo type,embryo type,0,morphology,offspring attribute,,offspring attribute,embryo type,,,,,NH
embryo:seed,embryo:seed,0,morphology,offspring attribute,,offspring attribute,embryo:seed,,,,,NH
expenditure per progeny,expenditure per progeny,0,morphology,offspring attribute,,offspring attribute,expenditure per progeny,,,,,NH
exposure of diaspores,exposure of diaspores,0,morphology,offspring attribute,,offspring attribute,exposure of diaspores,,,,,NH
fledgling mass,fledgling mass,0,morphology,offspring attribute,,offspring attribute,fledgling mass,,,,,NH
fruit colour,fruit colour,0,morphology,offspring attribute,,offspring attribute,fruit colour,,,,,NH
fruit dehiscence,fruit dehiscence,0,morphology,offspring attribute,,offspring attribute,fruit dehiscence,,,,,NH
fruit length:width,fruit length:width,0,morphology,offspring attribute,,offspring attribute,fruit length:width,,,,,NH
fruit type,fruit type,0,morphology,offspring attribute,,offspring attribute,fruit type,,1,NH: type/types typo,,NH
fruit types,fruit types,0,morphology,offspring attribute,,offspring attribute,fruit types,,1,NH: type/types typo,,NH
hatchling mass,hatchling mass,0,morphology,offspring attribute,,offspring attribute,hatchling mass,,,,,NH
seed coat thickness,seed coat thickness,0,morphology,offspring attribute,,offspring attribute,seed coat thickness,,,,,NH
seed dormancy breaking,seed dormancy breaking,0,morphology,offspring attribute,,offspring attribute,seed dormancy breaking,,,,,NH
seed longevity,seed longevity,0,morphology,offspring attribute,,offspring attribute,seed longevity,,,,,NH
wet pulp: seed mass,wet pulp: seed mass,0,morphology,offspring attribute,,offspring attribute,wet pulp: seed mass,,,,,NH
wet weight ratio of pulp to seed,wet weight ratio of pulp to seed,0,morphology,offspring attribute,,offspring attribute,wet weight ratio of pulp to seed,,,,,NH
whole fruit to width ratio,whole fruit to width ratio,0,morphology,offspring attribute,,offspring attribute,whole fruit to width ratio,,,,,NH
reserve type,reserve type,1,morphology,offspring attribute,,offspring attributes,reserve type,,1,,CB: trait of a seed,CB
seed surface structure,seed surface structure,0,morphology,offspring attribute,,offspring attributes,seed surface structure,,,,,CB
seed terminal velocity,seed terminal velocity,0,morphology,offspring attribute,,offspring attributes,seed terminal velocity,,,,,CB
seed vigour,seed vigor,0,morphology,offspring attribute,,offspring attributes,seed vigor,,,,,CB
autochory,autochory,1,life history,offspring attribute,,offspring attributes,autochory,,1,"NH: to do with seed dispersal, reproductive/seed dispersal mechanism",,CB
egg diameter,egg diameter,0,life history,offspring size,,offspring size,egg diameter,,,,,CB
egg mass,egg mass,0,life history,offspring size,,offspring size,egg mass,,,,,CB
egg size,egg size,0,life history,offspring size,,offspring size,egg size,,,,,CB
egg volume,egg volume,0,life history,offspring size,,offspring size,egg volume,,,,,CB
larval size,larval size,0,life history,offspring size,,offspring size,larval size,,,,,CB
max seed length,max seed length,0,life history,offspring size,,offspring size,max seed length,,,,,CB
mean mass of a seed,mean mass of a seed,0,life history,offspring size,,offspring size,mean mass of a seed,,,,,CB
mean seed mass,mean seed mass,0,life history,offspring size,,offspring size,mean seed mass,,,,,CB
nauplii size,nauplii size,0,life history,offspring size,,offspring size,nauplii size,,,,,CB
neonate body mass,neonate body mass,0,life history,offspring size,,offspring size,neonate body mass,,,,,CB
offspring size,offspring size,0,life history,offspring size,,offspring size,offspring size,,,,,CB
oocyte diameter,oocyte diameter,0,life history,offspring size,,offspring size,oocyte diameter,,,,,CB
ramet size,ramet size,0,life history,offspring size,,offspring size,ramet size,,,,,CB
relative offspring size,relative offspring size,0,life history,offspring size,,offspring size,relative offspring size,,,,,CB
SD of seed mass,SD of seed mass,0,life history,offspring size,,offspring size,SD of seed mass,,,,,CB
seed dry mass,seed dry mass,0,life history,offspring size,,offspring size,seed dry mass,,,,,CB
seed dry weight,seed dry weight,0,life history,offspring size,,offspring size,seed dry weight,,,,,CB
seed length,seed length,0,life history,offspring size,,offspring size,seed length,,,,,CB
seed mass,seed mass,0,life history,offspring size,,offspring size,seed mass,,,,,CB
seed mass of the dispersule,seed mass of the dispersule,0,life history,offspring size,,offspring size,seed mass of the dispersule,,,,,CB
seed mass of the germinule,seed mass of the germinule,0,life history,offspring size,,offspring size,seed mass of the germinule,,,,,CB
seed size,seed size,0,life history,offspring size,,offspring size,seed size,,,,,CB
seed volume,seed volume,0,life history,offspring size,,offspring size,seed volume,,,,,CB
seed weight,seed weight,0,life history,offspring size,,offspring size,seed weight,,,,,CB
seed weigth,seed weight,0,life history,offspring size,,offspring size,seed weight,,,,,CB
seed wet weight,seed wet weight,0,life history,offspring size,,offspring size,seed wet weight,,,,,CB
seed width,seed width,0,life history,offspring size,,offspring size,seed width,,,,,CB
size of offspring,size of offspring,0,life history,offspring size,,offspring size,size of offspring,,,,,CB
thousand-seed weight,thousand-seed weight,0,life history,offspring size,,offspring size,thousand-seed weight,,,,,CB
total seed mass,total seed mass,0,life history,offspring size,,offspring size,total seed mass,,,,,CB
weighted mean seed mass,weighted mean seed mass,0,life history,offspring size,,offspring size,weighted mean seed mass,,,,,CB
wet body weight,wet body weight,0,life history,offspring size,,offspring size,wet body weight,,,,,CB
whole fruit weight,whole fruit weight,0,life history,offspring size,,offspring size,whole fruit weight,,,,,CB
overwintering,overwintering,0,life history,overwintering,,overwintering,overwintering,,,,,NH
overwintering forms,overwintering forms,0,life history,overwintering,,overwintering,overwintering forms,,,,,NH
over-wintering grounds,over-wintering grounds,0,life history,overwintering,,overwintering,over-wintering grounds,,,,,NH
overwintering stage,overwintering stage,0,life history,overwintering,,overwintering,overwintering stage,,1,see below,"typo, combine",NH
overwintering stages,overwintering stages,0,life history,overwintering,,overwintering,overwintering stages,,1,overwintering stage,"typo, combine",NH
adaptation to anoxic conditions,adaptation to anoxic conditions,0,resource acquisition,oxygen,,oxygen,adaptation to anoxic conditions,,,,,NH
anaerobic tolerance,anaerobic tolerance,0,resource acquisition,oxygen,,oxygen,anaerobic tolerance,,,,,NH
gill arch resistance,gill arch resistance,0,resource acquisition,oxygen,,oxygen,gill arch resistance,,,,,NH
gill raker length,gill raker length,0,resource acquisition,oxygen,,oxygen,gill raker length,,,,,NH
gill raker profile,gill raker profile,0,resource acquisition,oxygen,,oxygen,gill raker profile,,,,,NH
hypoxic tolerance,hypoxic tolerance,0,resource acquisition,oxygen,,oxygen,hypoxic tolerance,,,,,NH
oxygen requirement,oxygen requirement,0,resource acquisition,oxygen,,oxygen,oxygen requirement,,,,,NH
oxygen tolerance,oxygen tolerance,0,resource acquisition,oxygen,,oxygen,oxygen tolerance,,,,,NH
leaf concentrations of Pb,leaf concentrations of Pb,0,composition,palladium,,palladium,leaf concentrations of Pb,,,,,CB
per spore susceptibility,per spore susceptibility,1,life history,parasite traits,,parasite traits,per spore susceptibility,,,,,CB
nontarget effects,nontarget effects,1,resource acquisition,parasite traits,,parasite traits,nontarget effects,,1,,"CB: relating to parasites, do they or don't they produce non-target effects (i.e. symptoms) in their host of the infection",CB
obligate parasitoid,obligate parasitoid,0,resource acquisition,parasite traits,,parasite traits,obligate parasitoid,,,,,NH
parasitoid,parasitoid,0,resource acquisition,parasite traits,,parasite traits,parasitoid,,,,,NH
parasitoid selectivity,parasitoid selectivity,0,resource acquisition,parasite traits,,parasite traits,parasitoid selectivity,,,,,NH
target family,target family,1,resource acquisition,parasite traits,,parasite traits,target family,,,,,NH
target order,target order,1,resource acquisition,parasite traits,,parasite traits,target order,,,,,NH
target system,target system,1,resource acquisition,parasite traits,,parasite traits,target system,,,,,NH
taxa group,taxa group,1,resource acquisition,parasite traits,,parasite traits,taxa group,,,,,NH
maternal care,maternal care,0,life history,parental care,,parental care,maternal care,,,,,CB
number of days a chick is fed,number of days a chick is fed,0,life history,parental care,,parental care,number of days a chick is fed,,,,,CB
parental care,parental care,0,life history,parental care,,parental care,parental care,,,,,CB
parental quality,parental quality,0,life history,parental care,,parental care,parental quality,,,,,CB
susceptible to pathogens,susceptible to pathogens,0,survival,pathogens,,pathogens,susceptible to pathogens,,,,,NH
peduncle depth,peduncle depth,0,morphology,peduncle,,peduncle,peduncle depth,,,,,NH
peduncle length,peduncle length,0,morphology,peduncle,,peduncle,peduncle length,,,,,NH
perennation,perennation,0,survival,perennation,,perennation,perennation,,,,,NH
perennial,perennial,0,survival,perennation,,perennation,perennial,,,,,NH
adult persistence,adult persistence,0,survival,persistence,,persistence,adult persistence,,,,,NH
persistetence,persistence,0,survival,persistence,,persistence,persistence,,1,typo,,NH
seed persistence,seed persistence,0,survival,persistence,,persistence,seed persistence,,,,,NH
susceptible to pests,susceptible to pests,0,survival,pests,,pests,susceptible to pests,,,,,NH
acidic tolerance,acidic tolerance,0,resource acquisition,pH tolerance,,pH tolerance,acidic tolerance,,,,,NH
pH,pH,0,resource acquisition,pH tolerance,,pH tolerance,pH,,,,,NH
pH range of the germination phenotype,pH range of the germination phenotype,0,resource acquisition,pH tolerance,,pH tolerance,pH range of the germination phenotype,,,,,NH
ph tolerance,ph tolerance,0,resource acquisition,pH tolerance,,pH tolerance,ph tolerance,,1,pH tolerance,"typo, combine",NH
pH tolerance,pH tolerance,0,resource acquisition,pH tolerance,,pH tolerance,pH tolerance,,1,see above,"typo, combine",NH
phenolic substrates,phenolic substrates,0,composition,phenolics,,phenolics,phenolic substrates,,,,,CB
phenolics%,phenolics%,0,composition,phenolics,,phenolics,phenolics%,,,,,CB
total phenolics,total phenolics,0,composition,phenolics,,phenolics,total phenolics,,,,,CB
phenology,phenology,0,growth,phenology,,phenology,phenology,,,,,CB
plant phenology,plant phenology,0,growth,phenology,,phenology,plant phenology,,,,,NH
concentration P in leaves,concentration P in leaves,0,composition,phosphorous,,phosphorous,concentration P in leaves,,,,,CB
foliar P,foliar P,0,composition,phosphorous,,phosphorous,foliar P,,,,,CB
leaf P,leaf P,0,composition,phosphorous,,phosphorous,leaf P,,,,,CB
leaf P concentration,leaf P concentration,0,composition,phosphorous,,phosphorous,leaf P concentration,,,,,CB
leaf P conconcentration,leaf P conconcentration,0,composition,phosphorous,,phosphorous,leaf P conconcentration,,,,,CB
leaf P content,leaf P content,0,composition,phosphorous,,phosphorous,leaf P content,,,,,CB
leaf phosphorus,leaf phosphorus,0,composition,phosphorous,,phosphorous,leaf phosphorus,,,,,CB
leaf phosphorus conctent,leaf phosphorus content,0,composition,phosphorous,,phosphorous,leaf phosphorus content,,,,,CB
litter P,litter P,0,composition,phosphorous,,phosphorous,litter P,,,,,CB
mass based P content,mass based P content,0,composition,phosphorous,,phosphorous,mass based P content,,,,,CB
P body concentration,P body concentration,0,composition,phosphorous,,phosphorous,P body concentration,,,,,CB
P concentration,P concentration,0,composition,phosphorous,,phosphorous,P concentration,,,,,CB
P content,P content,0,composition,phosphorous,,phosphorous,P content,,,,,CB
P contents,P contents,0,composition,phosphorous,,phosphorous,P contents,,,,,CB
phosphorus,phosphorus,0,composition,phosphorous,,phosphorous,phosphorus,,,,,CB
root P concentration,root P concentration,0,composition,phosphorous,,phosphorous,root P concentration,,,,,CB
phosphorus efficieincy,phosphorus efficieincy,0,resource acquisition,phosphorous,,phosphorous,phosphorus efficieincy,,,,,NH
CO2 assimilation rate,CO2 assimilation rate,0,resource acquisition,photosynthetic rate,,photosynthetic rate,CO2 assimilation rate,,,,,NH
efficiency of PSII,efficiency of PSII,1,resource acquisition,photosynthetic rate,,photosynthetic rate,efficiency of PSII,,1,,CB: PSII is the first protien in photosynthesis,CB
investments in phototrophy,investments in phototrophy,0,resource acquisition,photosynthetic rate,,photosynthetic rate,investments in phototrophy,,,,,NH
leaf photosynthetic energy use efficiency,leaf photosynthetic energy use efficiency,0,resource acquisition,photosynthetic rate,,photosynthetic rate,leaf photosynthetic energy use efficiency,,,,,NH
maximum carboxylation rate at 25 degrees C,maximum carboxylation rate at 25 degrees C,0,resource acquisition,photosynthetic rate,,photosynthetic rate,maximum carboxylation rate at 25 degrees C,,,,,NH
maximum electron transport rate at 25 degrees C,maximum electron transport rate at 25 degrees C,0,resource acquisition,photosynthetic rate,,photosynthetic rate,maximum electron transport rate at 25 degrees C,,,,,NH
period of photosynthetic activity,period of photosynthetic activity,0,resource acquisition,photosynthetic rate,,photosynthetic rate,period of photosynthetic activity,,,,,NH
photosynthesis rate,photosynthesis rate,0,resource acquisition,photosynthetic rate,,photosynthetic rate,photosynthesis rate,,,,,NH
photosynthetic pathway,photosynthetic pathway,0,resource acquisition,photosynthetic rate,,photosynthetic rate,photosynthetic pathway,,,,,NH
photosynthetic pathway of graminoids,photosynthetic pathway of graminoids,0,resource acquisition,photosynthetic rate,,photosynthetic rate,photosynthetic pathway of graminoids,,,,,NH
photosynthetic rate,photosynthetic rate,0,resource acquisition,photosynthetic rate,,photosynthetic rate,photosynthetic rate,,,,,NH
support fraction,support fraction,1,resource acquisition,photosynthetic rate,,photosynthetic rate,support fraction,,1,,CB: the mass of the non-photosynthetic material as a proportion of the total mass,CB
physiological traits,physiological traits,0,resource acquisition,physiology,,physiology,physiological traits,,,,,NH
physiology,physiology,0,resource acquisition,physiology,,physiology,physiology,,,,,NH
BMWP index,BMWP index,0,habitat,pollution tolerance,water quality,water quality,water quality,,,,,CB
chemical tolerance,chemical tolerance,0,habitat,pollution tolerance,,pollution tolerance,chemical tolerance,,,,,CB
pollution sensitivity,pollution sensitivity,0,habitat,pollution tolerance,,pollution tolerance,pollution sensitivity,,,,,CB
saprobiity,saprobity,0,habitat,pollution tolerance,,pollution tolerance,saprobity,,,,,CB
saprobity,saprobity,0,habitat,pollution tolerance,,pollution tolerance,saprobity,,,,,CB
tolerance to organic matter enrichment,tolerance to organic matter enrichment,0,habitat,pollution tolerance,,pollution tolerance,tolerance to organic matter enrichment,,,,,CB
tolerance to silt,tolerance to silt,0,habitat,pollution tolerance,,pollution tolerance,tolerance to silt,,,,,CB
polymorphism,polymorphism,1,morphology,polymorphism,,polymorphism,polymorphism,,1,"NH: phenotypic plasticity, as mentioned before conveys important functional plasticity responses and ability to cope with change on a population level.",,NH
worker polymorphism,worker polymorphism,0,morphology,polymorphism,,polymorphism,worker polymorphism,,1,"NH: secondary --> ""phenotypic plasticity"" or ""resource use"". This is a bit of both. I think morphological phenotypic plasticity is a hugely interesting trait, regardless of the purpose it shows a huge potential for functional plasticity. In Hymenopterans it translates to complex functioning of colonies that for example make the European & African bees so hard to eradicate and successful against native pollinators. I guess this leads to a tertiary classification - to do with social organisation. Again, a type of trait that we can use when thinking about many other types of critters. Such as the social organisation of seals is currently considered on a level closer to schooling sharks or fish, than dolphins or whales, that can convey success at some things and not at others.",,NH
hydathodes,hydathodes,0,morphology,pores,,pores,hydathodes,,,,,NH
size of male pores,size of male pores,0,morphology,pores,,pores,size of male pores,,,,,NH
foliar K,foliar K,0,composition,potassium,,potassium,foliar K,,,,,CB
K content,K content,0,composition,potassium,,potassium,K content,,,,,CB
leaf K concentration,leaf K concentration,0,composition,potassium,,potassium,leaf K concentration,,,,,CB
leaf K content,leaf K content,0,composition,potassium,,potassium,leaf K content,,,,,CB
root conentrations of K,root concentrations of K,0,composition,potassium,,potassium,root concentrations of K,,,,,CB
nest predation,nest predation,0,survival,predation,,predation,nest predation,,,,,NH
risk of predation,risk of predation,0,survival,predation,,predation,risk of predation,,,,,NH
seed predation,seed predation,0,survival,predation,,predation,seed predation,,,,,NH
susceptibility to predation,susceptibility to predation,0,survival,predation,,predation,susceptibility to predation,,,,,NH
anti-predator aggregation behaviour of prey,anti-predator aggregation behaviour of prey,0,activity,predator avoidance,,predator avoidance,anti-predator aggregation behaviour of prey,,,,,CB
antipredator behaviour,antipredator behaviour,0,activity,predator avoidance,,predator avoidance,antipredator behaviour,,,,,CB
antipredator strategy,antipredator strategy,0,activity,predator avoidance,,predator avoidance,antipredator strategy,,,,,CB
apparency,apparency,0,activity,predator avoidance,,predator avoidance,apparency,,1,"NH: sceondary --> plant typology that affects their detection and survival --> so ""survival""",Strategy that detremines extent of investment in different herbivore defenses (typically physical or chemical),NH
apparent distance,apparent distance,0,activity,predator avoidance,,predator avoidance,apparent distance,,,,,CB
concealment,concealment,0,activity,predator avoidance,,predator avoidance,concealment,,1,1,CB: secondary 'predator avoidance,CB
coricosterone stress responsiveness,coricosterone stress responsiveness,0,activity,predator avoidance,,predator avoidance,coricosterone stress responsiveness,,,,,CB
difference in movement in the face of a predator,difference in movement in the face of a predator,0,activity,predator avoidance,,predator avoidance,difference in movement in the face of a predator,,,,,CB
distance foraging bird maintains between itself and alarm caller,distance foraging bird maintains between itself and alarm caller,0,activity,predator avoidance,,predator avoidance,distance foraging bird maintains between itself and alarm caller,,,,,CB
emerge from refuge or not,emerge from refuge or not,0,activity,predator avoidance,,predator avoidance,emerge from refuge or not,,,,,CB
escape behaviour,escape behaviour,0,activity,predator avoidance,,predator avoidance,escape behaviour,,,,,CB
escape technique,escape technique,0,activity,predator avoidance,,predator avoidance,escape technique,,,,,CB
escape velocity,escape velocity,0,activity,predator avoidance,,predator avoidance,escape velocity,,,,,CB
evasiveness,evasiveness,0,activity,predator avoidance,,predator avoidance,evasiveness,,,,,CB
exit temporarily,exit temporarily,1,activity,predator avoidance,,predator avoidance,exit temporarily,,1,"NH: interesting, is this predator avoidance??","CB: yup, it's a binary - did they exit the experimental area where a 'predator' was or not",CB
flight initiation distance,flight initiation distance,0,activity,predator avoidance,,predator avoidance,flight initiation distance,,,,,CB
hide behaviour,hide behaviour,0,activity,predator avoidance,,predator avoidance,hide behaviour,,,,,CB
larval escape behaviour,larval escape behaviour,0,activity,predator avoidance,,predator avoidance,larval escape behaviour,,,,,CB
predator avoidance,predator avoidance,0,activity,predator avoidance,,predator avoidance,predator avoidance,,,,,CB
predator escape response,predator escape response,0,activity,predator avoidance,,predator avoidance,predator escape response,,,,,CB
prey agility,prey agility,0,activity,predator avoidance,,predator avoidance,prey agility,,,,,CB
response distance,response distance,0,activity,predator avoidance,,predator avoidance,response distance,,1,1,secondary 'predator avoidance',CB
response duration,response duration,0,activity,predator avoidance,,predator avoidance,response duration,,1,1,secondary 'predator avoidance',CB
response latency,response latency,0,activity,predator avoidance,,predator avoidance,response latency,,1,1,secondary 'predator avoidance',CB
response to attack,response to attack,0,activity,predator avoidance,,predator avoidance,response to attack,,1,1,secondary 'predator avoidance',CB
shelter emergence latency,shelter emergence latency,0,activity,predator avoidance,,predator avoidance,shelter emergence latency,,,,,CB
time spent outside of refuge,time spent outside of refuge,0,activity,predator avoidance,,predator avoidance,time spent outside of refuge,,,,,CB
vigilance,vigilance,0,activity,predator avoidance,,predator avoidance,vigilance,,,,,CB
virulence,virulence,0,activity,predator avoidance,,predator avoidance,virulence,,,,,CB
proboscid length,proboscis length,0,morphology,proboscis traits,,proboscis traits,proboscis length,,,,,NH
proboscid width,proboscis width,0,morphology,proboscis traits,,proboscis traits,proboscis width,,,,,NH
proboscis length,proboscis length,0,morphology,proboscis traits,,proboscis traits,proboscis length,,,,,NH
body protein%,body protein%,0,composition,protein,,protein,body protein%,,,,,CB
protein body concentration,protein body concentration,0,composition,protein,,protein,protein body concentration,,,,,CB
protein content,protein content,0,composition,protein,,protein,protein content,,,,,CB
seed protein,seed protein,0,composition,protein,,protein,seed protein,,,,,CB
pulp dry weight,pulp dry weight,0,morphology,pulp traits,,pulp traits,pulp dry weight,,,,,NH
pulp macronutrient,pulp macronutrient,0,morphology,pulp traits,,pulp traits,pulp macronutrient,,,,,NH
pulp mass per individual seed,pulp mass per individual seed,0,morphology,pulp traits,,pulp traits,pulp mass per individual seed,,,,,NH
pulp wet weight,pulp wet weight,0,morphology,pulp traits,,pulp traits,pulp wet weight,,,,,NH
chorology,chorology,0,habitat,range,,range,chorology,,,,,CB
distribution range (km2): Range,distribution range (km2): Range,0,habitat,range,,range,distribution range (km2): Range,,,,,CB
documented geographic range,documented geographic range,0,habitat,range,,range,documented geographic range,,,,,CB
flowering range,flowering range,0,habitat,range,,range,flowering range,,,,,CB
geographic range size,geographic range size,0,habitat,range,,range,geographic range size,,,,,CB
geographical distribution,geographical distribution,0,habitat,range,,range,geographical distribution,,,,,CB
geographical range size,geographical range size,0,habitat,range,,range,geographical range size,,,,,CB
geogrpahic affinity,geographic affinity,0,habitat,range,,range,geographic affinity,,,,,CB
global distribution,global distribution,0,habitat,range,,range,global distribution,,,,,CB
historic range limit,historic range limit,0,habitat,range,,range,historic range limit,,,,,CB
island endemicity,island endemicity,0,habitat,range,,range,island endemicity,,,,,CB
lateral distribution,lateral distribution,0,habitat,range,,range,lateral distribution,,,,,CB
latitude overlap with Taiwan,latitude overlap with Taiwan,0,habitat,range,,range,latitude overlap with Taiwan,,,,,CB
longitudinal distribution,longitudinal distribution,0,habitat,range,,range,longitudinal distribution,,,,,CB
mean latitude of observations,mean latitude of observations,0,habitat,range,,range,mean latitude of observations,,,,,CB
native breeding range,native breeding range,0,habitat,range,,range,native breeding range,,,,,CB
native latitudinal range,native latitudinal range,0,habitat,range,,range,native latitudinal range,,,,,CB
native longitudinal range,native longitudinal range,0,habitat,range,,range,native longitudinal range,,,,,CB
native origin,native origin,0,habitat,range,,range,native origin,,,,,CB
native provenance,native provenance,0,habitat,range,,range,native provenance,,,,,CB
native range size,native range size,0,habitat,range,,range,native range size,,,,,CB
native to north america,native to north America,0,habitat,range,,range,native to north America,,,,,CB
nomadic,nomadic,0,habitat,range,,range,nomadic,,,,,CB
northern most breeding latitude,northern most breeding latitude,0,habitat,range,,range,northern most breeding latitude,,,,,CB
number of geographical zones,number of geographical zones,0,habitat,range,,range,number of geographical zones,,,,,CB
pole-most latitudinal rnage,pole-most latitudinal range,0,habitat,range,,range,pole-most latitudinal range,,,,,CB
range shift pressure,range shift pressure,0,habitat,range,,range,range shift pressure,,,,,CB
range size,range size,0,habitat,range,,range,range size,,,,,CB
range stability over time,range stability over time,0,habitat,range,,range,range stability over time,,,,,CB
size of home range,size of home range,0,habitat,range,,range,size of home range,,,,,CB
zoogeographical group,zoogeographical group,0,habitat,range,,range,zoogeographical group,,,,,CB
growth rate,growth rate,0,growth,rate,,rate,growth rate,,,,,CB
growth rate in disturbed plots,growth rate in disturbed plots,0,growth,rate,,rate,growth rate in disturbed plots,,,,,CB
growth rate in undisturbed plots,growth rate in undisturbed plots,0,growth,rate,,rate,growth rate in undisturbed plots,,,,,CB
growth rates,growth rates,0,growth,rate,,rate,growth rates,,,,,CB
height growth rate,height growth rate,0,growth,rate,,rate,height growth rate,,,,,CB
juvenile growth rate,juvenile growth rate,0,growth,rate,,rate,juvenile growth rate,,,,,CB
larval growth rate,larval growth rate,0,growth,rate,,rate,larval growth rate,,,,,CB
plant strategy type,plant strategy type,1,growth,rate,,rate,plant strategy type,,,1,CB: related to slow-growing or fast-growing,CB
population growth rate,population growth rate,0,growth,rate,,rate,population growth rate,,,,,CB
rate of dry mass production per unit dry mass,rate of dry mass production per unit dry mass,0,growth,rate,,rate,rate of dry mass production per unit dry mass,,,,,CB
relative growth rate,relative growth rate,0,growth,rate,,rate,relative growth rate,,,,,CB
relative growth rate plasticity,relative growth rate plasticity,0,growth,rate,,rate,relative growth rate plasticity,,,,,CB
root elongation rate,root elongation rate,0,growth,rate,,rate,root elongation rate,,,,,CB
seedling growth rate,seedling growth rate,0,growth,rate,,rate,seedling growth rate,,,,,CB
seedling relative growth rate,seedling relative growth rate,0,growth,rate,,rate,seedling relative growth rate,,,,,CB
specific growth rates,specific growth rates,0,growth,rate,,rate,specific growth rates,,,,,CB
plant regeneration strategy,plant regeneration strategy,0,growth,regeneration traits,,regeneration traits,plant regeneration strategy,,,,,CB
potential for regeneration of an individual,potential for regeneration of an individual,0,growth,regeneration traits,,regeneration traits,potential for regeneration of an individual,,,,,CB
vegetative regeneration,vegetative regeneration,0,growth,regeneration traits,,regeneration traits,vegetative regeneration,,,,,CB
