DOI,Trait
10.1002/ece3.3969,body size
10.1002/ece3.3969,fecundity
10.1002/ece3.5121,call bandwidth
10.1002/ece3.5121,body mass
10.1002/ece3.5121,call frequency
10.1002/ece3.5121,call duration
10.1002/ece3.5121,foraging method
10.1002/ece3.908,body size
10.1002/ece3.908,color
10.1002/ece3.908,number of lamellae on the toe pad
10.1002/ece3.908,relative limb length
10.1002/ece3.908,tail length
10.1002/eco.1655,iron sensitivity as percent of relative growth rate
10.1002/eco.1655,lateral spread
10.1002/eco.1655,leaf N content
10.1002/eco.1655,leaf P content
10.1002/eco.1655,leaf size
10.1002/eco.1655,maximum canopy height
10.1002/eco.1655,N:P ratio
10.1002/eco.1655,relative growth rate
10.1002/eco.1655,root porosity
10.1002/eco.1655,seed mass
10.1002/eco.1655,SLA
10.1002/eco.1734,mature number of oocytes
10.1002/eco.1734,oocyte diameter
10.1002/eco.1734,size at maturity
10.1002/eco.1734,smallest size of mature female sample
10.1002/ecs2.2220,body shape
10.1002/ecs2.2374,canopy structure
10.1002/ecs2.2374,dispersal mode traits
10.1002/ecs2.2374,flower sex
10.1002/ecs2.2374,flower size
10.1002/ecs2.2374,flowering period end
10.1002/ecs2.2374,flowering period length
10.1002/ecs2.2374,flowering period start
10.1002/ecs2.2374,fruit type
10.1002/ecs2.2374,growth form
10.1002/ecs2.2374,leaf length/width ratio
10.1002/ecs2.2374,leaf surface texture
10.1002/ecs2.2374,life form
10.1002/ecs2.2374,longevity
10.1002/ecs2.2374,max plant height
10.1002/ecs2.2374,mean leaf length
10.1002/ecs2.2374,mean leaf width
10.1002/ecs2.2374,pollination type
10.1002/ecs2.2374,seed production
10.1002/ecs2.2374,seed weight
10.1002/ecs2.2460,adult size
10.1002/ecs2.2460,diet
10.1002/ecs2.2460,fecundity
10.1002/ecs2.2460,feeding method
10.1002/ecs2.2460,offspring size
10.1002/ecy.1802,diet specialization
10.1002/ecy.1915,web building behaviour
10.1002/ecy.1990,leaf P concentration
10.1002/ecy.1990,seed volume
10.1002/ecy.1990,SLA
10.1002/ecy.1990,wood density
10.1002/ecy.2079,dispersal method
10.1002/ecy.2079,first month of flowering
10.1002/ecy.2079,height
10.1002/ecy.2079,lateral spread
10.1002/ecy.2079,mycorrhizal association
10.1002/ecy.2079,seed mass
10.1002/ecy.2079,SLA
10.1002/ecy.2179,breeding success
10.1002/ecy.2179,survival
10.1002/ecy.2436,body length
10.1002/ecy.2436,eye diameter
10.1002/ecy.2436,interocular distance
10.1002/ecy.2436,length of the femur of front legs
10.1002/ecy.2436,length of the femur of hind legs
10.1002/ecy.2436,length of the femur of middle legs
10.1002/ecy.2436,length of tibia in hind leg
10.1002/ecy.2436,pronotum length
10.1002/ecy.2436,pronotum width
10.1002/ecy.2436,wing length
10.1002/ecy.2533,chemical structural-compositional similarity
10.1002/ecy.2533,metabolite composition
10.1002/rra.687,body mass
10.1002/rra.687,length
10.1007/BF00133308,feeding method
10.1007/BF00133308,microhabitat preference
10.1007/BF00133308,nest height
10.1007/BF00133308,nest type
10.1007/BF00133308,reproductive effort
10.1007/BF00133308,response to patch size
10.1007/BF00133308,response to edge
10.1007/BF00133308,seral stage association
10.1007/BF00133308,territory density
10.1007/BF00133308,territory size
10.1007/s00035-017-0198-6,depth of nectar tubes
10.1007/s00035-017-0198-6,display size of flowers
10.1007/s00035-017-0198-6,floral scent bouquet
10.1007/s00035-017-0198-6,flower inclination
10.1007/s00035-017-0198-6,leaf area
10.1007/s00035-017-0198-6,leaf lengths
10.1007/s00035-017-0198-6,leaf lobation
10.1007/s00035-017-0198-6,leaf thickness
10.1007/s00035-017-0198-6,leaf widths
10.1007/s00035-017-0198-6,plant height
10.1007/s00035-017-0198-6,position of anthers
10.1007/s00035-017-0198-6,scent emission per plant per hour
10.1007/s00035-017-0198-6,specific leaf weight
10.1007/s00035-017-0198-6,width of nectar tubes
10.1007/s00114-017-1475-3,morphological landmarks
10.1007/s00114-017-1475-3,subsequent morphospace
10.1007/s00227-014-2568-6,stomatal surface
10.1007/s00227-014-2568-6,volume
10.1007/s00265-006-0160-x,breeding habitat associated with human habitat
10.1007/s00265-006-0160-x,mean body mass
10.1007/s00265-006-0160-x,migratory
10.1007/s00265-006-0160-x,nesting habitat
10.1007/s00265-006-0160-x,sexual chromatism
10.1007/s00265-006-0160-x,sociality
10.1007/s00300-015-1872-z,emergence timing
10.1007/s00300-015-1872-z,reproductive output
10.1007/s00300-016-1946-6,zoogeographical group
10.1007/s00338-018-1689-7,glandular lip epithelium
10.1007/s00442-004-1770-5,breeding timing
10.1007/s00442-004-1770-5,intraspecific density
10.1007/s00442-004-1770-5,nest predation
10.1007/s00442-004-1770-5,nest site selection
10.1007/s00442-004-1770-5,parental quality
10.1007/s00442-009-1446-2,body mass
10.1007/s00442-009-1446-2,flight feather length
10.1007/s00442-010-1684-3,branch dieback
10.1007/s00442-010-1684-3,growth rate
10.1007/s00442-010-1684-3,needle retention
10.1007/s00442-010-1833-8,growth rate
10.1007/s00442-010-1833-8,reproductive investment
10.1007/s00442-010-1833-8,survival rate
10.1007/s00442-010-1833-8,total length
10.1007/s00442-010-1854-3,body size
10.1007/s00442-010-1854-3,diet
10.1007/s00442-010-1854-3,echolocation
10.1007/s00442-010-1854-3,wing morphology
10.1007/s00442-011-1980-6,canopy height
10.1007/s00442-011-1980-6,canopy structure
10.1007/s00442-011-1980-6,flowering end
10.1007/s00442-011-1980-6,flowering start
10.1007/s00442-011-1980-6,LDMC
10.1007/s00442-011-1980-6,leaf size
10.1007/s00442-011-1980-6,life form
10.1007/s00442-011-1980-6,log seed mass
10.1007/s00442-011-1980-6,regeneration stage
10.1007/s00442-011-1980-6,seed longevity
10.1007/s00442-011-1980-6,SLA
10.1007/s00442-011-1980-6,terminal velocity
10.1007/s00442-011-1980-6,variance in seed dimensions
10.1007/s00442-011-1980-6,vegetative state
10.1007/s00442-012-2431-8,bark thickness
10.1007/s00442-012-2431-8,basal area
10.1007/s00442-012-2431-8,concentration Ca in leaves
10.1007/s00442-012-2431-8,concentration Mg in leaves
10.1007/s00442-012-2431-8,concentration N in leaves
10.1007/s00442-012-2431-8,concentration P in leaves
10.1007/s00442-012-2431-8,concentration S in leaves
10.1007/s00442-012-2431-8,LDMC
10.1007/s00442-012-2431-8,leaf K concentration
10.1007/s00442-012-2431-8,plant height
10.1007/s00442-012-2431-8,SLA
10.1007/s00442-012-2431-8,wood density
10.1007/s00442-014-2917-7,dispersal capacity
10.1007/s00442-014-2917-7,egg maturation time
10.1007/s00442-014-2917-7,egg number
10.1007/s00442-014-2917-7,the number of generations per year
10.1007/s00442-014-2917-7,the way of egg deposition
10.1007/s00442-014-2917-7,wing length
10.1007/s00442-014-3039-y,aspect ratio
10.1007/s00442-014-3039-y,breadth of braincase
10.1007/s00442-014-3039-y,condylobasal length
10.1007/s00442-014-3039-y,feeding method
10.1007/s00442-014-3039-y,greatest length of skull
10.1007/s00442-014-3039-y,length of mandibular tooth row
10.1007/s00442-014-3039-y,length of maxillary tooth row
10.1007/s00442-014-3039-y,mandible length
10.1007/s00442-014-3039-y,skull height
10.1007/s00442-014-3039-y,wing loading
10.1007/s00442-014-3039-y,wing span
10.1007/s00442-014-3039-y,wing surface
10.1007/s00442-014-3039-y,wing tip index
10.1007/s00442-014-3101-9,C:N ratio
10.1007/s00442-014-3101-9,eye position
10.1007/s00442-014-3101-9,eye width
10.1007/s00442-014-3101-9,femur length
10.1007/s00442-014-3101-9,head width
10.1007/s00442-014-3101-9,mandible length
10.1007/s00442-014-3101-9,pilosity
10.1007/s00442-014-3101-9,polymorphism
10.1007/s00442-014-3101-9,scape length
10.1007/s00442-014-3101-9,sculpturing
10.1007/s00442-014-3101-9,spinosity
10.1007/s00442-014-3101-9,weber length
10.1007/s00442-015-3295-5,CSR strategy
10.1007/s00442-015-3295-5,flowering length
10.1007/s00442-015-3295-5,flowering start
10.1007/s00442-015-3295-5,growth form
10.1007/s00442-015-3295-5,LDMC
10.1007/s00442-015-3295-5,leaf form
10.1007/s00442-015-3295-5,leaf persistence
10.1007/s00442-015-3295-5,life form
10.1007/s00442-015-3295-5,plant height
10.1007/s00442-015-3295-5,scleromorphy
10.1007/s00442-015-3295-5,SLA
10.1007/s00442-015-3295-5,spinescence
10.1007/s00442-015-3295-5,trichomes
10.1007/s00442-015-3345-z,antennal to body length ratio
10.1007/s00442-015-3345-z,body length
10.1007/s00442-015-3345-z,habitat width
10.1007/s00442-015-3345-z,life form
10.1007/s00442-015-3345-z,moisture use
10.1007/s00442-016-3700-8,LDMC
10.1007/s00442-016-3700-8,seed mass
10.1007/s00442-016-3700-8,SLA
10.1007/s00442-017-4016-z,body condition
10.1007/s00442-017-4016-z,growth rate
10.1007/s00442-017-4041-y,LDMC
10.1007/s00442-017-4041-y,SLA
10.1007/s00442-017-4053-7,migratory behavior
10.1007/s00442-017-4053-7,thermal tolerance
10.1007/s00442-018-4162-y,C:N ratio
10.1007/s00442-018-4162-y,LDMC
10.1007/s00442-018-4162-y,plant height
10.1007/s00442-018-4162-y,presence of trichomes
10.1007/s00442-018-4162-y,silicum content
10.1007/s00442-018-4162-y,SLA
10.1007/s00442-018-4162-y,total secondary metabolite richness
10.1007/s00442-019-04386-0,flowering time
10.1007/s004420000504,female size at maturity
10.1007/s004420000504,male size at maturity
10.1007/s004420000504,number of offspring
10.1007/s004420000504,reproductive allotment by females
10.1007/s004420000504,size of offspring
10.1007/s00468-011-0632-0,growth rings
10.1007/s00468-011-0632-0,perforation plates
10.1007/s00468-011-0632-0,porosity
10.1007/s00468-011-0632-0,ray height
10.1007/s00468-011-0632-0,ray width
10.1007/s00468-011-0632-0,solitary vessel outline
10.1007/s00468-011-0632-0,vessel arrangement
10.1007/s00468-011-0632-0,vessel groupings
10.1007/s10021-015-9875-8,body mass
10.1007/s10021-015-9875-8,clutch size
10.1007/s10021-015-9875-8,feeding method
10.1007/s10021-015-9875-8,food types
10.1007/s10021-015-9875-8,migrant
10.1007/s10021-015-9875-8,nest types
10.1007/s10021-015-9875-8,nomadic
10.1007/s10021-015-9875-8,resident
10.1007/s10336-005-0011-y,onset of reproduction
10.1007/s10452-015-9546-z,presence or absence of gas vacuole
10.1007/s10452-015-9546-z,shell compression
10.1007/s10452-015-9546-z,shell constitution
10.1007/s10452-016-9597-9,body size
10.1007/s10452-017-9634-3,cell size
10.1007/s10452-017-9634-3,mixotrophy
10.1007/s10452-017-9634-3,motility
10.1007/s10452-017-9634-3,N fixation
10.1007/s10452-017-9634-3,shape
10.1007/s10452-017-9634-3,silica requirements
10.1007/s10531-014-0843-y,diameter
10.1007/s10531-014-0843-y,height
10.1007/s10531-014-0843-y,number of stems
10.1007/s10641-016-0481-1,body weight
10.1007/s10641-016-0481-1,ecological specialization
10.1007/s10641-016-0481-1,sensory organ
10.1007/s10641-016-0506-9,anal fin height
10.1007/s10641-016-0506-9,anal fin length
10.1007/s10641-016-0506-9,body shape
10.1007/s10641-016-0506-9,body width
10.1007/s10641-016-0506-9,caudal fin depth
10.1007/s10641-016-0506-9,caudal fin length
10.1007/s10641-016-0506-9,caudal peduncle width
10.1007/s10641-016-0506-9,dorsal fin height
10.1007/s10641-016-0506-9,dorsal fin length
10.1007/s10641-016-0506-9,eye diameter
10.1007/s10641-016-0506-9,gape width
10.1007/s10641-016-0506-9,head height
10.1007/s10641-016-0506-9,head length
10.1007/s10641-016-0506-9,interorbital distance
10.1007/s10641-016-0506-9,mouth position
10.1007/s10641-016-0506-9,peduncle depth
10.1007/s10641-016-0506-9,peduncle length
10.1007/s10641-016-0506-9,snout length eye position
10.1007/s10641-016-0506-9,standard length
10.1007/s10641-017-0576-3,body shape
10.1007/s10641-018-0759-6,aspect ratio of caudal fin
10.1007/s10641-018-0759-6,aspect ratio of pectoral fin
10.1007/s10641-018-0759-6,body transversal surface
10.1007/s10641-018-0759-6,body transverse shape
10.1007/s10641-018-0759-6,caudal peduncle throttling
10.1007/s10641-018-0759-6,eye position
10.1007/s10641-018-0759-6,eye size
10.1007/s10641-018-0759-6,fins surface ratio
10.1007/s10641-018-0759-6,fins surface to body size ratio
10.1007/s10641-018-0759-6,oral gape position
10.1007/s10641-018-0759-6,oral gape shape
10.1007/s10641-018-0759-6,oral gape surface
10.1007/s10641-018-0759-6,pectoral fin position
10.1007/s10661-015-4519-1,akinetes
10.1007/s10661-015-4519-1,biomass
10.1007/s10661-015-4519-1,flagella
10.1007/s10661-015-4519-1,max linear dimension
10.1007/s10661-015-4519-1,mucilage
10.1007/s10661-015-4519-1,presence of heterocytes
10.1007/s10661-015-4519-1,silica walls
10.1007/s10661-015-4519-1,vacuoles
10.1007/s10682-013-9631-5,dietary preference category
10.1007/s10682-013-9631-5,habitat
10.1007/s10682-013-9631-5,mean body mass
10.1007/s10682-018-9945-4,amount of subcutaneous fat
10.1007/s10682-018-9945-4,body mass
10.1007/s10682-018-9945-4,flight feather moult status
10.1007/s10682-018-9945-4,tarsus and bill length
10.1007/s10682-018-9945-4,wing aspect ratio
10.1007/s10682-018-9945-4,wing loading
10.1007/s10682-018-9945-4,wing pointedness
10.1007/s10682-018-9945-4,wing shape
10.1007/s10750-013-1711-6,cell size
10.1007/s10750-013-1711-6,form of adherence to the substrate
10.1007/s10750-013-1711-6,form of attachment
10.1007/s10750-013-1711-6,form of growth
10.1007/s10750-015-2191-7,body volume
10.1007/s10750-015-2191-7,corona type
10.1007/s10750-015-2191-7,defense behaviour
10.1007/s10750-015-2191-7,feeding method
10.1007/s10750-015-2191-7,integument type
10.1007/s10750-015-2191-7,trophic guild
10.1007/s10750-015-2313-2,biovolume
10.1007/s10750-015-2313-2,greatest axial linear dimension
10.1007/s10750-015-2313-2,life form
10.1007/s10750-015-2313-2,mixotrophy
10.1007/s10750-015-2313-2,motility
10.1007/s10750-015-2313-2,silica requirements
10.1007/s10750-015-2389-8,labral fan ray width
10.1007/s10750-015-2389-8,length
10.1007/s10750-015-2389-8,number of rays
10.1007/s10750-016-2981-6,body size
10.1007/s10750-016-2981-6,reynolds associations
10.1007/s10750-017-3433-7,biomass
10.1007/s10750-018-3697-6,body volume
10.1007/s10750-018-3697-6,corona type
10.1007/s10750-018-3697-6,defense behaviour
10.1007/s10750-018-3697-6,feeding method
10.1007/s10750-018-3697-6,integument type
10.1007/s10750-018-3697-6,trophic guild
10.1007/s10841-011-9412-9,body size
10.1007/s10841-011-9412-9,habitat
10.1007/s10841-011-9412-9,larval instar period
10.1007/s10841-011-9412-9,trophic guild
10.1007/s10841-011-9412-9,wing development
10.1007/s10980-012-9820-6,dispersal ability
10.1007/s10980-012-9820-6,sociality
10.1007/s10980-012-9820-6,trophic guild
10.1007/s11104-018-3816-1,LDMC
10.1007/s11104-018-3816-1,root N concentration
10.1007/s11104-018-3816-1,root RTD
10.1007/s11104-018-3816-1,root SRL
10.1007/s11104-018-3816-1,SLA
10.1007/s11104-018-3816-1,total leaf N concentration
10.1007/s11160-016-9446-x,feeding method
10.1007/s11160-016-9446-x,nest-defense behaviour
10.1007/s11160-016-9446-x,spawning location
10.1007/s11160-016-9446-x,spawning season
10.1007/s11160-017-9479-9,critical thermal maximum
10.1007/s11160-017-9479-9,current preference
10.1007/s11160-017-9479-9,diet breadth
10.1007/s11160-017-9479-9,fecundity
10.1007/s11160-017-9479-9,fluvial dependence
10.1007/s11160-017-9479-9,IUCN listing
10.1007/s11160-017-9479-9,max body length
10.1007/s11160-017-9479-9,reproductive mode
10.1007/s11160-017-9479-9,shape factor
10.1007/s11160-017-9479-9,spawning temperature
10.1007/s11160-017-9479-9,swim factor
10.1007/s11160-017-9479-9,thermal tolerance
10.1007/s11160-017-9479-9,trophic guild
10.1007/s11284-016-1373-8,leaf N content
10.1007/s11284-016-1373-8,leaf P content
10.1007/s11284-016-1373-8,max stem height
10.1007/s11284-016-1373-8,SLA
10.1007/s11284-016-1373-8,sprouting ratio
10.1007/s11284-016-1373-8,wood density
10.1007/s11629-017-4477-x,woody vs. herbaceous
10.1007/s13595-019-0830-2,height
10.1007/s13595-019-0830-2,LDMC
10.1007/s13595-019-0830-2,leaf area
10.1007/s13595-019-0830-2,leaf C content
10.1007/s13595-019-0830-2,leaf C13 composition
10.1007/s13595-019-0830-2,leaf dimension
10.1007/s13595-019-0830-2,leaf K content
10.1007/s13595-019-0830-2,leaf N content
10.1007/s13595-019-0830-2,leaf N15 composition
10.1007/s13595-019-0830-2,root diameter
10.1007/s13595-019-0830-2,root dimension
10.1007/s13595-019-0830-2,SLA
10.1007/s13595-019-0830-2,specific root length
10.1007/s13595-019-0830-2,stem dimension
10.1007/s13595-019-0830-2,trunk bark thickness
10.1007/s13595-019-0830-2,wood density
10.1007/s13744-012-0069-1,body size
10.1007/s13744-012-0069-1,social behaviour
10.1007/s13744-018-0620-9,body length
10.1007/s13744-018-0620-9,diet
10.1016/B978-0-12-386475-8.00005-8,body size
10.1016/B978-0-12-386475-8.00005-8,feeding method
10.1016/B978-0-12-386475-8.00005-8,habitat
10.1016/B978-0-12-386475-8.00005-8,mobility
10.1016/B978-0-12-386475-8.00005-8,trophic guild
10.1016/j.actao.2016.06.003,carb storage in root
10.1016/j.actao.2016.06.003,carb structure in long tap root
10.1016/j.actao.2016.06.003,carb structure in step
10.1016/j.actao.2016.06.003,clonality
10.1016/j.actao.2016.06.003,dispersal method
10.1016/j.actao.2016.06.003,leaf succulence
10.1016/j.actao.2016.06.003,life form
10.1016/j.actao.2016.06.003,photosynthetic pathway
10.1016/j.actao.2016.06.003,plant height
10.1016/j.actao.2016.06.003,plant strategy type
10.1016/j.actao.2016.06.003,pollination mode
10.1016/j.actao.2016.06.003,reduced leaves
10.1016/j.actao.2016.06.003,stem succulence
10.1016/j.actao.2016.06.003,thornines
10.1016/j.actao.2016.06.003,wax-coating
10.1016/j.actao.2016.10.007,bark texture
10.1016/j.actao.2016.10.007,number of epiphytes per tree
10.1016/j.actao.2016.10.007,tree size
10.1016/j.actao.2016.10.007,wood density
10.1016/j.agee.2017.01.036,bacterial growth
10.1016/j.agee.2017.01.036,body mass
10.1016/j.agee.2017.01.036,feeding method
10.1016/j.agee.2017.01.036,metabolic quotient
10.1016/j.agee.2017.01.036,potential C mineralization
10.1016/j.agee.2017.01.036,potentially mineralizable N
10.1016/j.anbehav.2017.07.010,diet
10.1016/j.anbehav.2017.07.010,foraging method
10.1016/j.anbehav.2017.07.010,foraging territory size
10.1016/j.biocon.2011.11.033,clonality
10.1016/j.biocon.2011.11.033,competitive ability
10.1016/j.biocon.2011.11.033,plant regeneration strategy
10.1016/j.biocon.2011.11.033,success of establishment
10.1016/j.biocon.2013.12.008,dispersal method
10.1016/j.biocon.2013.12.008,LDMC
10.1016/j.biocon.2013.12.008,plant height
10.1016/j.biocon.2013.12.008,seed mass
10.1016/j.biocon.2013.12.008,SLA
10.1016/j.dsr.2017.11.010,stable isotope
10.1016/j.ecocom.2012.03.003,growth rate in disturbed plots
10.1016/j.ecocom.2012.03.003,growth rate in undisturbed plots
10.1016/j.ecocom.2012.03.003,max diameter
10.1016/j.ecocom.2012.03.003,mortality rate in disturbed plots
10.1016/j.ecocom.2012.03.003,mortality rate in undisturbed plots
10.1016/j.ecocom.2012.03.003,recruitment
10.1016/j.ecocom.2012.03.003,wood density
10.1016/j.ecoleng.2014.11.057,vegetation type
10.1016/j.ecolind.2016.02.060,form of adherence
10.1016/j.ecolind.2016.02.060,intensity of adherence to substrate
10.1016/j.ecolind.2016.02.060,life form
10.1016/j.ecolind.2016.02.060,size class
10.1016/j.ecolind.2016.07.019,AMBI ecological group
10.1016/j.ecolind.2016.07.019,body size
10.1016/j.ecolind.2016.07.019,feeding method
10.1016/j.ecolind.2016.07.019,larval type
10.1016/j.ecolind.2016.07.019,life span
10.1016/j.ecolind.2016.07.019,motility
10.1016/j.ecolind.2016.07.019,position in sediments
10.1016/j.ecolind.2017.01.029,head length
10.1016/j.ecolind.2017.01.029,length of hind femur
10.1016/j.ecolind.2017.01.029,mandible length
10.1016/j.ecolind.2017.01.029,weber length
10.1016/j.ecolind.2017.12.003,aerotopes
10.1016/j.ecolind.2017.12.003,flagella
10.1016/j.ecolind.2017.12.003,heterocysts
10.1016/j.ecolind.2017.12.003,individual volume
10.1016/j.ecolind.2017.12.003,max linear dimension
10.1016/j.ecolind.2017.12.003,mucilage
10.1016/j.ecolind.2017.12.003,salinity tolerance
10.1016/j.ecolind.2017.12.003,siliceous exoskeleton structures
10.1016/j.ecolind.2017.12.003,type of cell organization
10.1016/j.ecss.2009.10.015,habitat
10.1016/j.ecss.2009.10.015,size
10.1016/j.ecss.2009.10.015,trophic guild
10.1016/j.ecss.2013.06.019,feeding method
10.1016/j.ecss.2015.05.023,canopy height
10.1016/j.ecss.2015.05.023,lateral spread
10.1016/j.ecss.2015.05.023,LDMC
10.1016/j.ecss.2015.05.023,leaf area
10.1016/j.ecss.2015.05.023,leaf dry-matter content
10.1016/j.ecss.2015.05.023,leaf projected area
10.1016/j.ecss.2015.05.023,SLA
10.1016/j.ecss.2015.05.023,succulence index
10.1016/j.ecss.2018.11.016,flowering onset
10.1016/j.ecss.2018.11.016,flowering span
10.1016/j.ecss.2018.11.016,fruit type
10.1016/j.ecss.2018.11.016,geographical distribution
10.1016/j.ecss.2018.11.016,life form
10.1016/j.ecss.2018.11.016,plant height
10.1016/j.ecss.2018.11.016,pollination
10.1016/j.ecss.2018.11.016,seed dispersal
10.1016/j.ecss.2018.11.016,seed mass
10.1016/j.ecss.2018.11.016,SLA
10.1016/j.foreco.2015.05.026,seed mass
10.1016/j.foreco.2015.05.026,SLA
10.1016/j.foreco.2015.05.026,wood density
10.1016/j.foreco.2016.04.020,DBH
10.1016/j.foreco.2016.04.020,max tree height
10.1016/j.foreco.2016.04.020,wood density
10.1016/j.foreco.2018.04.032,average and max diameters of 100 xylem vessels
10.1016/j.foreco.2018.04.032,C isotope composition
10.1016/j.foreco.2018.04.032,leaf dry weight
10.1016/j.foreco.2018.04.032,leaf mass/area
10.1016/j.foreco.2018.04.032,leaf P
10.1016/j.foreco.2018.04.032,leaf water potential
10.1016/j.foreco.2018.04.032,N isotope composition
10.1016/j.foreco.2018.04.032,number of xylem vessels per mm
10.1016/j.foreco.2018.04.032,stemp-specific density
10.1016/j.foreco.2018.06.006,life form
10.1016/j.foreco.2018.06.006,native
10.1016/j.foreco.2018.06.006,non-native
10.1016/j.foreco.2018.06.006,seed size
10.1016/j.foreco.2018.10.061,fire tolerance
10.1016/j.foreco.2018.10.061,shade tolerance
10.1016/j.foreco.2019.01.021,clypeus length
10.1016/j.foreco.2019.01.021,eye position
10.1016/j.foreco.2019.01.021,femur length
10.1016/j.foreco.2019.01.021,mandible length
10.1016/j.foreco.2019.01.021,max eye diameter
10.1016/j.foreco.2019.01.021,scape length
10.1016/j.foreco.2019.01.021,weber length
10.1016/j.gecco.2016.01.004,body size
10.1016/j.gecco.2016.01.004,locomotion
10.1016/j.gecco.2016.01.004,trophic guild
10.1016/j.limno.2015.10.005,gonad mass
10.1016/j.limno.2015.10.005,growth rate
10.1016/j.limno.2015.10.005,hatching date
10.1016/j.limno.2015.10.005,spawning date
