Journal,Number of Relevant Papers
HERPETOLOGICA,1
HERPETOLOGICAL JOURNAL,1
HORMONES AND BEHAVIOR,1
HYDROBIOLOGIA,9
INSECT CONSERVATION AND DIVERSITY,3
INSECTS,1
INTEGRATIVE ZOOLOGY,1
INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,1
INTERNATIONAL JOURNAL OF PLANT SCIENCES,1
INTERNATIONAL LETTERS OF NATURAL SCIENCES,1
ISME JOURNAL,2
JOURNAL OF ANIMAL ECOLOGY,36
JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY,1
JOURNAL OF APPLIED ECOLOGY,14
JOURNAL OF AVIAN BIOLOGY,1
JOURNAL OF BIOGEOGRAPHY,20
JOURNAL OF COMPARATIVE PHYSIOLOGY B-BIOCHEMICAL SYSTEMS AND ENVIRONMENTAL PHYSIOLOGY,1
JOURNAL OF ECOLOGY,36
JOURNAL OF EVOLUTIONARY BIOLOGY,7
JOURNAL OF EXPERIMENTAL BIOLOGY,1
JOURNAL OF FISH BIOLOGY,4
JOURNAL OF INSECT CONSERVATION,1
JOURNAL OF MOUNTAIN SCIENCE,1
JOURNAL OF NATURAL HISTORY,1
JOURNAL OF ORNITHOLOGY,1
JOURNAL OF PHYCOLOGY,1
JOURNAL OF PLANKTON RESEARCH,2
JOURNAL OF PLANT ECOLOGY,3
JOURNAL OF SEA RESEARCH,2
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,1
JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,4
JOURNAL OF THE ROYAL SOCIETY INTERFACE,1
JOURNAL OF THEORETICAL BIOLOGY,3
JOURNAL OF VEGETATION SCIENCE,20
JOURNAL OF ZOOLOGY,3
KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,1
LANDSCAPE ECOLOGY,2
LATERALITY,1
LIMNOLOGICA,1
MAMMAL REVIEW,1
MARINE BIOLOGY,1
MARINE BIOLOGY RESEARCH,1
MARINE ECOLOGY PROGRESS SERIES,7
MARINE ECOLOGY-AN EVOLUTIONARY PERSPECTIVE,1
MARINE ECOLOGY-PUBBLICAZIONI DELLA STAZIONE ZOOLOGICA DI NAPOLI I,1
MARINE ENVIRONMENTAL RESEARCH,1
MARINE POLLUTION BULLETIN,1
MATHEMATICAL AND COMPUTATIONAL FORESTRY AND NATURAL RESOURCES SCIENCES,1
MATHEMATICAL BIOSCIENCES,1
MATHEMATICS,1
METHODS IN ECOLOGY AND EVOLUTION,5
MICROBIOME,1
MOLECULAR ECOLOGY,5
MOVEMENT ECOLOGY,1
NATURE,1
NATURE COMMUNICATIONS,1
NATURE ECOLOGY & EVOLUTION,2
NATUREZA & CONSERVACAO,1
NEOTROPICAL ENTOMOLOGY,2
NEUROTOXICOLOGY AND TERATOLOGY,1
NEW PHYTOLOGIST,7
NORTH-WESTERN JOURNAL OF ZOOLOGY,1
OECOLOGIA,27
OIKOS,22
OSTRICH,1
PALEOBIOLOGY,2
PARASITES & VECTORS,1
PARASITOLOGY,1
PEDOBIOLOGIA,1
PEERJ,7
PERIODICUM BIOLOGORUM,1
PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,4
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,3
PHYSICAL REVIEW E,1
PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,1
PLANT AND SOIL,1
PLANT BIOLOGY,2
PLANT ECOLOGY & DIVERSITY,3
PLOS BIOLOGY,1
PLOS ONE,28
POLAR BIOLOGY,2
PRESLIA,2
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,17
PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,16
PROGRESS IN OCEANOGRAPHY,2
REMOTE SENSING OF ENVIRONMENT,2
REVIEWS IN FISH BIOLOGY AND FISHERIES,4
REVUE D ECOLOGIE-LA TERRE ET LA VIE,1
RIVER RESEARCH AND APPLICATIONS,1
ROYAL SOCIETY OPEN SCIENCE,4
SCIENCE,3
SCIENCE OF NATURE,1
SCIENCE OF THE TOTAL ENVIRONMENT,6
SCIENTIFIC REPORTS,9
SEED SCIENCE RESEARCH,1
SOIL BIOLOGY & BIOCHEMISTRY,3
SPRINGERPLUS,1
THEORETICAL ECOLOGY,3
TREES-STRUCTURE AND FUNCTION,1
TRENDS IN ECOLOGY & EVOLUTION,1
TUEXENIA,2
URBAN FORESTRY & URBAN GREENING,1
WATER,2
WEED RESEARCH,1
WEED SCIENCE,1
ZOOTAXA,1
