TI,AB,DOI,PY,PT,AU,SO,Relevance,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,Trait Types,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change,Global Change Driver,AdditionalReviewNeeded,ReviewerNotes,ReviewedBy
Functional-biogeography of the reef fishes of the islands of the Gulf of California: Integrating functional divergence into marine conservation,"The Gulf of California (GC) is a semi-closed sea in the Tropical Eastern Pacific and is recognised as a highly diverse marine ecosystem. Despite this status, this region is still poorly studied in comparison to other marine hotspots. To start filling this gap, we attempt to provide a global overview of reef-fish diversity around the numerous islands of the region. We evaluated species richness, the abundance and biomass, and the functional diversity of the fish assemblages for the major islands of the GC. We first highlight that the southwestern part of the central GC is the hotspot of reef-fishes diversity within the GC, in terms of species richness, functional diversity, and fish abundance. We then found out an important functional divergence between fish assemblages of northern and southern regions. The fish biomass of each region is dominated by different species, characterised by different ecological traits (the opposite of functional convergence). This functional divergence may be explained by an important oceanographic heterogeneity along the latitudinal axis of the GC. The northern part shows larger climate fluctuations while the southern part is more tropical and climatically stable. Such functional divergence is a biodiversity facet to take into account when determining the sites to focus conservation action. In the GC, this criterion allows the importance of some sites to be highlighted to preserve the legacy of the reef-fishes, despite their lower diversity levels. (C) 2018 The Authors. Published by Elsevier B.V.",10.1016/j.gecco.2018.e00506,2018,J,"Olivier, D; Loiseau, N; Petatan-Ramirez, D; Milian, OT; Suarez-Castillo, AN; Torre, J; Munguia-Vega, A; Reyes-Bonilla, H",GLOBAL ECOLOGY AND CONSERVATION,1,0,1,0,0,1,0,observational,marine,fish,Gulf of California (coastal subtropical),total length; home range; period of activity; gregariousness; vertical habitat position; diet,0,1,0,0,1,0,1,1,1,0,0,0,0,,COLE: recommend removing bracketed clarification in trait,CB
Functional biogeography: Stoichiometry and thresholds for interpreting nutrient limitation in aquatic plants,"Atmospheric N pollution may shift nutrient limitations in aquatic autotrophs from N to P or cause an intensification of P limitation in formerly pristine areas. Small changes in nutrient supply in oligotrophic lakes and rivers could lead to large changes in relative plant growth and yield with possible knock on effects on ecosystem carbon cycling through changes in the decomposition rate of their tissue. Previous biogeographical studies have shown inconsistent responses of plant nutrient tissue content and stoichiometry (functional traits) to external nutrient availability. Here we used a single species, Juncus bulbosus, to test the interplay between plant tissue nutrient (content and stoichiornetry) and external environmental factors (local and catchment scale). We developed a comparative approach applicable globally to assess the thresholds for nutrient limitation in aquatic plants in the wild. Phosphorus in Juncus bulbosus tissue was negatively related to sediment organic matter (Fe root plaque limiting P uptake) and catchment vegetation cover (less P leaching to lakes). Our comparative approach revealed that the lack of increase in N plant tissue along the strong gradient in external N concentration may be explained by P limitation and strict plant tissue N:P ratio. Our comparative approach further showed that the nutrient content and stoichiometry ofJuncus bulbosus was similar to other submerged aquatic plants growing in nutrient poor aquatic ecosystems. In southern Norway, mass development of Juncus bulbosus may be primarily triggered by changes in P availability, rather than CO2 or inorganic N, as previously thought, although co-limitations are also possible. If so, the mass development of Juncus bulbosus in oligotrophic aquatic ecosystems could be an early indicator of increasing P fluxes through these ecosystems which are less limited by N due to high atmospheric N deposition. (C) 2019 Elsevier B.V. All rights reserved.",10.1016/j.scitotenv.2019.04.366,2019,J,"Moe, TF; Hessen, DO; Demars, BOL",SCIENCE OF THE TOTAL ENVIRONMENT,1,0,1,0,0,1,0,observational,freshwater,plants,lakes (Europe),C; N; P,0,1,0,0,0,1,0,0,0,0,0,0,0,,,CB
Latitudinal variation of leaf stomatal traits from species to community level in forests: linkage with ecosystem productivity,"To explore the latitudinal variation of stomatal traits from species to community level and their linkage with net primary productivity (NPP), we investigated leaf stomatal density (SDL) and stomatal length (SLL) across 760 species from nine forest ecosystems in eastern China, and calculated the community-level SD (SDC) and SL (SLC) through species-specific leaf area index (LAI). Our results showed that latitudinal variation in species-level SDL and SLL was minimal, but community-level SDC and SLC decreased clearly with increasing latitude. The relationship between SD and SL was negative across species and different plant functional types (PFTs), but positive at the community level. Furthermore, community-level SDC correlated positively with forest NPP, and explained 51% of the variation in NPP. These findings indicate that the trade-off by regulating SDL and SLL may be an important strategy for plant individuals to adapt to environmental changes, and temperature acts as the main factor influencing community-level stomatal traits through alteration of species composition. Importantly, our findings provide new insight into the relationship between plant traits and ecosystem function.",10.1038/srep14454,2015,J,"Wang, RL; Yu, GR; He, NP; Wang, QF; Zhao, N; Xu, ZW; Ge, JP",SCIENTIFIC REPORTS,1,0,1,0,0,1,0,observational,terrestrial,plants,forests across China,leaf stomatal density; leaf stomatal length,0,1,0,0,0,1,0,0,0,0,0,0,0,,COLE: recommend removing short forms from traits,CB
Functional biogeography of oceanic islands and the scaling of functional diversity in the Azores,"Analyses of species-diversity patterns of remote islands have been crucial to the development of biogeographic theory, yet little is known about corresponding patterns in functional traits on islands and how, for example, they may be affected by the introduction of exotic species. We collated trait data for spiders and beetles and used a functional diversity index (FRic) to test for nonrandomness in the contribution of endemic, other native (also combined as indigenous), and exotic species to functional-trait space across the nine islands of the Azores. In general, for both taxa and for each distributional category, functional diversity increases with species richness, which, in turn scales with island area. Null simulations support the hypothesis that each distributional group contributes to functional diversity in proportion to their species richness. Exotic spiders have added novel trait space to a greater degree than have exotic beetles, likely indicating greater impact of the reduction of immigration filters and/or differential historical losses of indigenous species. Analyses of species occurring in native-forest remnants provide limited indications of the operation of habitat filtering of exotics for three islands, but only for beetles. Although the general linear (not saturating) pattern of trait-space increase with richness of exotics suggests an ongoing process of functional enrichment and accommodation, further work is urgently needed to determine how estimates of extinction debt of indigenous species should be adjusted in the light of these findings.",10.1073/pnas.1218036111,2014,J,"Whittaker, RJ; Rigal, F; Borges, PAV; Cardoso, P; Terzopoulou, S; Casanoves, F; Pla, L; Guilhaumon, F; Ladle, RJ; Triantis, KA",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1,0,1,0,0,1,0,observational,terrestrial,invertebrates,oceanic islands (Azores),body size; web use; web architecture; foraging strategy; prey range; vertical stratification; period of activity; feeding guild; wing morphology,0,1,0,0,1,0,0,1,1,0,0,1,invasion,,COLE here a trait used is 'circadian activity' but 'period of activity' is used below - would pick one of those as I think they probably mean the same thing,CB
Predicting species' range limits from functional traits for the tree flora of North America,"Using functional traits to explain species' range limits is a promising approach in functional biogeography. It replaces the idiosyncrasy of species-specific climate ranges with a generic trait-based predictive framework. In addition, it has the potential to shed light on specific filter mechanisms creating large-scale vegetation patterns. However, its application to a continental flora, spanning large climate gradients, has been hampered by a lack of trait data. Here, we explore whether five key plant functional traits (seed mass, wood density, specific leaf area (SLA), maximum height, and longevity of a tree)-indicative of life history, mechanical, and physiological adaptations-explain the climate ranges of 250 North American tree species distributed from the boreal to the subtropics. Although the relationship between traits and the median climate across a species range is weak, quantile regressions revealed strong effects on range limits. Wood density and seed mass were strongly related to the lower but not upper temperature range limits of species. Maximum height affects the species range limits in both dry and humid climates, whereas SLA and longevity do not show clear relationships. These results allow the definition and delineation of climatic ""no-go areas"" for North American tree species based on key traits. As some of these key traits serve as important parameters in recent vegetation models, the implementation of trait-based climatic constraints has the potential to predict both range shifts and ecosystem consequences on a more functional basis. Moreover, for future trait-based vegetation models our results provide a benchmark for model evaluation.",10.1073/pnas.1300673111,2014,J,"Stahl, U; Reu, B; Wirth, C",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1,0,1,0,0,1,0,observational,terrestrial,plants,North American forests,seed mass; wood density; SLA; maximum height; longevity,0,1,0,1,0,1,1,1,0,0,0,1,climate change,,,CB
"Forest canopy height co-determines taxonomic and functional richness, but not functional dispersion of mammals and birds globally","Aims Taller forest canopies may harbour higher biodiversity by providing more and varied resources. No previous studies have assessed whether forest canopy height shapes the taxonomic and functional diversity of terrestrial vertebrates at global and regional scales. Here, we examine the roles of forest canopy height and other environmental variables in shaping global and regional patterns of species richness and functional diversity of mammals and birds. Location Global. Time period Present day. Major taxa studied Terrestrial mammals and birds. Methods Global forest canopy height data at 1 km spatial resolution were used to measure forest vertical structure. Species richness, functional richness and functional dispersion of mammals and birds were calculated using range maps and trait data. Spatial simultaneous autoregressive error models were used to evaluate associations between species richness and functional diversity and their predictors, including mean canopy height, standard deviation of canopy height, net primary productivity, current climate and historical climate stability, topography and human activities. Results The mean canopy height emerged as one of two predictors most associated with the species richness and functional richness of mammal. However, mean canopy height had little explanatory power for functional dispersion. Mean annual temperature and net primary productivity contributed most to explain global-scale mammal and bird functional dispersion. At the regional scale, mean canopy height, net primary productivity and mean annual temperature were the variables most associated with the species richness and functional diversity of mammals and birds. Main conclusions Forest canopy height is an important predictor of species richness and functional diversity of terrestrial vertebrates at both global and regional scales, at a similar overall level to productivity and temperature. Our study highlights the crucial role of the complex vertical structure in shaping the global and regional patterns of vertebrate diversity.",10.1111/geb.13110,2020,J,"Feng, G; Zhang, J; Girardello, M; Pellissier, V; Svenning, JC",GLOBAL ECOLOGY AND BIOGEOGRAPHY,0,,,,,,,,,,,,,,,,,,,,,,,,,"Note: patterns of evenness and richness in FD, rather than trait-based relationships with filtering",COLE: this is a tough one but I agree,CB
Global biogeography of microbial nitrogen-cycling traits in soil,"Microorganisms drive much of the Earth's nitrogen (N) cycle, but we still lack a global overview of the abundance and composition of the microorganisms carrying out soil N processes. To address this gap, we characterized the biogeography of microbial N traits, defined as eight N-cycling pathways, using publically available soil metagenomes. The relative frequency of N pathways varied consistently across soils, such that the frequencies of the individual N pathways were positively correlated across the soil samples. Habitat type, soil carbon, and soil N largely explained the total N pathway frequency in a sample. In contrast, we could not identify major drivers of the taxonomic composition of the N functional groups. Further, the dominant genera encoding a pathway were generally similar among habitat types. The soil samples also revealed an unexpectedly high frequency of bacteria carrying the pathways required for dissimilatory nitrate reduction to ammonium, a little-studied N process in soil. Finally, phylogenetic analysis showed that some microbial groups seem to be N-cycling specialists or generalists. For instance, taxa within the Deltaproteo bacteria encoded all eight N pathways, whereas those within the Cyanobacteria primarily encoded three pathways. Overall, this trait-based approach provides a baseline for investigating the relationship between microbial diversity and N cycling across global soils.",10.1073/pnas.1601070113,2016,J,"Nelson, MB; Martiny, AC; Martiny, JBH",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1,0,1,0,0,1,0,observational,terrestrial,bacteria,soil microbes globablly,nitrification; N fixation; denitrification; dissimilatory nitrate to nitrite reduction; dissimilatory nitrite to ammonia reduction; assimilatory nitrate to nitrite reduction; assimilatory nitrite to ammonia reduction; ammonia assimilation,1,0,1,0,0,1,0,1,0,0,0,0,0,"Additional review: global biogeographic patterns, but no environmental drivers assessed","COLE: agree with the classification, I think the habitat type, soil C etc, could be viewed as 'environmental variables' through which there is filering for the the nitrogen traits",CB
Functional biogeography and host specificity of bacterial communities associated with the Marine Green Alga Ulva spp.,"Bacterial communities play an essential role for the function of marine macroalgae. Recent work has shown that bacterial communities associated with individual macroalgae possess on a local scale a functional core that is likely derived from diverse members of functional guilds. It is not known whether such functional cores also exist across large spatial scales or between closely related host species. To address this, we studied here the bacterial communities on three species of the green macroalgal genus Ulva from different geographic locations. While the taxonomic composition was too variable to describe a community core, we identified genes that were enriched across all Ulva samples as compared to the communities of the surrounding seawater. Of these core functions, 70% were consistently found and independent of the Ulva species and biogeography, while the remaining functions (similar to 30%) are possibly involved in local or host-specific adaptations. For each host individual, the core functions are provided by bacteria with distinct phylogenetic origin and these bacteria could constitute a global guild of Ulva-associated bacteria. Together, our results demonstrate the presence of a stable core set of functional genes in the bacterial communities associated with closely related host species and across large biogeographies.",10.1111/mec.14529,2018,J,"Roth-Schulze, AJ; Pintado, J; Zozaya-Valdes, E; Cremades, J; Ruiz, P; Kjelleberg, S; Thomas, T",MOLECULAR ECOLOGY,0,,,,,,,,,,,,,,,,,,,,,,,,,,,CB
Large-scale climatic and geophysical controls on the leaf economics spectrum,"Leaf economics spectrum (LES) theory suggests a universal trade-off between resource acquisition and storage strategies in plants, expressed in relationships between foliar nitrogen (N) and phosphorus (P), leaf mass per area (LMA), and photosynthesis. However, how environmental conditions mediate LES trait interrelationships, particularly at large biospheric scales, remains unknown because of a lack of spatially explicit data, which ultimately limits our understanding of ecosystem processes, such as primary productivity and biogeochemical cycles. We used airborne imaging spectroscopy and geospatial modeling to generate, to our knowledge, the first biospheric maps of LES traits, here centered on 76 million ha of Andean and Amazonian forest, to assess climatic and geophysical determinants of LES traits and their interrelationships. Elevation and substrate were codominant drivers of leaf trait distributions. Multiple additional climatic and geophysical factors were secondary determinants of plant traits. Anticorrelations between N and LMA followed general LES theory, but topo-edaphic conditions strongly mediated and, at times, eliminated this classic relationship. We found no evidence for simple P-LMA or N-P trade-offs in forest canopies; rather, we mapped a continuum of N-P-LMA interactions that are sensitive to elevation and temperature. Our results reveal nested climatic and geophysical filtering of LES traits and their interrelationships, with important implications for predictions of forest productivity and acclimation to rapid climate change.",10.1073/pnas.1604863113,2016,J,"Asner, GP; Knapp, DE; Anderson, CB; Martin, RE; Vaughn, N",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1,0,1,0,0,1,0,observational,terrestrial,plants,tropical forests,N; P; leaf mass per area,1,1,1,0,0,1,0,0,0,0,0,1,climate change,,COLE: recommend removing short forms from traits,CB
Climate-driven changes in functional biogeography of Arctic marine fish communities,"Climate change triggers poleward shifts in species distribution leading to changes in biogeography. In the marine environment, fish respond quickly to warming, causing community-wide reorganizations, which result in profound changes in ecosystem functioning. Functional biogeography provides a framework to address how ecosystem functioning may be affected by climate change over large spatial scales. However, there are few studies on functional biogeography in the marine environment, and none in the Arctic, where climate-driven changes are most rapid and extensive. We investigated the impact of climate warming on the functional biogeography of the Barents Sea, which is characterized by a sharp zoogeographic divide separating boreal from Arctic species. Our unique dataset covered 52 fish species, 15 functional traits, and 3,660 stations sampled during the recent warming period. We found that the functional traits characterizing Arctic fish communities, mainly composed of small-sized bottom-dwelling benthivores, are being rapidly replaced by traits of incoming boreal species, particularly the larger, longer lived, and more piscivorous species. The changes in functional traits detected in the Arctic can be predicted based on the characteristics of species expected to undergo quick poleward shifts in response to warming. These are the large, generalist, motile species, such as cod and haddock. We show how functional biogeography can provide important insights into the relationship between species composition, diversity, ecosystem functioning, and environmental drivers. This represents invaluable knowledge in a period when communities and ecosystems experience rapid climate-driven changes across biogeographical regions.",10.1073/pnas.1706080114,2017,J,"Frainer, A; Primicerio, R; Kortsch, S; Aune, M; Dolgov, AV; Fossheim, M; Aschan, MM",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1,0,1,0,0,1,0,observational,marine,fish,Arctic Ocean,feeding ecology; water column position; salinity; temperature; depth; body length; fecundity; longevity; egg size; age at maturity; length at maturity; growth rate; number of prey types; number of predators; omnivory,1,1,1,1,1,1,1,1,1,0,0,1,climate change,Note: qualitiative predictions,,CB
Functional Biogeography of Ocean Microbes Revealed through Non-Negative Matrix Factorization,"The direct ""metagenomic'' sequencing of genomic material from complex assemblages of bacteria, archaea, viruses and microeukaryotes has yielded new insights into the structure of microbial communities. For example, analysis of metagenomic data has revealed the existence of previously unknown microbial taxa whose spatial distributions are limited by environmental conditions, ecological competition, and dispersal mechanisms. However, differences in genotypes that might lead biologists to designate two microbes as taxonomically distinct need not necessarily imply differences in ecological function. Hence, there is a growing need for large-scale analysis of the distribution of microbial function across habitats. Here, we present a framework for investigating the biogeography of microbial function by analyzing the distribution of protein families inferred from environmental sequence data across a global collection of sites. We map over 6,000,000 protein sequences from unassembled reads from the Global Ocean Survey dataset to 8214 protein families, generating a protein family relative abundance matrix that describes the distribution of each protein family across sites. We then use non-negative matrix factorization (NMF) to approximate these protein family profiles as linear combinations of a small number of ecological components. Each component has a characteristic functional profile and site profile. Our approach identifies common functional signatures within several of the components. We use our method as a filter to estimate functional distance between sites, and find that an NMF-filtered measure of functional distance is more strongly correlated with environmental distance than a comparable PCA-filtered measure. We also find that functional distance is more strongly correlated with environmental distance than with geographic distance, in agreement with prior studies. We identify similar protein functions in several components and suggest that functional co-occurrence across metagenomic samples could lead to future methods for de-novo functional prediction. We conclude by discussing how NMF, and other dimension reduction methods, can help enable a macroscopic functional description of marine ecosystems.",10.1371/journal.pone.0043866,2012,J,"Jiang, XP; Langille, MGI; Neches, RY; Elliot, M; Levin, SA; Eisen, JA; Weitz, JS; Dushoff, J",PLOS ONE,0,,,,,,,,,,,,,,,,,,,,,,,,,,,CB
A trait-based understanding of wood decomposition by fungi,"As the primary decomposers of organic material in terrestrial ecosystems, fungi are critical agents of the global carbon cycle. Yet our ability to link fungal community composition to ecosystem functioning is constrained by a limited understanding of the factors accounting for different wood decomposition rates among fungi. Here we examine which traits best explain fungal decomposition ability by combining detailed trait-based assays on 34 saprotrophic fungi from across North America in the laboratory with a 5-y field study comprising 1,582 fungi isolated from 74 decomposing logs. Fungal growth rate (hyphal extension rate) was the strongest single predictor of fungal-mediated wood decomposition rate under laboratory conditions, and accounted for up to 27% of the in situ variation in decomposition in the field. At the individual level, decomposition rate was negatively correlated with moisture niche width (an indicator of drought stress tolerance) and with the production of nutrient-mineralizing extracellular enzymes. Together, these results suggest that decomposition rates strongly align with a dominance-tolerance life-history tradeoff that was previously identified in these isolates, forming a spectrum from slow-growing, stress-tolerant fungi that are poor decomposers to fast-growing, highly competitive fungi with fast decomposition rates. Our study illustrates how an understanding of fungal trait variation could improve our predictive ability of the early and midstages of wood decay, to which our findings are most applicable. By mapping our results onto the biogeographic distribution of the dominance-tolerance trade-off across North America, we approximate broad-scale patterns in intrinsic fungal-mediatedwood decomposition rates.",10.1073/pnas.1909166117,2020,J,"Lustenhouwer, N; Maynard, DS; Bradford, MA; Lindner, DL; Oberle, B; Zanne, AE; Crowther, TW",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,1,0,1,0,0,1,0,observational,terrestrial,fungi,North American forests,decomposition rate; temperature niche minimum; temperature niche maximum; optimal temperature; temperature niche width; moisture niche minimum; moisture niche maximum; optimal moisture; moisture niche width; competitive ranking; offensive ability; defensive ability; extension rate; hyphal density; beta-glucosidase; cellulase; acid phosphatase; chitinase; leucine aminopeptidase; phenol oxidase II; peroxidase; pheno oxidase I,1,1,1,1,1,1,0,1,1,0,0,0,0,,,CB
Geographic scale and disturbance influence intraspecific trait variability in leaves and roots of North American understorey plants,"Considering intraspecific trait variability (ITV) in ecological studies has improved our understanding of species persistence and coexistence. These advances are based on the growing number of leaf ITV studies over local gradients, but logistical constraints have prevented a solid examination of ITV in root traits or at scales reflecting species' geographic ranges. We compared the magnitude of ITV in above- and below-ground plant organs across three spatial scales (biophysical region, locality and plot). We focused on six understorey species (four herbs and two shrubs) that occur both in disturbed and undisturbed habitats across boreal and temperate Canadian forests. We aimed to document ITV structure over broad ecological and geographical scales by asking: (a) What is the breadth of ITV across species range-scale? (b) What proportion of ITV is captured at different spatial scales, particularly when local scale disturbances are considered? and (c) Is the variance structure consistent between analogous leaf and root traits, and between morphological and chemical traits? Following standardized methods, we sampled 818 populations across 79 forest plots simultaneously, including disturbed and undisturbed stands, spanning four biophysical regions (similar to 5,200 km). Traits measured included specific leaf area (SLA), specific root length (SRL) and leaf and root nutrient concentrations (N, P, K, Mg, Ca). We used variance decomposition techniques to characterize ITV structure across scales. Our results show that an important proportion of ITV occurred at the local scale when sampling included contrasting environmental conditions resulting from local disturbance. A certain proportion of the variability in both leaf and root traits remained unaccounted for by the three sampling scales included in the design (36% on average), with the largest amount for SRL (54%). Substantial differences in magnitude of ITV were found among the six species, and between analogous traits, suggesting that trait distribution was influenced by species strategy and reflects the extent of understorey environment heterogeneity. Even for species with broad geographical distributions, a large proportion of within-species trait variability can be captured by sampling locally across ecological gradients. This has practical implications for sampling design and trait selection for both local studies and continental-scale modelling. A plain language summary is available for this article.",10.1111/1365-2435.13402,2019,J,"Kumordzi, BB; Aubin, I; Cardou, F; Shipley, B; Violle, C; Johnstone, J; Anand, M; Arsenault, A; Bell, FW; Bergeron, Y; Boulangeat, I; Brousseau, M; De Grandpre, L; Delagrange, S; Fenton, NJ; Gravel, D; Macdonald, SE; Hamel, B; Higelin, M; Hebert, F; Isabel, N; Mallik, A; McIntosh, ACS; McLaren, JR; Messier, C; Morris, D; Thiffault, N; Tremblay, JP; Munson, AD",FUNCTIONAL ECOLOGY,1,0,1,0,0,1,0,observational,terrestrial,plants,North America,SLA; specific root length; N; P; K; Mg; Ca,0,1,0,0,0,1,0,0,0,0,0,0,0,,,CB
Testing the environmental filtering concept in global drylands,"1. The environmental filtering hypothesis predicts that the abiotic environment selects species with similar trait values within communities. Testing this hypothesis along multiple -and interacting gradients of climate and soil variables constitutes a great opportunity to better understand and predict the responses of plant communities to ongoing environmental changes. 2. Based on two key plant traits, maximum plant height and specific leaf area (SLA), we assessed the filtering effects of climate (mean annual temperature and precipitation, precipitation seasonality), soil characteristics (soil pH, sand content and total phosphorus) and all potential interactions on the functional structure and diversity of 124 dryland communities spread over the globe. The functional structure and diversity of dryland communities were quantified using the mean, variance, skewness and kurtosis of plant trait distributions. 3. The models accurately explained the observed variations in functional trait diversity across the 124 communities studied. All models included interactions among factors, i.e. climate-climate (9% of explanatory power), climate-soil (24% of explanatory power) and soil-soil interactions (5% of explanatory power). Precipitation seasonality was the main driver of maximum plant height, and interacted with mean annual temperature and precipitation. Soil pH mediated the filtering effects of climate and sand content on SLA. Our results also revealed that communities characterized by a low variance can also exhibit low kurtosis values, indicating that functionally contrasting species can co-occur even in communities with narrow ranges of trait values. 4. Synthesis. We identified the particular set of conditions under which the environmental filtering hypothesis operates in drylands world-wide. Our findings also indicate that species with functionally contrasting strategies can still co-occur locally, even under prevailing environmental filtering. Interactions between sources of environmental stress should be therefore included in global trait-based studies, as this will help to further anticipate where the effects of environmental filtering will impact plant trait diversity under climate change.",10.1111/1365-2745.12735,2017,J,"Le Bagousse-Pinguet, Y; Gross, N; Maestre, FT; Maire, V; de Bello, F; Fonseca, CR; Kattge, J; Valencia, E; Leps, J; Liancourt, P",JOURNAL OF ECOLOGY,1,0,1,0,0,1,0,observational,terrestrial,plants,dryland plants globally,SLA; maximum plant height,0,1,0,0,0,0,0,1,0,0,0,1,Global Change Multiple,,,CB
"Climate, soil and plant functional types as drivers of global fine-root trait variation","1. Ecosystem functioning relies heavily on below-ground processes, which are largely regulated by plant fine-roots and their functional traits. However, our knowledge of fine-root trait distribution relies to date on local-and regional-scale studies with limited numbers of species, growth forms and environmental variation. 2. We compiled a world-wide fine-root trait dataset, featuring 1115 species from contrasting climatic areas, phylogeny and growth forms to test a series of hypotheses pertaining to the influence of plant functional types, soil and climate variables, and the degree of manipulation of plant growing conditions on species fine-root trait variation. Most particularly, we tested the competing hypotheses that fine-root traits typical of faster return on investment would be most strongly associated with conditions of limiting versus favourable soil resource availability. We accounted for both data source and species phylogenetic relatedness. 3. We demonstrate that: (i) Climate conditions promoting soil fertility relate negatively to fine-root traits favouring fast soil resource acquisition, with a particularly strong positive effect of temperature on fine-root diameter and negative effect on specific root length (SRL), and a negative effect of rainfall on root nitrogen concentration; (ii) Soil bulk density strongly influences species fine-root morphology, by favouring thicker, denser fine-roots; (iii) Fine-roots from herbaceous species are on average finer and have higher SRL than those of woody species, and N-2-fixing capacity positively relates to root nitrogen; and (iv) Plants growing in pots have higher SRL than those grown in the field. 4. Synthesis. This study reveals both the large variation in fine-root traits encountered globally and the relevance of several key plant functional types and soil and climate variables for explaining a substantial part of this variation. Climate, particularly temperature, and plant functional types were the two strongest predictors of fine-root trait variation. High trait variation occurred at local scales, suggesting that wide-ranging below-ground resource economics strategies are viable within most climatic areas and soil conditions.",10.1111/1365-2745.12769,2017,J,"Freschet, GT; Valverde-Barrantes, OJ; Tucker, CM; Craine, JM; McCormack, ML; Violle, C; Fort, F; Blackwood, CB; Urban-Mead, KR; Iversen, CM; Bonis, A; Comas, LH; Cornelissen, JHC; Dong, M; Guo, DL; Hobbie, SE; Holdaway, RJ; Kembel, SW; Makita, N; Onipchenko, VG; Picon-Cochard, C; Reich, PB; de la Riva, EG; Smith, SW; Soudzilovskaia, NA; Tjoelker, MG; Wardle, DA; Roumet, C",JOURNAL OF ECOLOGY,1,1,1,0,1,1,0,observational,terrestrial,plants,global,fine-root N concentration; mean diameter; tissue density; specific root length,0,1,0,0,0,1,0,1,0,0,0,0,0,,,CB
funrar: An R package to characterize functional rarity,"Emphasis has been put in recent ecological research on investigating phylogenetic, functional and taxonomic facets of biological diversity. While a flourishing number of indices have been proposed for assessing functional diversity, surprisingly few options are available to characterize functional rarity. Functional rarity can play a key role in community and ecosystem dynamics. We introduce here the funrar R package to quantify functional rarity based on species trait differences and species frequencies at local and regional scales. Because of the increasing availability of big datasets in macroecology and biogeography, we optimized funrar to work with large datasets of thousands of species and sites. We illustrate the use of the package to investigate the functional rarity of North and Central American mammals.",10.1111/ddi.12629,2017,J,"Grenie, M; Denelle, P; Tucker, CM; Munoz, F; Violle, C",DIVERSITY AND DISTRIBUTIONS,0,,,,,,,,,,,,,,,,,,,,,,,,,,,CB
Gap-filling a spatially explicit plant trait database: comparing imputation methods and different levels of environmental information,"The ubiquity of missing data in plant trait databases may hinder trait-based analyses of ecological patterns and processes. Spatially explicit datasets with information on intraspecific trait variability are rare but offer great promise in improving our understanding of functional biogeography. At the same time, they offer specific challenges in terms of data imputation. Here we compare statistical imputation approaches, using varying levels of environmental information, for five plant traits (leaf biomass to sapwood area ratio, leaf nitrogen content, maximum tree height, leaf mass per area and wood density) in a spatially explicit plant trait dataset of temperate and Mediterranean tree species (Ecological and Forest Inventory of Catalonia, IEFC, dataset for Catalonia, north-east Iberian Peninsula, 31 900 km(2)). We simulated gaps at different missingness levels (10-80 %) in a complete trait matrix, and we used overall trait means, species means, k nearest neighbours (kNN), ordinary and regression kriging, and multivariate imputation using chained equations (MICE) to impute missing trait values. We assessed these methods in terms of their accuracy and of their ability to preserve trait distributions, multi-trait correlation structure and bivariate trait relationships. The relatively good performance of mean and species mean imputations in terms of accuracy masked a poor representation of trait distributions and multivariate trait structure. Species identity improved MICE imputations for all traits, whereas forest structure and topography improved imputations for some traits. No method performed best consistently for the five studied traits, but, considering all traits and performance metrics, MICE informed by relevant ecological variables gave the best results. However, at higher missingness (> 30 %), species mean imputations and regression kriging tended to outperform MICE for some traits. MICE informed by relevant ecological variables allowed us to fill the gaps in the IEFC incomplete dataset (5495 plots) and quantify imputation uncertainty. Resulting spatial patterns of the studied traits in Catalan forests were broadly similar when using species means, regression kriging or the best-performing MICE application, but some important discrepancies were observed at the local level. Our results highlight the need to assess imputation quality beyond just imputation accuracy and show that including environmental information in statistical imputation approaches yields more plausible imputations in spatially explicit plant trait datasets.",10.5194/bg-15-2601-2018,2018,J,"Poyatos, R; Sus, O; Badiella, L; Mencuccini, M; Martinez-Vilalta, J",BIOGEOSCIENCES,0,,,,,,,,,,,,,,,,,,,,,,,,,,,CB
