DOI,Year,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Fundamental,Physical,Ecological,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver
10.1002/ece3.4090,2018,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.4377,2018,Y,1,0,0,0,0,0,Single,Terrestrial,Multiple,Broad,0,1,0,1,1,Multiple,0,0,0,1,Single,0,0
10.1002/ece3.4439,2018, N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.4896,2019,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Temperate Forest,0,0,0,0,1, Behavioural,0,0,0,1,T,0,0
10.1002/ece3.5121,2019,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Temperate Forest,0,1,0,0,1,"Morphological, Behavioural",1,0,0,0,E,0,0
10.1002/ece3.615,2013,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.748,2013,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.868,2013,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ece3.870,2013,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ece3.908,2014,Y,0,1,0,0,1,0,Multiple,Terrestrial,Herps,Seasonal Tropical Forest,0,1,0,0,0,Single,1,0,1,0,Multiple,0,0
10.1002/ecm.1267,2017,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ecm.1294/full,2018,Y,0,0,0,0,0,1,T Model,Terrestrial,Plants,Broad,1,1,1,1,0,"Morphological, Physiological, Life History",1,0,0,0,F,0,0
10.1002/ecm.1297/full,2018,Y,0,0,0,1,0,0,Metanalysis,Marine,Fish,Broad,1,0,1,1,1,"Physiological, Life History, Behavioural",1,0,0,0,F,1,Climate Change
10.1002/ecm.1299,2018,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1002/ecm.1304/full,2018,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/eco.1533,2015,Y,1,0,0,0,0,1,Multiple,Terrestrial,Plants,Broad,0,0,0,1,0,Single,1,0,0,0,Single,0,0
10.1002/eco.1655,2016,Y,1,0,0,1,1,0,Multiple,Terrestrial,Plants,Broad,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1002/eco.1734,2016,Y,0,1,0,0,0,0,Observational,Freshwater,Fish,Rivers,0,1,0,1,0,Morphological,1,0,0,0,F,0,0
10.1002/ecs2.1900,2017,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1002/ecs2.1972,2017,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ecs2.2101,2018,Y,0,0,0,0,1,0,Q Model,Terrestrial,Insects,Tropical Rainforest,0,0,0,1,1,"Life History, Behavioural",0,1,0,0,P,0,0
10.1002/ecs2.2125,2018,Y,0,0,1,0,0,0,Single,Terrestrial,Herps,Broad,0,1,0,1,1,Multiple,1,0,0,1,Multiple,0,0
10.1002/ecs2.2164,2018,Y,0,0,1,0,0,0,Single,Terrestrial,Plants,Grassland,0,1,0,1,0,Multiple,0,0,1,0,Single,0,0
10.1002/ecs2.2220,2018,Y,0,1,0,0,0,0,Observational,Marine,Fish,Continental Shelf,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1002/ecs2.2324,2018,Y,0,1,0,0,1,0,Multiple,Terrestrial,Birds,Tropical Rainforest,0,1,0,0,1,Multiple,0,0,1,0,Single,0,0
10.1002/ecs2.2374,2018,Y,0,0,0,0,1,0,Single,Terrestrial,Plants,Grassland,0,1,0,1,0,Multiple,1,0,0,0,Single,0,0
10.1002/ecs2.2460,2018,Y,0,1,0,0,0,0,Single,Marine,Broad,Continental Shelf,0,1,0,1,1,Multiple,1,0,1,1,Multiple,0,0
10.1002/ecy.1485,2016,Y,0,0,1,0,0,0,Single,Freshwater,Broad,Lake,0,1,0,1,0,Multiple,0,0,1,1,Multiple,0,Invasion
10.1002/ecy.1711/suppinfo,2017,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ecy.1745,2017,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1002/ecy.1802,2017,Y,0,0,0,0,1,0,Q Model,Broad,Broad,Broad,0,0,0,0,1,Behavioural,1,0,0,1,F,0,0
10.1002/ecy.1911,2017,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ecy.1915,2017,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Urban environment,0,0,0,0,1,Behavioural,1,0,0,0,F,0,0
10.1002/ecy.1990,2017,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Seasonal Tropical Forest,0,1,0,0,0,Single,1,0,1,0,Multiple,0,0
10.1002/ecy.2079,2018,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Glacial Outwash Plain,0,1,0,1,0,Multiple,1,1,1,0,Multiple,0,0
10.1002/ecy.2179,2018,Y,0,0,0,0,1,0,Q Model,Terrestrial,Birds,Galapagos Islands,0,0,0,1,0,Life History,1,0,0,0,F,0,Climate Change
10.1002/ecy.2436,2018,Y,0,1,0,0,1,0,Multiple,Terrestrial,Insects,Alpine,0,1,0,0,0,Single,1,1,0,0,Multiple,0,0
10.1002/ecy.2438,2018,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ecy.2481,2018,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/ecy.2530,2018,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/ecy.2533,2018,Y,0,1,0,0,0,0,Single,Terrestrial,Plants,Broad,1,0,1,0,0,Single,1,0,0,1,Multiple,0,0
10.1002/etc.3029,2015,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/etc.4185,2018,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/iroh.201401757,2015,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/jmor.10081,2003,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/jmor.20411,2015,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/mma.4612,2018,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1002/ps.3370,2013,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/rra.2571,2013,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1002/rra.687,2002,Y,0,1,0,0,0,0,Observational,Freshwater,Fish,River,0,1,0,0,0,Morphological,1,0,0,1,F,0,0
10.1002/wat2.1033,2014,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1002/wmon.8,2012,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1006/bulm.1999.0083,1999,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1006/jaar.1998.0326,1998,Y,0,1,0,0,0,0,Observational,Terrestrial,Mammals,Broad,0,0,0,0,1,Behavioural,0,0,1,0,E,0,0
10.1006/jtbi.1997.0554,1998,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/00285-003-0236-4,2003,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/BF00133308,1992,Y,0,0,0,0,1,0,Q Model,Terrestrial,Birds,Temperate Forest,0,0,0,1,1,"Life History, Behavioural",1,0,0,0,F,0,Habitat Degredation
10.1007/BF00619269,1996,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/BF01237642,1993,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/BF01237849,1994,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/BF02241353,2000,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/BF02515724,1996,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/BF02712119,2004,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00027-017-0546-z,2017,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00035-017-0198-6,2018,Y,0,1,0,0,0,0,Single,Terrestrial,Plants,Alpine,1,1,1,0,0,Multiple,1,0,0,0,Single,0,0
10.1007/s00035-018-0199-0,2018,Y,0,0,1,0,0,0,Single,Terrestrial,Plants,Alpine,1,1,0,1,0,Multiple,1,0,0,0,Single,0,0
10.1007/s00114-011-0804-1,2011,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00114-017-1475-3,2017,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Grassland,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s00227-010-1468-7,2010,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00227-014-2568-6,2015,Y,0,1,0,0,0,0,Single,Marine,Plankton,Estuary,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1007/s00227-016-2841-y,2016,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00244-010-9570-x,2011,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s002650000260,2000,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Desert,0,1,0,0,0,Morphological,0,0,0,1,T,0,0
10.1007/s00265-002-0461-7,2002,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00265-006-0160-x,2006,Y,0,1,0,0,0,0,Single,Terrestrial,Birds,Broad,0,1,0,1,1,Multiple,1,0,0,1,Multiple,0,0
10.1007/s00265-010-1031-z,2011,Y,0,0,1,0,0,0,Single,Terrestrial,Insects,Broad,0,1,0,0,1,Multiple,1,0,0,1,Multiple,0,0
10.1007/s00265-014-1831-7,2015,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00300-015-1872-z,2016,Y,0,1,0,0,1,0,Multiple,Terrestrial,Broad,Polar,0,0,0,1,0,Single,1,0,1,1,Multiple,0,Climate Change
10.1007/s00300-016-1946-6,2017,Y,0,0,0,0,1,0,Single,Marine,Fish,Polar,0,0,0,1,0,Single,1,0,1,0,Multiple,0,0
10.1007/s00338-013-1042-0,2013,Y,0,1,0,0,0,0,Observational,Marine,Fish,Coral Reef,0,1,0,0,1,"Morphological, Behavioural",0,0,0,1, F,0,0
10.1007/s00338-018-1689-7,2018,Y,0,0,0,0,1,0,Single,Marine,Fish,Coral Reef,0,1,0,0,0,Single,1,0,0,1,Multiple,0,0
10.1007/s00360-008-0312-6,2009,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00360-013-0763-2,2013,Y,0,0,1,0,0,0,Single,Terrestrial,Birds,Broad,1,0,1,0,0,Single,1,0,0,0,Single,0,0
10.1007/s004420000504,2001,Y,0,1,0,0,0,0,Single,Freshwater,Fish,River,0,0,0,1,0,Single,1,0,0,1,Multiple,0,0
10.1007/s00442-002-0935-3,2002,Y,0,0,1,0,0,0,Single,Terrestrial,Plants,Broad,0,1,0,0,0,Single,0,0,1,0,Single,0,0
10.1007/s00442-004-1650-z,2004,Y,0,1,0,0,0,0,Single,Freshwater,Fish,Lake,0,1,0,0,1,Multiple,0,0,0,1,Single,0,0
10.1007/s00442-004-1770-5,2005,Y,0,0,0,0,1,0,Single,Terrestrial,Birds,Temperate Forest,0,0,0,1,1,Multiple,1,0,0,0,Single,0,0
10.1007/s00442-005-0082-8,2005,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1007/s00442-005-0170-9,2005,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00442-005-0337-4,2006,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00442-008-0995-0,2008,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00442-009-1446-2,2010,Y,0,1,0,0,0,0,Single,Terrestrial,Birds,Broad,0,1,0,0,0,Single,1,0,0,0,Single,0,Climate Change
10.1007/s00442-010-1684-3,2010,y,0,1,0,0,0,0,Single,Terrestrial,Plants,Broad,0,0,0,1,0,Single,1,0,1,0,Multiple,0,0
10.1007/s00442-010-1712-3,2010,Y,0,0,1,0,0,0,Experiment,Marine,Fish,Coral Reef,0,0,0,0,1,Behavioural,0,0,0,1,T,0,0
10.1007/s00442-010-1833-8,2011,Y,0,1,0,0,0,0,Observational,Marine,Fish,Coral Reef,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1007/s00442-010-1854-3,2011,Y,0,1,0,0,1,0,Multiple,Terrestrial,Mammals,Broad,0,1,0,0,1,Multiple,1,0,1,1,Multiple,0,0
10.1007/s00442-011-1980-6,2011,Y,0,1,0,0,0,0,Single,Terrestrial,Plants,Broad,0,1,0,1,0,Multiple,1,0,1,0,Multiple,0,0
10.1007/s00442-011-2190-y,2012,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00442-012-2431-8,2013,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s00442-013-2673-0,2013,Y,0,0,1,0,0,1,"T Model, Experiment",Freshwater,Other,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,1,0,E,0,0
10.1007/s00442-014-2917-7,2014,Y,0,1,0,0,0,0,Single,Terrestrial,Insects,Apline,0,1,0,1,0,Multiple,1,0,0,0,Single,0,0
10.1007/s00442-014-3039-y,2014,Y,0,1,0,0,0,0,Single,Terrestrial,Mammals,Tropical Rainforest,0,1,0,0,1,Multiple,1,0,1,1,Multiple,0,0
10.1007/s00442-014-3101-9,2015,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,"Grassland, ",0,1,0,0,0,Morphological,1,0,0,1,T,0,0
10.1007/s00442-015-3295-5,2015,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Broad,0,1,0,1,0,"Morphological, Life History",1,0,0,0,F,0,0
10.1007/s00442-015-3345-z,2015,Y,0,1,0,0,1,0,Multiple,Freshwater,Other,Salt Marsh,0,1,0,1,1,Multiple,1,0,0,0,Single,0,0
10.1007/s00442-015-3430-3,2016,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Grassland,1,1,0,1,0,Multiple,0,0,1,0,Single,0,0
10.1007/s00442-016-3545-1,2016,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s00442-016-3547-z,2016,Y,0,0,0,0,1,0,Q Model,Terrestrial,Plants,Grassland,0,1,0,0,0,Morphological,0,0,1,0,E,0,0
10.1007/s00442-016-3631-4,2016,Y,0,0,0,0,1,0,Single,Terrestrial,Insects,Broad,0,0,0,1,1,Multiple,0,0,0,1,Single,0,0
10.1007/s00442-016-3700-8,2016,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Alpine,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1007/s00442-017-4016-z,2018,Y,0,1,0,0,1,0,Multiple,Terrestrial,Herps,Temperate Forest,0,1,0,1,0,Multiple,1,0,0,0,Single,0,0
10.1007/s00442-017-4041-y,2018,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Broad,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1007/s00442-017-4053-7,2018,Y,0,0,0,0,1,0,Single,Terrestrial,Birds,Broad,1,0,0,1,1,Multiple,1,0,0,0,Single,0,Climate Change
10.1007/s00442-018-4074-x,2018,Y,1,0,0,0,0,0,Review,Freshwater,Plants,Broad,0,1,0,0,0,Morphological,1,1,0,0,F,0,0
10.1007/s00442-018-4162-y,2018,Y,0,1,0,0,0,0,Single,Terrestrial,Plants,Alpine,0,1,0,0,0,Single,1,0,0,1,Multiple,0,0
10.1007/s00442-018-4210-7,2018,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s00442-019-04386-0,2019,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Grassland,0,0,0,1,0,Single,1,0,1,0,Multiple,0,0
10.1007/s00468-011-0632-0,2012,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Subtropical secondary broadleaved forest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s10021-015-9875-8,2015,Y,0,1,0,0,0,0,Single,Terrestrial,Birds,Broad,0,1,0,1,1,Multiple,1,0,1,0,Multiple,0,0
10.1007/s10071-018-1209-8,2018,Y,0,0,1,0,0,0,Single,Marine,Fish,Broad,0,0,0,0,1,Single,0,0,0,1,Single,0,0
10.1007/s10144-009-0187-8,2010,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10336-005-0011-y,2006,Y,0,1,0,0,0,0,Single,Terrestrial,Birds,Broad,0,0,0,1,0,Single,1,0,0,0,Single,0,Climate Change
10.1007/s10452-010-9339-3,2010,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10452-015-9546-z,2015,Y,0,1,0,0,0,0,Observational,Freshwater,Other,Floodplain,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s10452-016-9596-x,2016,Y,1,0,0,0,0,0,Single,Freshwater,Plants,Broad,0,0,0,1,0,Single,1,0,1,0,Multiple,0,Global Change Broad
10.1007/s10452-016-9597-9,2017,Y,0,1,0,0,0,0,Single,Freshwater,Herps,Pond,0,1,0,0,0,Single,1,1,0,0,Multiple,0,0
10.1007/s10452-017-9634-3,2017,Y,0,1,0,0,0,0,Single,Freshwater,Plankton,Reservoir,1,1,0,1,0,Multiple,1,0,1,0,Multiple,0,0
10.1007/s10519-005-9029-4,2006,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10526-017-9860-6,2018,Y,0,1,0,0,0,0,Observational,Terrestrial,Insects,Olive Plantations,0,0,0,0,1,Behavioural  ,0,0,0,1,T,0,0
10.1007/s10530-013-0406-2,2013,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10530-013-0550-8,2014,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10530-015-1003-3,2016,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10530-015-1028-7,2016,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10530-016-1241-z,2016,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1007/s10530-016-1246-7,2016,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10531-014-0742-2,2014,Y,0,1,0,0,1,0,Multiple,Terrestrial,Plants,Sand Dunes,1,1,0,1,0,Multiple,0,0,1,0,Single,0,Invasion
10.1007/s10531-014-0843-y,2015,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Tropical Rainforest,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s10531-014-0850-z,2015,Y,0,0,0,1,0,0,Metanalysis,Terrestrial,Herps,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",0,0,1,0,E,0,Invasion
10.1007/s10531-017-1459-9,2018,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10641-009-9537-9,2010,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1007/s10641-016-0481-1,2016,Y,0,1,0,0,0,0,Single,Freshwater,Fish,Broad,0,1,0,0,1,Multiple,1,0,0,0,Single,0,0
10.1007/s10641-016-0506-9,2016,Y,0,1,0,0,0,0,Single,Freshwater,Fish,River,0,1,0,0,0,Single,1,0,0,1,Multiple,0,0
10.1007/s10641-017-0576-3,2017,Y,0,1,0,0,0,0,Single,Freshwater,Fish,River,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1007/s10641-018-0759-6,2018,Y,0,1,0,0,0,0,Single,Freshwater,Fish,River,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1007/s10641-018-0796-1,2018,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10646-011-0689-y,2011,N,,,,,,,Multiple,,,,0,,,,,Multiple,,,,,Multiple,,
10.1007/s10646-013-1068-7,2013,Y,0,0,1,0,0,0,Single,Freshwater,Plankton,Lake,0,1,0,0,0,Single,1,0,0,0,Single,0,0
10.1007/s10651-017-03095-x,2018,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10651-017-0368-0,2017,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10661-008-0574-1,2009,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10661-015-4519-1,2015,Y,0,1,0,0,0,0,Observational,Freshwater,Plankton,Reservoir,0,1,0,0,0,Morphological,1,0,0,0,F,0,0
10.1007/s10661-017-5957-8,2017,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10681-014-1200-7,2015,Y,0,0,1,0,0,0,Single,Terrestrial,Plants,Broad,0,1,0,0,0,Single,1,0,0,1,Multiple,0,0
10.1007/s10682-005-2005-x,2005,Y,0,0,1,0,0,0,Single,Terrestrial,Plants,Grassland,0,1,0,1,0,Multiple,1,0,0,1,Multiple,0,0
10.1007/s10682-008-9267-z,2009,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10682-012-9562-6,2012,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10682-013-9631-5,2013,Y,0,0,0,0,1,0,Q Model,Terrestrial,Mammals,Broad,0,1,0,0,1,"Morphological, Behavioural",1,1,0,0,T,0,0
10.1007/s10682-018-9945-4,2018,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Broad,0,1,0,0,0,Morphological,1,1,0,0,P,0,0
10.1007/s10750-007-9086-1,2007,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10750-013-1711-6,2014,Y,0,1,0,0,0,0,Observational,Freshwater,Other,River Floodplain,0,1,0,1,1,"Morphological, Life History, Behavioural",1,1,1,0,P,0,0
10.1007/s10750-014-1960-z,2015,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,
10.1007/s10750-014-2089-9,2015,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
10.1007/s10750-015-2191-7,2015,Y,0,1,0,0,1,0,Multiple,Freshwater,Other,Lake,0,1,0,0,1,Multiple,1,0,1,1,Multiple,0,0
10.1007/s10750-015-2221-5,2015,N,,,,,,,Multiple,,,,,,,,,Multiple,,,,,Multiple,,
