Author,Year,Title,Journal,Abstract,DOI,Relevant to Study,Review,Observational,Experiment,Metanalysis,QModel,TModel,Type of study,Ecosystem,Taxonomic,System,NEWPhysiological,Morphological,Physiological,Life History,Behavioural,Trait Types,Trait Diversity,Fundamental,Physical,Ecological,IntraspecificTraits,InterspecificTraits,Trophic,Level of Prediction Possible,Forecasting/Predictive,Global Change Driver,Comparison Btwn Approaches,Further Review,Into Text,Went Into Text,Notes,
"de-Dios-Garcia, Javier; Manso, Ruben; Calama, Rafael; Fortin, Mathieu; Pardos, Marta",2018,A new multifactorial approach for studying intra-annual secondary growth dynamics in Mediterranean mixed forests: integrating biotic and abiotic interactions,CANADIAN JOURNAL OF FOREST RESEARCH,"Studying intra-annual growth dynamics through a modelling approach has proved useful for characterizing differences in wood phenology between species and deviations from the expected tree growth due to climate change. The aim of this paper was to determine the climatic factors and the inter-and intra-specific competition traits that drive intra-annual secondary growth dynamics in three Mediterranean tree species that naturally co-exist in the Spanish Northern Plateau (Pinus pinea L., Juniperus thurifera L., and Quercus ilex subsp. ballota (Desf.) Samp.). For this purpose, we obtained girth increment data from band dendrometers installed on 58 trees from May 2012 to April 2015. Half of them were located in a high-density plot and half were in a low-density plot. These data were analysed through a nonlinear multifactorial model considering daily and cumulative climatic effects together with inter-and intra-specific competition indices. Our results provide evidence of a spatiotemporal niche separation between species. Compared with other species, Q. ilex subsp. ballota showed a wider thermal amplitude, a higher mean optimum temperature for growth, and a milder effect of drought on its secondary growth. Under current climate change projections, simulations based on our model predict a secondary growth reduction for P. pinea and a growth enhancement for Q. ilex subsp. ballota in these Mediterranean mixtures.",10.1139/cjfr-2017-0139,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Temperate Forest,0,1,0,0,0,Morphological,1,1,0,0,,,0,F,0,Climate Change,0,0,1,1,"Traits Used = DBH, stump diameter, total height, height to crown base, crown radius",
"Dehling, DM; Fritz, SA; Topfer, T; Packert, M; Estler, P; Bohning-Gaese, K; Schleuning, M",2014,Functional and phylogenetic diversity and assemblage structure of frugivorous birds along an elevational gradient in the tropical Andes,ECOGRAPHY,"Tropical mountains are hotspots of biodiversity, but the factors that generate this high diversity remain poorly understood. To identify possible mechanisms that influence avian species assemblages in the tropical Andes, we studied the functional and phylogenetic diversity and the structure of species assemblages of an avian feeding guild. We analysed how functional and phylogenetic diversity, structure and composition of frugivorous bird assemblages changed along a 3300 m elevational transect from the lowlands to the tree line with a novel combination of functional and phylogenetic approaches, and used null models to infer possible drivers of the observed patterns. Species richness, functional richness and phylogenetic diversity decreased almost monotonically with increasing elevation, but assemblage structure and composition changed abruptly in the Andean foothills at around 1200 m. In the lowland assemblages, species were functionally and phylogenetically less similar than expected from null models, whereas species in the highland assemblages were functionally and phylogenetically more similar than expected by chance, suggesting an abrupt reduction in the number of functionally and phylogenetically distinct species in the transition from lowlands to the highlands. Nevertheless, the functional and phylogenetic evenness of the assemblages, i.e. the regularity of the spacing of species in functional trait space and phylogeny, remained constant along the gradient, which suggests that the mechanisms that influence the co-occurrence of species within the assemblages are similar in lowlands and highlands. The observed differences between lowland and highland assemblages imply sharp distributional limits for frugivorous bird species in the Andean foothills, probably caused by environmental factors other than climate, e.g. changes in habitat types or topography, or independent species radiations in lowlands and highlands. These strong distributional limits may hinder uphill range shifts of frugivorous bird species, and the plant species they disperse, in the tropical Andes as a response to climate change.",10.1111/ecog.00623,Y,0,1,0,0,0,0,Observational,Terrestrial,Birds,Alpine,0,1,0,0,0,Morphological,1,1,0,0,,,0,F,0,0,0,0,1,1,"Traits Used = beak length height and width, wing length, tail length, Kipp's distance (distance from the tip of the first secondary to the wing tip), tarsus length, sagittal and laterual diameter of tarsus",
"Dehling, DM; Jordano, P; Schaefer, HM; Bohning-Gaese, K; Schleuning, M",2016,Morphology predicts species' functional roles and their degree of specialization in plant-frugivore interactions,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Species' functional roles in key ecosystem processes such as predation, pollination or seed dispersal are determined by the resource use of consumer species. An interaction between resource and consumer species usually requires trait matching (e.g. a congruence in the morphologies of interaction partners). Species' morphology should therefore determine species' functional roles in ecological processes mediated by mutualistic or antagonistic interactions. We tested this assumption for Neotropical plant-bird mutualisms. We used a new analytical framework that assesses a species's functional role based on the analysis of the traits of its interaction partners in a multidimensional trait space. We employed this framework to test (i) whether there is correspondence between the morphology of bird species and their functional roles and (ii) whether morphologically specialized birds fulfil specialized functional roles. We found that morphological differences between bird species reflected their functional differences: (i) bird species with different morphologies foraged on distinct sets of plant species and (ii) morphologically distinct bird species fulfilled specialized functional roles. These findings encourage further assessments of species' functional roles through the analysis of their interaction partners, and the proposed analytical framework facilitates a wide range of novel analyses for network and community ecology.",10.1098/rspb.2015.2444,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Tropical Rainforest,0,1,0,0,0,Morphological,1,0,0,0,,,1,T,0,0,0,0,1,1,"Taxonomic = Birds & PlantsTraits = (Birds = beak length and width, pointedness of wing, body mass), (Plants = fruit size and diameter, crop mass, plant height)",
"Dell, AI; Pawar, S; Savage, V",2014,Temperature dependence of trophic interactions are driven by asymmetry of species responses and foraging strategy,JOURNAL OF ANIMAL ECOLOGY,"Environmental temperature has systematic effects on rates of species interactions, primarily through its influence on organismal physiology. We present a mechanistic model for the thermal response of consumer-resource interactions. We focus on how temperature affects species interactions via key traits - body velocity, detection distance, search rate and handling time - that underlie per capita consumption rate. The model is general because it applies to all foraging strategies: active-capture (both consumer and resource body velocity are important), sit-and-wait (resource velocity dominates) and grazing (consumer velocity dominates). The model predicts that temperature influences consumer-resource interactions primarily through its effects on body velocity (either of the consumer, resource or both), which determines how often consumers and resources encounter each other, and that asymmetries in the thermal responses of interacting species can introduce qualitative, not just quantitative, changes in consumer-resource dynamics. We illustrate this by showing how asymmetries in thermal responses determine equilibrium population densities in interacting consumer-resource pairs. We test for the existence of asymmetries in consumer-resource thermal responses by analysing an extensive database on thermal response curves of ecological traits for 309 species spanning 15 orders of magnitude in body size from terrestrial, marine and freshwater habitats. We find that asymmetries in consumer-resource thermal responses are likely to be a common occurrence. Overall, our study reveals the importance of asymmetric thermal responses in consumer-resource dynamics. In particular, we identify three general types of asymmetries: (i) different levels of performance of the response, (ii) different rates of response (e.g. activation energies) and (iii) different peak or optimal temperatures. Such asymmetries should occur more frequently as the climate changes and species' geographical distributions and phenologies are altered, such that previously noninteracting species come into contact. By using characteristics of trophic interactions that are often well known, such as body size, foraging strategy, thermy and environmental temperature, our framework should allow more accurate predictions about the thermal dependence of consumer-resource interactions. Ultimately, integration of our theory into models of food web and ecosystem dynamics should be useful in understanding how natural systems will respond to current and future temperature change.",10.1111/1365-2656.12081,Y,0,0,0,0,0,0,T Model,Broad,Broad,Broad,0,0,0,0,1,Behavioural,1,1,0,0,,,1,T,0,Climate Change,0,0,1,,"Traits = body velocity, detection distance, search rate and handling time",
"Dell, AI; Pawar, S; Savage, VM",2011,Systematic variation in the temperature dependence of physiological and ecological traits,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"To understand the effects of temperature on biological systems, we compile, organize, and analyze a database of 1,072 thermal responses for microbes, plants, and animals. The unprecedented diversity of traits (n = 112), species (n = 309), body sizes (15 orders of magnitude), and habitats (all major biomes) in our database allows us to quantify novel features of the temperature response of biological traits. In particular, analysis of the rising component of within-species (intraspecific) responses reveals that 87% are fit well by the Boltzmann-Arrhenius model. The mean activation energy for these rises is 0.66 +/- 0.05 eV, similar to the reported across-species (interspecific) value of 0.65 eV. However, systematic variation in the distribution of rise activation energies is evident, including previously unrecognized right skewness around a median of 0.55 eV. This skewness exists across levels of organization, taxa, trophic groups, and habitats, and it is partially explained by prey having increased trait performance at lower temperatures relative to predators, suggesting a thermal version of the life-dinner principle-stronger selection on running for your life than running for your dinner. For unimodal responses, habitat (marine, freshwater, and terrestrial) largely explains the mean temperature at which trait values are optimal but not variation around the mean. The distribution of activation energies for trait falls has a mean of 1.15 +/- 0.39 eV (significantly higher than rises) and is also right-skewed. Our results highlight generalities and deviations in the thermal response of biological traits and help to provide a basis to predict better how biological systems, from cells to communities, respond to temperature change.",10.1073/pnas.1015178108,Y,1,0,0,0,0,0,Review,Broad,Broad,Broad,1,0,1,1,1,"Physiological, Life History, Behavioural",3,1,0,0,1,,0,F,0,Climate Change,0,0,1,1,"Traits Used = in SI of article, there's 112 of them. Said F because even though you could possibly link some of the traits to trophic interactions, they don't do it explicitly and you'd be extrapolating, so I say F because that aligns with what I think they actually did",
"Deng, QME; Hazel, W",2010,Population structure and phylogeography of an acorn barnacle with induced defense and its gastropod predator in the Gulf of California,MARINE BIOLOGY,"Using sequence variation in the mitochondrial cytochrome oxidase I locus, we estimated the population structure and phylogeography of the intertidal acorn barnacle, Chthamalus anisopoma, and its gastropod predator, Mexacanthina lugubris angelica. Both are endemic to the Gulf of California, being derived from taxa on the Pacific coast of the Baja peninsula, and both exhibit phenotypic plasticity for traits affecting their coevolutionary interactions. Consistent with expectations based on differences in dispersal, C. anisopoma populations generally lack geographic structure, while those of M. l. angelica are more strongly structured. However, the variable degree of differentiation in both species suggests that the extent of reciprocal selection and local adaptation in the species will vary geographically, a result consistent with the concept of a geographic mosaic of coevolution. The pattern of variation in C. anisopoma shows clear evidence of recent spatial expansion, possibly due to increased habitat availability following the last glacial maximum. Phylogeographic analyses suggest that M. l. angelica diversified into three distinct clades after the colonization of the Gulf. Overall, our results illustrate how dispersal potential, geological and climatic events, and recent population growth have impacted the pattern of sequence variation in the two species.",10.1007/s00227-010-1468-7,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,0,,,,,,0,,,
"Denis, T; Herault, B; Brunaux, O; Guitet, S; Richard-Hansen, C",2018,Weak environmental controls on the composition and diversity of medium and large-sized vertebrate assemblages in neotropical rain forests of the Guiana Shield,DIVERSITY AND DISTRIBUTIONS,"Aim: Despite their often high-trophic position and their contribution to many ecosystem functions, little is known about the factors affecting assemblage structure of medium- and large-sized neotropical vertebrates. We examined the relative roles played by the physical and biological environment, and by purely spatial processes, in shaping the composition and diversities of these vertebrate assemblages. Then, based on the theory that the Guianan forest cover shrank to isolated pockets during the late Pleistocene-Holocene, we tested if the past forest refugia may have shaped current vertebrate assemblages. Location: French Guiana, Guiana Shield, South America. Methods: Abundances of 19 medium- and large-sized vertebrates were estimated at 21 locations in undisturbed Guianan rain forests. Using taxonomic, functional and phylogenetic metrics, we partitioned the effects of a range of physical and biological environmental conditions and purely spatial predictors in shaping both assemblage composition and (alpha and beta) diversities. Results: We identified a significant, but weak relationship between taxonomic, functional and phylogenetic assemblage composition and environmental conditions. Assemblage diversity patterns were mainly explained by spatial predictors irrespective of the metrics. Current assemblage diversities are correlated with Pleistocene-Holocene forest history, with the highest alpha diversities outside of putative forest refugia, and the highest beta diversities inside these areas. Main conclusions: Current vertebrate assemblage composition is not strongly marked by common environmental factors. Our main conclusion is that assemblage composition results from individual species responses to the environment. Our findings also suggest that dispersal-related processes or more probably historical processes shape (alpha and beta) diversity patterns. In fact, forest fragmentation during Pleistocene-Holocene climate changes could have led to isolated vertebrate assemblages evolving into unique species assemblages creating the current high beta diversity inside refugia, whereas the lower habitat stability outside of refugia could have led to mixed assemblages in areas recolonized by forest vertebrates (current high alpha diversity outside of refugia).",10.1111/ddi.12790,Y,0,1,0,0,0,0,Observational,Terrestrial,Broad,Tropical Rainforest,0,1,0,1,1,"Morphological, Life History, Behavioural",3,1,0,1,,,0,F,0,0,0,0,1,1,"Traits = body mass, body size, size of home range, mean group size, habitat preference, diet",
"Denoel, M; Ficetola, GF",2014,Heterochrony in a complex world: disentangling environmental processes of facultative paedomorphosis in an amphibian,JOURNAL OF ANIMAL ECOLOGY,"Heterochrony, the change in the rate or timing of development between ancestors and their descendants, plays a major role in evolution. When heterochrony produces polymorphisms, it offers the possibility to test hypotheses that could explain its success across environments. Amphibians are particularly suitable to exploring these questions because they express complex life cycles (i.e. metamorphosis) that have been disrupted by heterochronic processes (paedomorphosis: retention of larval traits in adults). The large phenotypic variation across populations suggests that more complex processes than expected are operating, but they remain to be investigated through multivariate analyses over a large range of natural populations across time. In this study, we compared the likelihood of multiple potential environmental determinants of heterochrony. We gathered data on the proportion of paedomorphic and metamorphic palmate newts (Lissotriton helveticus) across more than 150 populations during 10years and used an information-theoretic approach to compare the support of multiple potential processes. Six environmental processes jointly explained the proportion of paedomorphs in populations: predation, water availability, dispersal limitation, aquatic breathing, terrestrial habitat suitability and antipredator refuges. Analyses of variation across space and time supported models based on the advantage of paedomorphosis in favourable aquatic habitats. Paedomorphs were favoured in deep ponds, in conditions favourable to aquatic breathing (high oxygen content), with lack of fish and surrounded by suitable terrestrial habitat. Metamorphs were favoured by banks allowing easy dispersal. These results indicate that heterochrony relies on complex processes involving multiple ecological variables and exemplifies why heterochronic patterns occur in contrasted environments. On the other hand, the fast selection of alternative morphs shows that metamorphosis and paedomorphosis developmental modes could be easily disrupted in natural populations.",10.1111/1365-2656.12173,Y,0,1,0,0,0,0,Obersational,Freshwater,Other,Grassland,0,0,0,1,0,Life History,1,1,0,0,,,0,F,0,0,0,0,1,1,Taxonomic = amphibeans. Traits = paedomorphosis (retention of larval traits in adults),
"Depalo, Laura; Lanzoni, Alberto; Masetti, Antonio; Pasqualini, Edison; Burgio, Giovanni",2017,Lethal and Sub-lethal Effects of Four Insecticides on the Aphidophagous Coccinellid Adalia bipunctata (Coleoptera: Coccinellidae),JOURNAL OF ECONOMIC ENTOMOLOGY,"Conventional insecticide assays, which measure the effects of insecticide exposure on short-term mortality, overlook important traits, including persistence of toxicity or sub-lethal effects. Therefore, such approaches are especially inadequate for prediction of the overall impact of insecticides on beneficial arthropods. In this study, the side effects of four modern insecticides (chlorantraniliprole, emamectin benzoate, spinosad, and spirotetramat) on Adalia bipunctata (L.) (Coleoptera: Coccinellidae) were evaluated under laboratory conditions by exposition on treated potted plants. In addition to investigation of acute toxicity and persistence of harmful activity in both larvae and adults of A. bipunctata, demographic parameters were evaluated, to provide a comprehensive picture of the nontarget effects of these products. Field doses of the four insecticides caused detrimental effects to A. bipunctata; but in different ways. Overall, spinosad showed the best toxicological profile among the products tested. Emamectin benzoate could be considered a low-risk insecticide, but had high persistence. Chlorantraniliprole exhibited lethal effects on early instar larvae and adults, along with a long-lasting activity, instead spirotetramat showed a low impact on larval and adult mortality and can be considered a short-lived insecticide. However, demographic analysis demonstrated that chlorantraniliprole and spirotetramat caused sub-lethal effects. Our findings highlight that sole assessment of mortality can lead to underestimation of the full impact of pesticides on nontarget insects. Demographic analysis was demonstrated to be a sensitive method for detection of the sub-lethal effects of insecticides on A. bipunctata, and this approach should be considered for evaluation of insecticide selectivity.",10.1093/jee/tox243,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,0,,,,,,0,,,
"Deraison, H; Badenhausser, I; Loeuille, N; Scherber, C; Gross, N",2015,Functional trait diversity across trophic levels determines herbivore impact on plant community biomass,ECOLOGY LETTERS,"Understanding the consequences of trophic interactions for ecosystem functioning is challenging, as contrasting effects of species and functional diversity can be expected across trophic levels. We experimentally manipulated functional identity and diversity of grassland insect herbivores and tested their impact on plant community biomass. Herbivore resource acquisition traits, i.e. mandible strength and the diversity of mandibular traits, had more important effects on plant biomass than body size. Higher herbivore functional diversity increased overall impact on plant biomass due to feeding niche complementarity. Higher plant functional diversity limited biomass pre-emption by herbivores. The functional diversity within and across trophic levels therefore regulates the impact of functionally contrasting consumers on primary producers. By experimentally manipulating the functional diversity across trophic levels, our study illustrates how trait-based approaches constitute a promising way to tackle existing links between trophic interactions and ecosystem functioning.",10.1111/ele.12529,Y,0,0,1,0,0,0,Experiment,Terrestrial,Multiple,Grassland,0,1,0,0,0,Morphological,1,0,0,0,,,1,T,0,0,0,1,1,1,"Taxonomic = insects & plantsTraits = ( insects = incisor strength, body size, C:N ratio) (plants = leaf C:N ratio, leaf dry matter content, plant height)",
"Dercole, F",2003,Remarks on branching-extinction evolutionary cycles,JOURNAL OF MATHEMATICAL BIOLOGY,"We show in this paper that the evolution of cannibalistic consumer populations can be a never ending story involving alternating levels of polymorphism. More precisely, we show that a monomorphic population can evolve toward high levels of cannibalism until it reaches a so-called branching point, where the population splits into two sub-populations characterized by different, but initially very close, cannibalistic traits. Then, the two traits coevolve until the more cannibalistic sub-population undergoes evolutionary extinction. Finally, the remaining population evolves back to the branching point, thus closing an evolutionary cycle. The model on which the study is based is purely deterministic and derived through the adaptive dynamics approach. Evolutionary dynamics are investigated through numerical bifurcation analysis, applied both to the ecological (resident-mutant) model and to the evolutionary model. The general conclusion emerging from this study is that branching-extinction evolutionary cycles can be present in wide ranges of environmental and demographic parameters, so that their detection is of crucial importance when studying evolutionary dynamics.",10.1007/00285-003-0236-4,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,0,,,,,,0,,,
"DeSoto, L; Torices, R; Rodriguez-Echeverria, S; Nabais, C",2017,Variation in seed packaging of a fleshy-fruited conifer provides insights into the ecology and evolution of multi-seeded fruits,PLANT BIOLOGY,"The study of intraspecific seed packaging (i.e. seed size/number strategy) variation across different populations may allow better understanding of the ecological forces that drive seed evolution in plants. Juniperus thurifera (Cupressaceae) provides a good model to study this due to the existence of two subspecies differentiated by phenotypic traits, such as seed size and cone seediness (number of seeds inside a cone), across its range. The aim of this study was to analyse seed packaging (seed mass and cone seediness) variation at different scales (subspecies, populations and individuals) and the relationship between cone and seed traits in European and African J. thurifera populations. After opening more than 5300 cones and measuring 3600 seeds, we found that seed packaging traits followed different patterns of variation. Large-scale effects (region and population) significantly contributed to cone seediness variance, while most of the seed mass variance occurred within individuals. Seed packaging differed between the two sides of the Mediterranean Sea, with African cones bearing fewer but larger seeds than the European ones. However, no differences in seed mass were found between populations when taking into account cone seediness. Larger cones contained more pulp and seeds and displayed a larger variation in individual seed mass. We validated previous reports on the intraspecific differences in J. thurifera seed packaging, although both subspecies followed the same seed size/number trade-off. The higher seediness and variation in seed mass found in larger cones reveals that the positive relationship between seed and cone sizes may not be straightforward.We hypothesise that the large variation of seed size found within cones and individuals in J. thurifera, but also in other fleshy-fruited species, could represent a bet-hedging strategy for dispersal.",10.1111/plb.12566,Y,0,1,0,0,0,0,Observational,Terrestrial,Plants,Tropical Seasonal Forest,0,1,0,0,0,Morphological,1,1,0,0,1,,0,F,0,0,0,0,1,1,"Traits = seed size, number of viable seeds within a cone, total seed mass, diameter of cone, pulp mass per individual seed, percentage of cone mass corresponding to pulp, ",
"Destrez, A.; Deiss, V.; Leterrier, C.; Boivin, X.; Boissy, A.",2013,Long-term exposure to unpredictable and uncontrollable aversive events alters fearfulness in sheep,ANIMAL,"Numerous studies have investigated the emotional effects of various acute, potentially alarming events in animals, but little is known about how an accumulation of emotional experiences affects fearfulness. Fearfulness is a temperament trait that characterizes the propensity of an individual to be frightened by a variety of alarming events. The aim of this study was to investigate a putative alteration of fearfulness in sheep repeatedly exposed to various aversive events. Forty-eight 5-month-old female lambs were used. Over a period of 6 weeks, 24 of them (treated group) were exposed daily to various unpredictable and uncontrollable aversive events related to predatory cues, social context and negative handling that can occur under farming conditions. The other 24 lambs (control group) were housed in standard farming conditions (predictable food distribution and group handling). Fearfulness (behavioural and physiological responses) was assessed before and after the treatment period by subjecting the lambs to three standardized tests: individual exposure to suddenness and then to novelty in a test arena, and group exposure to a motionless human in the home pen. As biomarkers of stress, leukocyte counts, heart rate and cortisol concentrations were measured in the lambs in their home pens. Before the treatment, the emotional responses of the groups did not differ. After the treatment, treated lambs approached the human less often, had less contact with the novel object and vocalized more than controls in individual tests, suggesting that long-term exposure to unpredictable and uncontrollable aversive events increases subsequent fearfulness in sheep. In addition, treated lambs had lower leukocyte counts, heart rate and cortisol levels, pointing to a chronic stress state. These findings suggest that increased fearfulness may be used as a sign of chronic stress in farm animals.",10.1017/S1751731112001796,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,0,,,,,,0,,,
"Deutschman, DH",2001,Design and analysis of biodiversity field experiments,ECOLOGICAL RESEARCH,"The design and analysis of field experiments have figured prominently in the current debate about biodiversity and ecosystem function. These debates have identified important issues about species traits, functional groups, and community assembly, but a broader debate needs to include discussions about the scale (grain and extent) of experiments relative to natural spatial and temporal heterogeneity. In addition, alternative statistical analyses need to be explored that focus on comparison among several statistical models rather than simple hypothesis testing. Analyses of the first 2 years of data from a new biodiversity field experiment are used to illustrate these concepts. A traditional one-way ANOVA demonstrates the expected increase in aboveground biomass with higher levels of vascular plant diversity. Further analysis demonstrates that this relationship is absent when the community contains either Arrhenatherum elatius or Holcus lanatus, two dominant species of grass. Variance in biomass is also a function of diversity and both spatial and temporal heterogeneity are significant factors in the analysis despite precautions taken to minimize them. These examples illustrate the degree to which the analysis of a field experiment influences the interpretation of the observed results. Ultimately, results from field experiments must be validated through continued comparisons among field experiments, mathematical models, laboratory trials, and mesocosm experiments.",10.1046/j.1440-1703.2001.00454.x,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,0,,,,,,0,,,
"Devictor, V; Mouillot, D; Meynard, C; Jiguet, F; Thuiller, W; Mouquet, N",2010,"Spatial mismatch and congruence between taxonomic, phylogenetic and functional diversity: the need for integrative conservation strategies in a changing world",ECOLOGY LETTERS,"P>Functional and phylogenetic diversity are increasingly quantified in various fields of ecology and conservation biology. The need to maintain diversity turnover among sites, so-called beta-diversity, has also been raised in theoretical and applied ecology. In this study, we propose the first comprehensive framework for the large-scale mapping of taxonomic, phylogenetic and functional diversity and of their respective turnover. Using high-resolution data on the spatial distribution and abundance of birds at a country scale, we disentangled areas of mismatches and congruencies between biodiversity components. We further revealed unequal representation of each component in protected areas: functional diversity was significantly under-represented whereas taxonomic diversity was significantly over-represented in protected areas. Our results challenge the use of any one diversity component as a surrogate for other components and stress the need to adopt an integrative approach to biodiversity conservation.",10.1111/j.1461-0248.2010.01493.x,Y,1,0,0,0,0,0,Review,Terrestrial,Birds,Broad,0,1,0,1,1,"Morphological, Life History, Behavioural",3,1,0,1,,,0,E,0,0,1,0,1,1,"Traits Used = body mass, clutch size, life span, diet, foraging method, nest location, foraging substrate, migratory status, aerodynamic index, main foraging period. Said E because they relate the functional diversity in reserves to species diversity, so they're saying something about species composition, or an ecological interaction so I think E",
"DeWitt, TJ; Langerhans, RB",2003,"Multiple prey traits, multiple predators: keys to understanding complex community dynamics",JOURNAL OF SEA RESEARCH,"Natural communities can be complex. Such complexity makes it difficult to discern the mechanisms generating community structure. In this paper we review concepts and issues related to linking functional and community studies while also including greater complexity into the experimental realm. These principles are primarily illustrated with case studies involving predation ecology in a freshwater snail-fish-crayfish model system. The system illustrates how predator impacts on prey are mediated by multiple prey traits, correlations between traits, functional trade-offs in predator defence, interactions between predators, and interactions with other community members. We argue for a pluralistic approach to investigating mechanisms of community structure; that is, an approach that integrates many subdisciplines of ecology and evolution. We discuss four main areas that when used together yield important insights on community structure. First, selection gradient analyses formally link functional and community ecology. This formalisation is shown to help identify targets of selection, estimate environment-specific mortality rates, and identify agents of selection in complex communities. Second, we encourage increased focus on emergent community properties (results not predicted based on pairwise species interactions). Third, we emphasise that a community, rather than a web of species interactions, may more profitably be viewed as a network of trait interactions. This trait-centred view makes clear how indirect community effects arise between species that do not interact physically. This perspective also leads to our fourth topic, the integration of phenotypes. Just as populations evolve co-adapted suites of traits, so too should individuals embody integrated trait correlations, termed 'trait integration', rather than randomly assembled collections of phenotypes. All the perspectives mentioned above suggest that investigations should focus on multiple traits and multiple environments simultaneously, rather than singular, atomised components of complex systems. (C) 2002 Elsevier Science B.V. All rights reserved.",10.1016/S1385-1101(02)00220-4,Y,1,0,0,0,0,0,Review,Terrestrial,Other,Broad,0,1,0,0,1,"Morphological, Behavioural",2,0,0,0,,,1,T,0,0,0,0,1,1,"Taxonomic  = snails. Traits Used = shell size, shell aspect ratio, habitat. Note, took this data from Box 1 in the text",
"Dezerald, O; Srivastava, DS; Cereghino, R; Carrias, JF; Corbara, B; Farjalla, VF; Leroy, C; Marino, NAC; Piccoli, GCO; Richardson, BA; Richardson, MJ; Romero, GQ; Gonzalez, AL",2018,Functional traits and environmental conditions predict community isotopic niches and energy pathways across spatial scales,FUNCTIONAL ECOLOGY,"1. Despite ongoing research in food web ecology and functional biogeography, the links between food web structure, functional traits and environmental conditions across spatial scales remain poorly understood. Trophic niches, defined as the amount of energy and elemental space occupied by species and food webs, may help bridge this divide. 2. Here, we ask how the functional traits of species, the environmental conditions of habitats and the spatial scale of analysis jointly determine the characteristics of trophic niches. We used isotopic niches as a proxy of trophic niches, and conducted analyses at spatial scales ranging from local food webs and metacommunities to geographically distant sites. 3. We sampled aquatic macroinvertebrates from 104 tank bromeliads distributed across five sites from Central to South America and compiled the macroinvertebrates' functional traits and stable isotope values (delta N-15 and delta C-13). We assessed how isotopic niches within each bromeliad were influenced by the functional trait composition of their associated invertebrates and environmental conditions (i.e., habitat size, canopy cover [CC] and detrital concentration [DC]). We then evaluated whether the diet of dominant predators and, consequently, energy pathways within food webs reflected functional and environmental changes among bromeliads across sites. At last, we determined the extent to which the isotopic niches of macroinvertebrates within each bromeliad contributed to the metacommunity isotopic niches within each site and compared these metacommunity-level niches over biogeographic scales. 4. At the bromeliad level, isotopic niches increased with the functional richness of species in the food web and the DC in the bromeliad. The diet of top predators tracked shifts in prey biomass along gradients of CC and DC. Bromeliads that grew under heterogeneous CC displayed less trophic redundancy and therefore combined to form larger metacommunity isotopic niches. At last, the size of metacommunity niches depended on within-site heterogeneity in CC. 5. Our results suggest that the trophic niches occupied by food webs can predictably scale from local food webs to metacommunities to biogeographic regions. This scaling process is determined by both the functional traits of species and heterogeneity in environmental conditions.",10.1111/1365-2435.13142,Y,0,1,0,0,0,0,Observational,Terrestrial,Multiple,Tropical Rainforest,0,1,0,1,0,"Morphological, Life History",2,1,0,1,,,0,F,0,0,0,0,1,1,"Taxonomic  = macroinverts. Traits = dry mass, feeding method. Said F even though they do talk about trophic things, because to me, they're linking the traits to the type of bromeliad the organism will be in, which to me is functional niche",
"di Virgilio, Agustina; Morales, Juan M.; Lambertucci, Sergio A.; Shepard, Emily L. C.; Wilson, Rory P.",2018,Multi-dimensional Precision Livestock Farming: a potential toolbox for sustainable rangeland management,PEERJ,"Background. Precision Livestock Farming (PLF) is a promising approach to minimize the conflicts between socio-economic activities and landscape conservation. However, its application on extensive systems of livestock production can be challenging. The main difficulties arise because animals graze on large natural pastures where they are exposed to competition with wild herbivores for heterogeneous and scarce resources, predation risk, adverse weather, and complex topography. Considering that the 91% of the world's surface devoted to livestock production is composed of extensive systems (i.e., rangelands), our general aim was to develop a PLF methodology that quantifies: (i) detailed behavioural patterns, (ii) feeding rate, and (iii) costs associated with different behaviours and landscape traits.Methods. For this, we used Merino sheep in Patagonian rangelands as a case study. We combined data from an animal-attached multi-sensor tag (tri-axial acceleration, tri-axial magnetometry, temperature sensor and Global Positioning System) with landscape layers from a Geographical Information System to acquire data. Then, we used high accuracy decision trees, dead reckoning methods and spatial data processing techniques to show how this combination of tools could be used to assess energy balance, predation risk and competition experienced by livestock through time and space.Results. The combination of methods proposed here are a useful tool to assess livestock behaviour and the different factors that influence extensive livestock production, such as topography, environmental temperature, predation risk and competition for heterogeneous resources. We were able to quantify feeding rate continuously through time and space with high accuracy and show how it could be used to estimate animal production and the intensity of grazing on the landscape. We also assessed the effects of resource heterogeneity (inferred through search times), and the potential costs associated with predation risk, competition, thermoregulation and movement on complex topography.Discussion. The quantification of feeding rate and behavioural costs provided by our approach could be used to estimate energy balance and to predict individual growth, survival and reproduction. Finally, we discussed how the information provided by this combination of methods can be used to develop wildlife-friendly strategies that also maximize animal welfare, quality and environmental sustainability.",10.7717/peerj.4867,N,,,,,,,,,,,0,,,,,,0,0,0,0,,,0,,,,,,0,,,
