Trait,DOI,Primary_classification,Secondary_classification
age at maturity,10.1111/ele.12728,life history,age/size at maturity
age at sex change.,10.3354/meps09086,life history,age/size at maturity
age at sexual maturity,10.1371/journal.pbio.0020197,life history,age/size at maturity
age at sexual maturity,10.1111/bij.12238,life history,age/size at maturity
age category,10.1371/journal.pone.0126112,life history,age
age class,10.1111/jzo.12566,life history,age/size at maturity
age first flowering,10.1111/1365-2664.12037,life history,age/size at maturity
age of first flowering,10.1111/geb.12306,life history,age/size at maturity
age specific reproductive investment,10.1016/j.seares.2013.05.004,life history,fecundity
aggregation size,10.1111/1365-2656.12250,activity,aggregation
aggression,10.1111/j.1366-9516.2005.00169.x,activity,aggression
aggression to conspecifics,10.1111/j.1365-2656.2007.01284.x,activity,aggression
aggression to conspecifics,10.1016/j.anbehav.2009.11.024,activity,aggression
agility,unknown_23,activity,movement
air-dried 1000 seed weight,10.1111/wre.12126,life history,fecundity
air breathers,10.2307/1467813,morphology,respiratory system
air sacs,10.3389/fevo.2017.00084,morphology,respiratory system
akinetes,10.1007/s10661-015-4519-1,activity,dormancy
algal quality,10.1016/j.ecolind.20.17.05.066,composition,NA
allocation to roots vs shoots,10.1890/ES10-00113.1,morphology,water intake
altitude,10.1002/eap.1621,habitat,altitude
altitude,10.1046/j.1365-2427.2000.00535.x,habitat,altitude
altitudinal affinity,10.1111/geb.12475,habitat,altitude
altitudinal preferences,10.1111/fwb.12554,habitat,altitude
AMBI ecological group,10.1016/j.ecolind.2016.07.019,resource acquisition,diet
ambush predation,10.1046/j.1523-1739.2002.02283.x,resource acquisition,feeding mode
ammonia excretion rate,10.1890/15-1084.1,resource acquisition,amonia excretion
amount of energy stocked in larval development,10.1111/1365-2435.13007,growth,development
amount of nectar,10.1111/ele.12081,morphology,nectar
amount of subcutaneous fat,10.1007/s10682-018-9945-4,composition,lipid
amount of suitable habitat required for successful settlement in a patch,10.1098/rsos.181702,habitat,NA
anaerobic tolerance,10.1111/oik.02277,resource acquisition,oxygen
anal fin height,10.1007/s10641-016-0506-9,morphology,fin
anal fin height,10.1111/1365-2435.12838,morphology,fin
anal fin length,10.1007/s10641-016-0506-9,morphology,fin
anal fin length,10.1111/1365-2435.12838,morphology,fin
anemochory,10.1111/1365-2664.12037,activity,dispersal
angle of mouth in relation to lateral line,10.7717/peerj.2387,morphology,shape
animal component of the diet,10.1002/ece3.3613,resource acquisition,diet
annual fecundity,10.1111/ecog.02968,life history,fecundity
annual fecundity,10.1111/geb.12567,life history,fecundity
annual fecundity,10.1093/beheco/ars040,life history,fecundity
annual frequency of reproduction,10.2307/2937081,life history,fecundity
annual productivity,10.1890/ES10-00113.1,growth,NA
annual recruitment,10.2307/2937081,life history,fecundity
annual survival,10.1023/B:BIOC.0000004319.91643.9e,survival,survival
ant length,10.1002/ece3.4377,morphology,shape
antennal to body length ratio,10.1007/s00442-015-3345-z,morphology,shape
anterior barbel length,10.1007/s12080-014-0229-5,morphology,defense
anterior eye position,10.1111/icad.12248,morphology,vision
antero posterior pigmentation gradient,10.1111/jbi.12284,morphology,coloration
anther exposure,10.1111/ele.12081,morphology,reproductive structure
anthocyanins,10.5194/bg-14-3371-2017,composition,NA
anti-predator aggregation behaviour of prey,unknown_7,activity,predator avoidance
antipredator behaviour,10.1093/beheco/11.4.452,activity,predator avoidance
antipredator strategy,10.1002/ecs2.2125,activity,predator avoidance
anurophagy,10.1007/s10531-014-0850-z,resource acquisition,diet
aperture,10.1111/ele.12081,morphology,NA
aposematism,10.1111/evo.12153,morphology,coloration
apparency,10.1111/oik.01515,activity,predator avoidance
apparent consumption rate,10.1111/oik.05228,resource acquisition,consumption rate
apparent distance,10.1007/s00442-010-1712-3,activity,predator avoidance
aprical tooth length,10.1111/icad.12248,morphology,teeth traits
aquatic developmental stage,10.1111/1365-2435.13141,life history,life cycle
aquatic or terrestrial egg deposition,10.3389/fmicb.2017.01530,life history,reproductive mode
aquatic stages,10.1046/j.1365-2427.2000.00535.x,life history,life cycle
aquatic stages,10.1016/j.scitotenv.2016.07.227,life history,life cycle
arable-land use,10.1111/1365-2656.12829,habitat,NA
area-based leaf N,10.3732/ajb.1400437,composition,nitrogen
area-based stomatal conductance,10.1007/s10682-005-2005-x,resource acquisition,desication tolerance
area independent stomatal index,10.1038/srep24110,morphology,desication tolerance
area of cauline leaf,10.1002/ece3.1286,morphology,shape
arginine kinase activity,10.1073/pnas.1802091115,resource acquisition,NA
aril presence,10.1007/s11692-017-9409-8,morphology,reproductive structure
armoring,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,morphology,defense
armoring,10.1899/10-041.1,morphology,defense
arrival from migration,10.1371/journal.pone.0090437,activity,migration
artifacts of conflict,10.3389/fevo.2017.00084,activity,aggression
ascending process height,unknown_20,morphology,NA
asexual reproduction,10.1111/j.1365-2656.2010.01660.x,life history,reproductive mode
ash,10.1111/j.1472-4642.2009.00599.x,composition,energy density
ash content,10.1111/1365-2656.12218,composition,energy density
aspect ratio,10.1371/journal.pone.0041323,morphology,shape
aspect ratio,10.1007/s00442-014-3039-y,morphology,shape
aspect ratio of caudal fin,10.1007/s10641-018-0759-6,morphology,shape
aspect ratio of caudal fin,10.1016/j.dsr.2016.11.011,morphology,shape
aspect ratio of pectoral fin,10.1007/s10641-018-0759-6,morphology,fin
aspect ratio of pectoral fin,10.1016/j.dsr.2016.11.011,morphology,fin
assimilating organ,10.1080/17550874.2017.1345997,resource acquisition,nitrogen
assimilation efficiency,10.1111/faf.12155,resource acquisition,NA
attachment,10.1899/0887-3593(2006)025[0730:FTNONA]2.0.CO;2,morphology,mobility
attachment,10.1111/j.1365-2427.1994.tb01756.x,morphology,mobility
attachment to soil or substrate,10.1111/j.1365-2427.1994.tb01755.x,morphology,mobility
attachment to substrate,10.1016/j.ecolind.20.17.05.066,morphology,mobility
attachment to substrate,unknown_23,morphology,mobility
attack efficiency,10.1007/s12080-011-0148-7,resource acquisition,attack
attack range,10.1007/s12080-011-0148-7,resource acquisition,attack
attack rate,10.1086/703155,resource acquisition,attack
attack rate,10.1086/505157,resource acquisition,attack
attack rate,10.1016/j.mbs.2016.01.005,resource acquisition,attack
autochory,10.1111/1365-2664.12037,life history,offspring attribute
av leaf C/N ratio,10.1080/17550874.2017.1345997,composition,carbon
average and max diameters of 100 xylem vessels,10.1016/j.foreco.2018.04.032,morphology,shape
average bill culmen length,10.1371/journal.pone.0163338,morphology,mouth
average body breadth,10.1111/2041-210X.12471,morphology,shape
average body length,10.1111/2041-210X.12471,morphology,size
average body size of females,10.1111/j.1365-2656.2008.01443.x,morphology,size
average body width,10.1111/2041-210X.12471,morphology,shape
average dispersal distance for one in every 1000 individuals,10.1111/j.1365-2486.2011.02614.x,activity,dispersal
average egg clutch,10.1007/s10750-017-3199-y,life history,fecundity
average fecundity,10.1007/s10750-017-3208-1,life history,fecundity
average hand-wing index,10.1371/journal.pone.0163338,morphology,wing
average head width,10.1111/1365-2656.12747,morphology,head
average leaf area,10.1111/1365-2745.12598,morphology,leaf area
average natural morality,10.1111/1365-2656.12274,survival,mortality
average seed mass,10.1111/jvs.12465,life history,fecundity
average specific leaf area,10.1080/17550874.2017.1345997,morphology,leaf area
average speed,10.1371/journal.pone.0041323,activity,movement
B weight,10.5194/bg-14-3371-2017,morphology,size
backbone,10.3389/fevo.2017.00084,morphology,NA
bacterial growth,10.1016/j.agee.2017.01.036,growth,NA
baleen plates,10.1111/1365-2656.12218,morphology,mouth
ballooning,10.1111/1365-2656.12648,activity,dispersal
ballooning,10.1111/1365-2664.12493,activity,dispersal
ballooning propensity,10.1111/j.1365-2664.2006.001175.x,activity,dispersal
ballooning propensity,10.1111/j.1365-2656.2008.01443.x,activity,dispersal
bark texture,10.1016/j.actao.2016.10.007,morphology,defense
bark thickness,10.1007/s00442-012-2431-8,morphology,defense
bark thickness,10.1002/ece3.3541,morphology,defense
bark thickness,10.1111/1365-2745.12366,morphology,defense
bark thickness,10.1046/j.1365-2435.2002.00664.x,morphology,defense
bark thickness,10.1002/ece3.3297,morphology,defense
basal area,10.1371/journal.pone.0130151,morphology,shape
basal area,10.1007/s00442-012-2431-8,morphology,shape
basal area,10.1016/j.rse.2015.06.010,morphology,shape
basal plate structural overlap,unknown_20,morphology,shape
base germination water potential,10.1007/s00035-018-0199-0,resource acquisition,desication tolerance
base temperature,10.1111/brv.12461,resource acquisition,temperature tolerance
base temperature,10.1007/s00442-015-3430-3,resource acquisition,temperature tolerance
base temperature for germination,10.1111/wre.12126,resource acquisition,temperature tolerance
base water-potential,10.1007/s00442-015-3430-3,resource acquisition,desication tolerance
base water potential,10.1007/s00035-018-0199-0,resource acquisition,desication tolerance
bathymetric distribution,10.1007/s11160-018-9522-5,habitat,vertical habitat
beak bloom,10.1111/ele.12081,morphology,mouth
beak height,10.1007/s11692-017-9409-8,morphology,mouth
beak length,10.1007/s11692-017-9409-8,morphology,mouth
beak length and width,10.1098/rspb.2015.2444,morphology,mouth
beak length height and width,10.1111/ecog.00623,morphology,mouth
beak shape,10.1111/oik.04561,morphology,shape
beam circumference,10.1080/1357650X.2017.1293074,morphology,shape
beam length,10.1080/1357650X.2017.1293074,morphology,shape
behaviour,10.1111/ele.12081,activity,behaviour
behavioural dominance,10.7717/peerj.1241,activity,behaviour
behavioural dominance,10.1890/14-2326.1.sm,activity,behaviour
behavioural guild,10.1371/journal.pone.0126112,activity,behaviour
behavioural stereotypy,10.1073/pnas.1401949111,activity,behaviour
behavioural syndrome,10.1016/j.anbehav.2009.04.016,activity,behaviour
benthic exposure,10.1139/cjfas-54-6-1211,habitat,vertical habitat
benthic lifestyle,10.1002/aqc.1198,habitat,vertical habitat
bill curvature,10.1890/13-2261.1,morphology,mouth
bill gape,10.1111/ele.12081,morphology,mouth
bill length,10.1111/brv.12366,morphology,mouth
bill length,10.1890/14-1731.1.sm,morphology,mouth
bill length,10.1186/2193-1801-3-630,morphology,mouth
bill length,10.1111/ele.12081,morphology,mouth
bill length,10.1890/13-2261.1,morphology,mouth
bill length,10.1111/ecog.03396,morphology,mouth
bill width,10.1111/ecog.03396,morphology,mouth
bill width,10.1186/2193-1801-3-630,morphology,mouth
biogeographic position,10.1023/B:BIOC.0000004319.91643.9e,habitat,biogeographic region
biogeographic region,10.1111/geb.12249,habitat,biogeographic region
biogeographic regions,10.1046/j.1365-2427.2000.00535.x,habitat,biogeographic region
biogeographical origin,10.1556/ComEc.14.2013.2.7,habitat,biogeographic region
biological form,unknown_30,morphology,life form
biomass,10.1007/s00442-002-0935-3,abundance,biomass
biomass,10.1890/09-0979.1,abundance,biomass
biomass,10.1007/s10750-017-3433-7,abundance,biomass
biomass,10.1007/s10661-015-4519-1,abundance,biomass
bioturbation,10.1111/oik.02100,activity,ecosystem engineer
biovolume,unknown_30,morphology,size
biovolume,10.1007/s10646-013-1068-7,morphology,size
biovolume,10.1007/s00442-018-4074-x,morphology,size
biovolume,10.1007/s10750-015-2313-2,morphology,size
birth rate,10.1007/s00442-013-2673-0,life history,fecundity
bloom duration,10.1111/ele.12081,life history,reproductive timing
BMWP index,10.1002/ece3.2081,habitat,pollution tolerance
body-to-wing-size parameter,10.1371/journal.pone.0041323,morphology,wing
body colour luminance,10.1093/biolinnean/blx159,morphology,coloration
body compression index,unknown_9,morphology,shape
body condition,10.1002/ecs2.2125,growth,condition
body condition,10.1007/s00442-017-4016-z,growth,condition
body depth,10.1111/ele.12081,morphology,shape
body depth at the level of the pectoral fin insertion,10.1016/j.pocean.2014.10.002,morphology,shape
body depth below midline,10.1111/1365-2435.12838,morphology,shape
body depth/width ratio,10.1007/s12080-014-0229-5,morphology,shape
body dry mass,10.1890/15-1084.1,composition,energy density
body fat%,10.1111/j.1365-2435.2009.01528.x,composition,lipid
body flexibility,10.1111/j.1365-2427.1994.tb01755.x,morphology,mobility
body flexibility,10.1111/fwb.12961,morphology,mobility
body flexibility,10.1111/j.1365-2427.1994.tb01756.x,morphology,mobility
body flexibility,unknown_23,morphology,mobility
body form,10.1111/1365-2435.13141,morphology,shape
body form,10.1111/j.1365-2427.1994.tb01756.x,morphology,shape
body form,10.1111/fwb.12961,morphology,shape
body form,10.1111/j.1365-2427.1994.tb01755.x,morphology,shape
body length,10.1186/2193-1801-3-630,morphology,size
body length,10.1890/15-1084.1,morphology,size
body length,10.1111/jzo.12566,morphology,size
body length,10.1016/j.soilbio.2014.04.002,morphology,size
body length,10.7717/peerj.3092,morphology,size
body length,10.1002/ecy.2436,morphology,size
body length,10.1111/aec.12607,morphology,size
body length,10.1016/j.agee.2008.04.011,morphology,size
body length,10.1111/1365-2664.12493,morphology,size
body length,10.1111/1365-2656.12218,morphology,size
body length,10.1016/S0065-2881(09)56004-X,morphology,size
body length,10.1073/pnas.1401949111,morphology,size
body length,10.1007/s13744-018-0620-9,morphology,size
body length,10.1111/ele.12081,morphology,size
body length,10.1007/s00442-015-3345-z,morphology,size
body length,10.1007/s11692-017-9409-8,morphology,size
body lengths,10.1016/j.seares.2013.05.004,morphology,size
body mass,10.3389/fevo.2017.00084,morphology,size
body mass,10.1111/aec.12607,morphology,size
body mass,10.1016/j.agee.2017.01.036,morphology,size
body mass,10.1111/jeb.12717,morphology,size
body mass,10.1111/1365-2656.12650,morphology,size
body mass,10.1098/rstb.2010.0130,morphology,size
body mass,10.1098/rspb.2017.1405,morphology,size
body mass,10.1007/s00442-009-1446-2,morphology,size
body mass,10.1016/B978-0-12-396992-7.00001-0,morphology,size
body mass,10.1098/rsos.160957,morphology,size
body mass,unknown_8,morphology,size
body mass,10.1111/ecog.03396,morphology,size
body mass,10.1126/science.aac7978,morphology,size
body mass,10.1111/j.1461-0248.2009.01307.x,morphology,size
body mass,10.1016/j.apsoil.2008.01.007,morphology,size
body mass,10.1111/jzo.12566,morphology,size
body mass,10.1111/ddi.12790,morphology,size
body mass,10.1093/beheco/11.4.452,morphology,size
body mass,10.1098/rspb.2015.2444,morphology,size
body mass,10.1016/j.anbehav.2005.05.010,morphology,size
body mass,10.1002/ecs2.2324,morphology,size
body mass,10.1038/ncomms9877,morphology,size
body mass,10.7717/peerj.3092,morphology,size
body mass,10.1111/j.1365-2486.2009.01963.x,morphology,size
body mass,10.1556/168.2018.19.2.9,morphology,size
body mass,10.1111/1365-2664.12490,morphology,size
body mass,10.1111/geb.12148,morphology,size
body mass,10.1111/oik.05228,morphology,size
body mass,10.1007/s10021-015-9875-8,morphology,size
body mass,10.1098/rspb.2012.2131,morphology,size
body mass,10.1111/j.1365-2435.2009.01528.x,morphology,size
body mass,10.1111/1365-2656.12218,morphology,size
body mass,10.1017/S0952836900001084,morphology,size
body mass,10.1371/journal.pone.0082344,morphology,size
body mass,10.1098/rspb.2016.1207,morphology,size
body mass,10.1111/oik.04712,morphology,size
body mass,10.1111/ele.12728,morphology,size
body mass,10.1093/beheco/ars040,morphology,size
body mass,10.1371/journal.pone.0163338,morphology,size
body mass,10.1111/mec.14872,morphology,size
body mass,10.1111/j.1365-2109.2012.03205.x,morphology,size
body mass,10.1002/ece3.1260,morphology,size
body mass,10.1002/rra.687,morphology,size
body mass,10.1111/jbi.13457,morphology,size
body mass,10.1111/ecog.02968,morphology,size
body mass,10.1111/ddi.12721,morphology,size
body mass,10.1002/ece3.5121,morphology,size
body mass,10.1007/s10682-018-9945-4,morphology,size
body mass,10.1007/s10531-014-0850-z,morphology,size
body mass,10.1111/j.1461-0248.2010.01493.x,morphology,size
body mass,10.1371/journal.pone.0107883,morphology,size
body mass,10.1038/srep29414,morphology,size
body mass,10.1111/ele.12081,morphology,size
body mass,10.1111/oik.04561,morphology,size
body mass,10.1111/mam.12035,morphology,size
body mass,10.1111/j.1461-0248.2012.01744.x,morphology,size
body mass,10.1086/685894,morphology,size
body mass,10.1016/j.seares.2013.05.004,morphology,size
body mass,10.1890/13-2261.1,morphology,size
body mass,10.1111/mec.13746,morphology,size
body mass,10.1111/j.1365-2656.2011.01812.x,morphology,size
body mass,10.1111/j.1461-0248.2008.01255.x,morphology,size
body mass,10.1016/j.geoderma.2013.03.010,morphology,size
body mass,10.1111/1365-2656.12478,morphology,size
body position,10.1016/j.yhbeh.2007.08.004,activity,behaviour
body protein%,10.1111/j.1365-2435.2009.01528.x,composition,protein
body section area,10.1002/ece3.1260,morphology,shape
body section shape,10.1002/ece3.1260,morphology,shape
body shape,10.1111/j.1466-8238.2011.00717.x,morphology,shape
body shape,10.1111/eff.12333,morphology,shape
body shape,10.1007/s00338-013-1042-0,morphology,shape
body shape,unknown_27,morphology,shape
body shape,10.1111/geb.12003,morphology,shape
body shape,10.1002/ecs2.2220,morphology,shape
body shape,10.1016/j.soilbio.2014.04.002,morphology,shape
body shape,unknown_23,morphology,shape
body shape,http://dx.doi.org/10.3389/fevo.2018.00081.s001,morphology,shape
body shape,10.1007/s12080-014-0229-5,morphology,shape
body shape,10.1111/j.1461-0248.2011.01620.x,morphology,shape
body shape,10.1890/14-1731.1.sm,morphology,shape
body shape,10.1002/ece3.2328,morphology,shape
body shape,10.1007/s10641-017-0576-3,morphology,shape
body shape,unknown_20,morphology,shape
body shape,10.1111/ele.12351,morphology,shape
body shape,10.1111/j.1365-2656.2010.01759.x,morphology,shape
body shape,10.1007/s10641-016-0506-9,morphology,shape
body shape,10.1016/j.yhbeh.2007.08.004,morphology,shape
body shape,10.1186/1471-2148-10-204,morphology,shape
body shape,10.1111/1752-1688.12650,morphology,shape
body shape,10.1371/journal.pone.0196066,morphology,shape
body shape,10.1111/faf.12347,morphology,shape
body shape,10.1111/mec.13746,morphology,shape
body shape,10.1016/j.pocean.2014.10.002,morphology,shape
body shape,10.1086/701784,morphology,shape
body shape,10.1111/1365-2656.12250,morphology,shape
body shape,unknown_21,morphology,shape
body shape,10.1186/1471-2148-13-132,morphology,shape
body shape,10.1111/1365-2435.12838,morphology,shape
body size,10.1111/j.1469-1795.2012.00528.x,morphology,size
body size,10.1111/1365-2656.12747,morphology,size
body size,10.1016/j.soilbio.2015.03.005,morphology,size
body size,10.1007/s00442-010-1854-3,morphology,size
body size,10.1111/ecog.02926,morphology,size
body size,10.1016/j.pocean.2013.10.010,morphology,size
body size,10.1111/j.1600-0706.2010.18860.x,morphology,size
body size,unknown_20,morphology,size
body size,10.1016/j.yhbeh.2007.08.004,morphology,size
body size,10.1002/ecy.1485,morphology,size
body size,10.1111/geb.12537,morphology,size
body size,10.1038/srep24451,morphology,size
body size,10.1111/1365-2435.12112,morphology,size
body size,10.1046/j.1365-2427.2002.00908.x,morphology,size
body size,10.2307/2937081,morphology,size
body size,10.1890/14-1731.1.sm,morphology,size
body size,unknown_15,morphology,size
body size,10.1002/eap.1530,morphology,size
body size,10.1111/ecog.02632,morphology,size
body size,10.1371/journal.pone.0020782,morphology,size
body size,10.1016/j.ufug.2018.01.002,morphology,size
body size,10.1007/s10452-016-9597-9,morphology,size
body size,10.1111/j.1365-2656.2010.01705.x,morphology,size
body size,unknown_4,morphology,size
body size,10.1016/B978-0-12-386475-8.00005-8,morphology,size
body size,10.1007/s10750-016-2981-6,morphology,size
body size,10.1111/ecog.03582,morphology,size
body size,10.1023/B:BIOC.0000004319.91643.9e,morphology,size
body size,10.1098/rspb.2018.0621,morphology,size
body size,10.1139/cjfas-54-6-1211,morphology,size
body size,10.1111/ddi.12790,morphology,size
body size,10.1890/14-0910.1,morphology,size
body size,10.1002/ece3.908,morphology,size
body size,10.1371/journal.pone.0041323,morphology,size
body size,10.1007/s11160-018-9522-5,morphology,size
body size,10.1111/gcb.13736,morphology,size
body size,10.1371/journal.pone.0186123,morphology,size
body size,10.1016/j.ecss.2017.11.016,morphology,size
body size,10.1111/oik.04507,morphology,size
body size,10.1111/jbi.12808,morphology,size
body size,10.1890/14-0024.1,morphology,size
body size,10.1016/j.gecco.2016.01.004,morphology,size
body size,10.1111/1365-2435.13007,morphology,size
body size,10.1111/fwb.12961,morphology,size
body size,10.1111/ecog.00938,morphology,size
body size,10.1371/journal.pone.0133794,morphology,size
body size,10.1111/1365-2745.12802,morphology,size
body size,10.1111/j.1365-2664.2006.001175.x,morphology,size
body size,10.1111/j.1365-2656.2008.01460.x,morphology,size
body size,10.1111/gcb.14119,morphology,size
body size,10.1890/ES12-00262.1,morphology,size
body size,10.1111/ele.12529,morphology,size
body size,10.1111/j.1366-9516.2005.00169.x,morphology,size
body size,10.1098/rsif.2018.0239,morphology,size
body size,10.1111/geb.12003,morphology,size
body size,10.1111/geb.12521,morphology,size
body size,10.1371/journal.pone.0111227,morphology,size
body size,10.1038/s41559-017-0426-x,morphology,size
body size,10.1111/jeb.12421,morphology,size
body size,10.1111/1365-2656.12271,morphology,size
body size,10.1890/15-0794.1,morphology,size
body size,10.1007/s10841-011-9412-9,morphology,size
body size,10.1371/journal.pone.0012092,morphology,size
body size,10.1098/rsos.150652,morphology,size
body size,10.1111/mec.13985,morphology,size
body size,10.1073/pnas.1721464115,morphology,size
body size,10.1093/plankt/fbr111,morphology,size
body size,10.1111/gcb.12355,morphology,size
body size,10.1007/s002650000260,morphology,size
body size,10.1111/1365-2435.12786,morphology,size
body size,10.1093/biolinnean/blx159,morphology,size
body size,10.1016/j.ecolind.2016.07.019,morphology,size
body size,10.1111/j.1365-2699.2011.02502.x,morphology,size
body size,10.1016/B978-0-12-396992-7.00004-6,morphology,size
body size,10.1111/1365-2656.12250,morphology,size
body size,10.1139/cjfas-2015-0190,morphology,size
body size,10.1023/A:1022417601010,morphology,size
body size,10.1111/ecog.03747,morphology,size
body size,10.1111/ele.12688,morphology,size
body size,10.3389/fevo.2019.00025,morphology,size
body size,10.1111/oik.01544,morphology,size
body size,10.1111/j.1095-8649.2012.03294.x,morphology,size
body size,10.1016/j.soilbio.2015.02.007,morphology,size
body size,10.1371/journal.pone.0081739,morphology,size
body size,10.1111/brv.12250,morphology,size
body size,10.1111/mec.12756,morphology,size
body size,10.1111/1365-2664.12493,morphology,size
body size,10.1002/ece3.3969,morphology,size
body size,10.1371/journal.pone.0090437,morphology,size
body size,10.1890/11-0181.1,morphology,size
body size,10.1017/S0031182004005050,morphology,size
body size,10.1007/s00442-013-2673-0,morphology,size
body size,10.1111/jeb.13306,morphology,size
body size,10.1111/j.1365-2699.2007.01824.x,morphology,size
body size,10.1007/s13744-012-0069-1,morphology,size
body size,10.1111/1365-2656.12892,morphology,size
body size,10.1186/1471-2148-8-68,morphology,size
body size,10.3389/fmicb.2017.01530,morphology,size
body size,10.1111/ecog.03917,morphology,size
body size,10.1890/0012-9658(2000)081[0183:EOGCSO]2.0.CO;2,morphology,size
body size,10.1111/oik.04885,morphology,size
body size,10.1111/1365-2656.12020,morphology,size
body size,10.1371/journal.pbio.0020197,morphology,size
