"","DOI","Ecosystem","Taxonomic","Taxonomic Group","GlobalChange","GlobalChangeCat","Predictive","TOS","TT","filter","abundance","activity","composition","growth","habitat","life history","morphology","resource acquisition","survival"
"18","10.1002/ece3.3297","Terrestrial","Plants","Plants","0","no",0,"Observational","Physiological","Abiotic",0,1,1,1,1,1,1,1,0
"19","10.1002/ece3.3541","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"20","10.1002/ece3.3609","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,1,1,0,0
"21","10.1002/ece3.3613","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,0,0,0,0,1,1,0
"22","10.1002/ece3.3969","Marine","Multiple","Multiple","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,1,1,0,0
"23","10.1002/ece3.4377","Terrestrial","Multiple","Multiple","0","no",0,"Review","Morphological","Trophic",0,1,0,1,0,0,1,1,0
"24","10.1002/ece3.4896","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,0,0,0,0,1,1,0
"25","10.1002/ece3.5121","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,1,0,0,0,0,1,1,0
"26","10.1002/ece3.908","Terrestrial","Herpetofauna","Vertebrate","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,1,0,0
"27","10.1002/ecm.1294/full","Terrestrial","Plants","Plants","0","no",0,"Theoretical","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"28","10.1002/ecm.1297/full","Marine","Fish","Vertebrate","Climate Change","yes",1,"Metanalysis","Physiological","Abiotic",0,0,0,0,1,1,0,1,0
"29","10.1002/eco.1533","Terrestrial","Plants","Plants","0","no",0,"Theoretical","Life History","Abiotic",0,1,0,1,0,1,1,0,0
"30","10.1002/eco.1655","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,1,1,0,1,1,1,0
"31","10.1002/eco.1734","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,1,0,0,0
"32","10.1002/ecs2.2101","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Life History","Dispersal",0,1,0,0,0,0,0,0,0
"33","10.1002/ecs2.2125","Terrestrial","Herpetofauna","Vertebrate","0","no",0,"Experiment","Life History","Abiotic",0,1,0,1,1,1,0,0,1
"34","10.1002/ecs2.2164","Terrestrial","Plants","Plants","0","no",0,"Experiment","Morphological","Biotic",0,1,1,1,0,1,1,0,0
"35","10.1002/ecs2.2220","Marine","Fish","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"36","10.1002/ecs2.2324","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,0,0,0,0,1,1,0
"37","10.1002/ecs2.2374","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,1,0,1,1,1,1,0,0
"38","10.1002/ecs2.2460","Marine","Multiple","Multiple","0","no",0,"Observational","Behavioural","Abiotic",0,0,0,0,0,1,1,1,0
"39","10.1002/ecy.1485","Freshwater","Multiple","Multiple","Invasion","yes",0,"Experiment","Life History","Trophic",0,0,0,0,0,0,1,1,0
"40","10.1002/ecy.1802","Multiple","Multiple","Multiple","0","no",0,"Observational","Behavioural","Trophic",0,0,0,0,0,0,0,1,0
"41","10.1002/ecy.1915","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,1,0,0,0,0,0,0,0
"42","10.1002/ecy.1990","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,1,1,0,0
"43","10.1002/ecy.2079","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Dispersal",0,1,0,1,0,1,1,1,0
"44","10.1002/ecy.2179","Terrestrial","Birds","Vertebrate","Climate Change","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,1,0,0,1
"45","10.1002/ecy.2436","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Dispersal",0,0,0,0,0,0,1,0,0
"46","10.1002/ecy.2533","Terrestrial","Plants","Plants","0","no",0,"Observational","Physiological","Trophic",0,0,1,0,0,0,0,1,0
"47","10.1002/rra.687","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"48","10.1006/jaar.1998.0326","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Biotic",0,0,0,0,0,0,0,1,0
"49","10.1007/BF00133308","Terrestrial","Birds","Vertebrate","Habitat Degredation","yes",0,"Observational","Behavioural","Abiotic",0,1,0,0,1,1,0,1,0
"50","10.1007/s00035-017-0198-6","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,1,0,0,1,0,0
"51","10.1007/s00035-018-0199-0","Terrestrial","Plants","Plants","0","no",0,"Experiment","Life History","Abiotic",0,0,0,0,1,0,1,1,0
"52","10.1007/s00114-017-1475-3","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"53","10.1007/s00227-014-2568-6","Marine","Plankton","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"54","10.1007/s00265-006-0160-x","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Life History","Trophic",0,1,0,0,1,1,1,0,0
"55","10.1007/s00265-010-1031-z","Terrestrial","Insects","Invertebrate","0","no",0,"Experiment","Morphological","Abiotic",0,1,0,0,0,1,1,0,1
"56","10.1007/s002650000260","Terrestrial","Multiple","Multiple","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,1,0,0
"57","10.1007/s00300-015-1872-z","Terrestrial","Multiple","Multiple","Climate Change","yes",0,"Observational","Life History","Trophic",0,0,0,0,0,1,0,0,0
"58","10.1007/s00300-016-1946-6","Marine","Fish","Vertebrate","0","no",0,"Observational","Life History","Biotic",0,0,0,0,1,0,0,0,0
"59","10.1007/s00338-013-1042-0","Marine","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,1,0,0,0,0,1,0,0
"60","10.1007/s00338-018-1689-7","Marine","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,1,0,0
"61","10.1007/s00360-013-0763-2","Terrestrial","Birds","Vertebrate","0","no",0,"Experiment","Physiological","Abiotic",0,0,0,0,0,0,0,1,0
"62","10.1007/s00442-002-0935-3","Terrestrial","Plants","Plants","0","no",0,"Experiment","Morphological","Biotic",1,0,0,0,0,0,0,0,0
"63","10.1007/s00442-004-1650-z","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,1,1,0
"64","10.1007/s00442-004-1770-5","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Life History","Abiotic",1,0,0,0,0,1,0,0,1
"65","10.1007/s00442-009-1446-2","Terrestrial","Birds","Vertebrate","Climate Change","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"66","10.1007/s00442-010-1684-3","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Biotic",0,0,0,1,0,0,0,0,0
"67","10.1007/s00442-010-1712-3","Marine","Fish","Vertebrate","0","no",0,"Experiment","Behavioural","Trophic",0,1,0,0,0,0,1,0,0
"68","10.1007/s00442-010-1833-8","Marine","Fish","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,1,0,1,1,0,1
"69","10.1007/s00442-010-1854-3","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,0,0,1,1,0
"70","10.1007/s00442-011-1980-6","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,1,1,1,1,0,0
"71","10.1007/s00442-012-2431-8","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,1,0,0
"72","10.1007/s00442-013-2673-0","Freshwater","Other","Other","0","no",0,"Experiment","Morphological","Biotic",0,0,0,0,0,1,1,1,1
"73","10.1007/s00442-014-2917-7","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,1,0,1,0,1,1,0,0
"74","10.1007/s00442-014-3039-y","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,1,1,0
"75","10.1007/s00442-014-3101-9","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,1,0,0
"76","10.1007/s00442-015-3295-5","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,1,0,1,1,1,0
"77","10.1007/s00442-015-3345-z","Freshwater","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,1,0,1,0,0
"78","10.1007/s00442-015-3430-3","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,1,1,1,1,1,1,0
"79","10.1007/s00442-016-3547-z","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Biotic",0,0,1,0,0,1,1,1,0
"80","10.1007/s00442-016-3631-4","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Life History","Trophic",0,0,0,0,0,0,0,1,0
"81","10.1007/s00442-016-3700-8","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,1,1,0,0
"82","10.1007/s00442-017-4016-z","Terrestrial","Herpetofauna","Vertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,1,0,0,0,0,0
"83","10.1007/s00442-017-4041-y","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"84","10.1007/s00442-017-4053-7","Terrestrial","Birds","Vertebrate","Climate Change","yes",0,"Observational","Life History","Abiotic",0,1,0,0,1,0,0,0,0
"85","10.1007/s00442-018-4074-x","Freshwater","Plants","Plants","0","no",0,"Review","Morphological","Dispersal",0,0,0,0,0,0,1,0,0
"86","10.1007/s00442-018-4162-y","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Trophic",0,0,1,0,0,0,1,0,0
"87","10.1007/s00442-019-04386-0","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Biotic",0,0,0,0,0,1,0,0,0
"88","10.1007/s004420000504","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,1,0,0,0
"89","10.1007/s00468-011-0632-0","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,1,0,0,1,0,0
"90","10.1007/s10021-015-9875-8","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Life History","Biotic",0,1,0,0,1,1,1,1,0
"91","10.1007/s10071-018-1209-8","Marine","Fish","Vertebrate","0","no",0,"Experiment","Behavioural","Trophic",0,1,0,0,0,0,0,0,0
"92","10.1007/s10336-005-0011-y","Terrestrial","Birds","Vertebrate","Climate Change","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,1,0,0,0
"93","10.1007/s10452-015-9546-z","Freshwater","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"94","10.1007/s10452-016-9596-x","Freshwater","Plants","Plants","Global Change Broad","yes",0,"Review","Life History","Abiotic",0,1,0,0,0,0,1,1,0
"95","10.1007/s10452-016-9597-9","Freshwater","Herpetofauna","Vertebrate","0","no",0,"Observational","Morphological","Dispersal",0,0,0,0,0,0,1,0,0
"96","10.1007/s10452-017-9634-3","Freshwater","Plankton","Invertebrate","0","no",0,"Observational","Life History","Abiotic",0,0,1,0,0,0,1,1,0
"97","10.1007/s10526-017-9860-6","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Trophic",0,0,0,0,0,0,0,1,0
"98","10.1007/s10531-014-0742-2","Terrestrial","Plants","Plants","Invasion","yes",0,"Observational","Life History","Biotic",0,1,1,1,1,1,1,1,0
"99","10.1007/s10531-014-0843-y","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"100","10.1007/s10531-014-0850-z","Terrestrial","Herpetofauna","Vertebrate","Invasion","yes",0,"Metanalysis","Behavioural","Biotic",0,0,0,0,1,0,1,1,0
"101","10.1007/s10641-016-0481-1","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,1,0
"102","10.1007/s10641-016-0506-9","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"103","10.1007/s10641-017-0576-3","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"104","10.1007/s10641-018-0759-6","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"105","10.1007/s10646-013-1068-7","Freshwater","Plankton","Invertebrate","0","no",0,"Experiment","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"106","10.1007/s10661-015-4519-1","Freshwater","Plankton","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",1,1,0,0,0,0,1,1,0
"107","10.1007/s10681-014-1200-7","Terrestrial","Plants","Plants","0","no",0,"Experiment","Morphological","Abiotic",0,0,0,0,0,1,1,0,0
"108","10.1007/s10682-005-2005-x","Terrestrial","Plants","Plants","0","no",0,"Experiment","Life History","Abiotic",0,0,0,0,0,1,1,1,0
"109","10.1007/s10682-013-9631-5","Terrestrial","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,0,0,1,0,1,1,0
"110","10.1007/s10682-018-9945-4","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Morphological","Dispersal",0,0,1,0,0,0,1,0,0
"111","10.1007/s10750-013-1711-6","Freshwater","Other","Other","0","no",0,"Observational","Life History","Dispersal",0,0,0,0,0,0,1,0,0
"112","10.1007/s10750-015-2191-7","Freshwater","Other","Other","0","no",0,"Observational","Behavioural","Trophic",0,1,0,0,0,0,1,1,0
"113","10.1007/s10750-015-2313-2","Freshwater","Plankton","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,1,1,0
"114","10.1007/s10750-015-2389-8","Freshwater","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"115","10.1007/s10750-016-2981-6","Freshwater","Plankton","Invertebrate","Global Change Broad","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,1,0
"116","10.1007/s10750-017-3199-y","Freshwater","Fish","Vertebrate","0","no",0,"Review","Morphological","Biotic",0,1,0,0,0,1,1,1,0
"117","10.1007/s10750-017-3208-1","Freshwater","Fish","Vertebrate","Climate Change","yes",1,"Observational","Physiological","Trophic",0,0,0,0,1,1,1,1,1
"118","10.1007/s10750-017-3433-7","Freshwater","Plankton","Invertebrate","0","no",0,"Observational","Morphological","Biotic",1,0,0,0,0,0,0,0,0
"119","10.1007/s10750-018-3697-6","Freshwater","Other","Other","0","no",0,"Observational","Behavioural","Trophic",0,1,0,0,0,0,1,1,0
"120","10.1007/s10841-011-9412-9","Freshwater","Insects","Invertebrate","Habitat Degredation","yes",0,"Observational","Behavioural","Biotic",0,0,0,0,1,1,1,1,0
"121","10.1007/s10980-012-9820-6","Terrestrial","Insects","Invertebrate","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,1,0,0,0,0,0,1,0
"122","10.1007/s11104-018-3816-1","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,1,0,0
"123","10.1007/s11160-016-9446-x","Freshwater","Fish","Vertebrate","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,1,0,0,0,1,0,1,0
"124","10.1007/s11160-017-9479-9","Freshwater","Fish","Vertebrate","Climate Change","yes",1,"Observational","Behavioural","Abiotic",0,0,0,0,1,1,1,1,1
"125","10.1007/s11160-018-9522-5","Marine","Fish","Vertebrate","0","no",0,"Review","Behavioural","Trophic",0,0,0,0,1,0,1,0,0
"126","10.1007/s11284-016-1373-8","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Biotic",0,0,1,0,0,0,1,0,1
"127","10.1007/s11629-017-4477-x","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"128","10.1007/s11692-017-9409-8","Terrestrial","Multiple","Multiple","0","no",0,"Theoretical","Morphological","Trophic",0,1,0,0,0,0,1,0,0
"129","10.1007/s11829-016-9444-x","Terrestrial","Plants","Plants","0","no",0,"Experiment","Life History","Biotic",0,0,0,0,0,1,0,0,0
"130","10.1007/s12080-010-0095-8","Terrestrial","Plants","Plants","0","no",0,"Theoretical","Life History","Biotic",0,0,0,0,0,1,0,0,0
"131","10.1007/s12080-011-0148-7","Multiple","Multiple","Multiple","0","no",1,"Theoretical","Life History","Trophic",0,1,0,1,0,0,0,1,1
"132","10.1007/s12080-014-0229-5","Marine","Fish","Vertebrate","0","no",0,"Theoretical","Morphological","Trophic",0,1,1,0,1,0,1,1,0
"133","10.1007/s13593-013-0166-5","Terrestrial","Plants","Plants","0","no",0,"Review","Life History","Abiotic",0,0,0,1,1,1,1,0,0
"134","10.1007/s13595-019-0830-2","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,1,0,0
"135","10.1007/s13744-012-0069-1","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,1,0,0,0,0,1,0,0
"136","10.1007/s13744-018-0620-9","Freshwater","Insects","Invertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,0,0,0,0,1,1,0
"137","10.1016/B978-0-12-386475-8.00005-8","Marine","Multiple","Multiple","Global Change Multiple","yes",1,"Observational","Behavioural","Trophic",0,0,0,0,1,0,1,1,0
"138","10.1016/B978-0-12-396992-7.00001-0","Freshwater","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,1,1,0
"139","10.1016/B978-0-12-396992-7.00004-6","Freshwater","Multiple","Multiple","0","no",0,"Review","Morphological","Trophic",0,0,0,0,0,0,1,1,0
"140","10.1016/B978-0-12-420002-9.00002-0","Terrestrial","Multiple","Multiple","0","no",0,"Review","Morphological","Biotic",0,0,1,0,0,0,0,0,0
"141","10.1016/j.actao.2016.06.003","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,1,1,1,0,1,1,1,0
"142","10.1016/j.actao.2016.10.007","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,1,0
"143","10.1016/j.agee.2008.04.011","Terrestrial","Insects","Invertebrate","0","no",0,"Metanalysis","Morphological","Abiotic",0,0,0,0,0,0,1,1,0
"144","10.1016/j.agee.2017.01.036","Terrestrial","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,1,1,0,0,1,1,0
"145","10.1016/j.anbehav.2005.05.010","Terrestrial","Birds","Vertebrate","0","no",0,"Observational","Morphological","Biotic",0,0,0,0,1,1,1,1,0
"146","10.1016/j.anbehav.2009.04.016","Terrestrial","Insects","Invertebrate","0","no",0,"Experiment","Behavioural","Biotic",0,1,0,0,0,0,0,0,0
"147","10.1016/j.anbehav.2009.11.024","Freshwater","Fish","Vertebrate","0","no",0,"Experiment","Behavioural","Trophic",0,1,0,0,0,0,0,1,0
"148","10.1016/j.anbehav.2012.01.032","Terrestrial","Insects","Invertebrate","0","no",0,"Review","Life History","Abiotic",0,1,0,0,0,0,1,0,0
"149","10.1016/j.anbehav.2017.07.010","Marine","Fish","Vertebrate","Climate Change","yes",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,1,0
"150","10.1016/j.apsoil.2008.01.007","Terrestrial","Other","Other","0","no",0,"Review","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"151","10.1016/j.biocon.2011.11.033","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Trophic",0,0,0,1,0,1,0,1,1
"152","10.1016/j.biocon.2013.12.008","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,1,0,0,0,1,1,0,0
"153","10.1016/j.biocontrol.2010.12.005","Terrestrial","Plants","Plants","0","no",0,"Metanalysis","Morphological","Trophic",0,0,0,0,0,0,1,0,0
"154","10.1016/j.csr.2009.01.003","Marine","Fish","Vertebrate","Exploitation","yes",0,"Observational","Behavioural","Trophic",0,1,0,0,1,0,1,1,0
"155","10.1016/j.dsr.2016.11.011","Marine","Fish","Vertebrate","0","no",0,"Observational","Morphological","Trophic",0,0,0,0,0,0,1,0,0
"156","10.1016/j.dsr.2017.11.010","Marine","Other","Other","0","no",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,0,0,0
"157","10.1016/j.dsr2.2006.11.012","Marine","Mammals","Vertebrate","0","no",0,"Observational","Behavioural","Trophic",0,1,0,0,0,0,0,0,0
"158","10.1016/j.ecocom.2007.11.002","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Life History","Trophic",0,1,0,0,0,0,0,0,0
"159","10.1016/j.ecocom.2012.03.003","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,0,1,0,1,1,0,1
"160","10.1016/j.ecoleng.2014.11.057","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"161","10.1016/j.ecoleng.2015.11.001","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Experiment","Morphological","Abiotic",0,0,0,0,0,1,1,0,0
"162","10.1016/j.ecolind.20.17.05.066","Freshwater","Plants","Plants","0","no",0,"Review","Physiological","Abiotic",0,0,1,0,1,1,1,1,0
"163","10.1016/j.ecolind.2016.02.060","Freshwater","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,1,0,0
"164","10.1016/j.ecolind.2016.07.019","Marine","Other","Other","Habitat Degredation","yes",0,"Observational","Life History","Abiotic",0,0,0,0,1,1,1,1,0
"165","10.1016/j.ecolind.2017.01.029","Terrestrial","Insects","Invertebrate","0","no",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"166","10.1016/j.ecolind.2017.12.003","Marine","Plankton","Invertebrate","0","no",0,"Observational","Physiological","Abiotic",0,0,0,0,0,0,1,1,0
"167","10.1016/j.ecolmodel.2006.07.023","Multiple","Multiple","Multiple","0","no",0,"Theoretical","Life History","Trophic",0,1,0,0,0,0,0,0,0
"168","10.1016/j.ecss.2009.10.015","Marine","Fish","Vertebrate","0","no",0,"Observational","Behavioural","Abiotic",0,0,0,0,1,0,1,1,0
"169","10.1016/j.ecss.2013.06.019","Marine","Other","Other","0","no",0,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,1,0
"170","10.1016/j.ecss.2013.07.019","Terrestrial","Insects","Invertebrate","Global Change Broad","yes",0,"Observational","Behavioural","Biotic",0,0,0,0,0,0,0,1,0
"171","10.1016/j.ecss.2015.05.023","Terrestrial","Plants","Plants","0","no",0,"Observational","Life History","Abiotic",0,0,1,1,1,0,1,0,0
"172","10.1016/j.ecss.2017.11.016","Marine","Other","Other","Invasion","yes",0,"Experiment","Morphological","Trophic",0,0,0,0,0,1,1,1,0
"173","10.1016/j.ecss.2018.11.016","Terrestrial","Plants","Plants","0","no",0,"Observational","Morphological","Abiotic",0,1,0,0,1,1,1,0,0
"174","10.1016/j.foreco.2015.05.026","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,1,1,0,0
"175","10.1016/j.foreco.2016.04.020","Terrestrial","Plants","Plants","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"176","10.1016/j.foreco.2018.04.032","Terrestrial","Plants","Plants","Climate Change","yes",0,"Observational","Morphological","Abiotic",0,0,1,0,0,0,1,1,0
"177","10.1016/j.foreco.2018.06.006","Terrestrial","Plants","Plants","Climate Change","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,1,1,1,0,0
"178","10.1016/j.foreco.2018.10.061","Terrestrial","Plants","Plants","Global Change Broad","yes",1,"Observational","Life History","Abiotic",0,0,0,0,0,0,0,1,0
"179","10.1016/j.foreco.2019.01.021","Terrestrial","Insects","Invertebrate","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"180","10.1016/j.gecco.2016.01.004","Terrestrial","Mammals","Vertebrate","Habitat Degredation","yes",0,"Observational","Morphological","Abiotic",0,0,0,0,0,0,1,1,0
"181","10.1016/j.geoderma.2013.03.010","Terrestrial","Other","Other","0","no",0,"Experiment","Morphological","Abiotic",0,0,0,0,0,0,1,0,0
"182","10.1016/j.jtbi.2007.07.013","Multiple","Multiple","Multiple","Climate Change","yes",1,"Theoretical","Life History","Abiotic",0,0,0,0,0,0,0,1,0
